fir_id,officer_id,assigned_date,is_lead_officer
FIR-000076,OFF-0001,2024-02-17,True
FIR-000077,OFF-0063,2024-03-29,True
FIR-000078,OFF-0063,2024-03-31,True
FIR-000079,OFF-0125,2024-04-15,True
FIR-000080,OFF-0001,2024-04-13,True
FIR-000081,OFF-0125,2024-05-19,True
FIR-000082,OFF-0001,2024-05-23,True
FIR-000083,OFF-0063,2024-06-11,True
FIR-000084,OFF-0032,2024-06-28,True
FIR-000085,OFF-0063,2024-07-05,True
FIR-000086,OFF-0001,2024-07-08,True
FIR-000087,OFF-0125,2024-08-18,True
FIR-000088,OFF-0063,2024-08-26,True
FIR-000089,OFF-0032,2024-09-30,True
FIR-000090,OFF-0001,2024-09-04,True
FIR-000091,OFF-0125,2024-10-31,True
FIR-000092,OFF-0032,2024-10-06,True
FIR-000093,OFF-0125,2024-11-14,True
FIR-000094,OFF-0001,2024-11-14,True
FIR-000095,OFF-0001,2024-12-10,True
FIR-000096,OFF-0063,2024-12-24,True
FIR-000097,OFF-0063,2025-01-17,True
FIR-000098,OFF-0125,2025-01-12,True
FIR-000099,OFF-0032,2025-02-07,True
FIR-000100,OFF-0001,2025-02-01,True
FIR-000101,OFF-0063,2025-03-09,True
FIR-000102,OFF-0125,2025-03-11,True
FIR-000103,OFF-0125,2025-04-27,True
FIR-000104,OFF-0001,2025-04-12,True
FIR-000105,OFF-0032,2025-05-06,True
FIR-000106,OFF-0125,2025-05-23,True
FIR-000107,OFF-0063,2025-06-05,True
FIR-000108,OFF-0001,2025-06-08,True
FIR-000109,OFF-0125,2025-07-27,True
FIR-000110,OFF-0063,2025-07-11,True
FIR-000111,OFF-0063,2025-08-18,True
FIR-000112,OFF-0063,2025-08-21,True
FIR-000113,OFF-0032,2025-09-29,True
FIR-000114,OFF-0125,2025-09-27,True
FIR-000115,OFF-0125,2025-10-17,True
FIR-000116,OFF-0001,2025-10-30,True
FIR-000117,OFF-0125,2025-11-08,True
FIR-000118,OFF-0125,2025-11-18,True
FIR-000119,OFF-0001,2025-12-05,True
FIR-000120,OFF-0125,2025-12-13,True
FIR-000121,OFF-0064,2021-01-08,True
FIR-000122,OFF-0002,2021-01-14,True
FIR-000123,OFF-0002,2021-02-06,True
FIR-000124,OFF-0157,2021-02-27,True
FIR-000125,OFF-0064,2021-03-30,True
FIR-000126,OFF-0064,2021-03-19,True
FIR-000127,OFF-0157,2021-04-04,True
FIR-000128,OFF-0033,2021-04-28,True
FIR-000129,OFF-0033,2021-05-10,True
FIR-000130,OFF-0002,2021-05-07,True
FIR-000131,OFF-0157,2021-06-26,True
FIR-000132,OFF-0157,2021-06-27,True
FIR-000133,OFF-0064,2021-07-19,True
FIR-000134,OFF-0064,2021-07-11,True
FIR-000135,OFF-0064,2021-08-23,True
FIR-000136,OFF-0157,2021-08-25,True
FIR-000137,OFF-0064,2021-09-12,True
FIR-000138,OFF-0157,2021-09-13,True
FIR-000139,OFF-0157,2021-10-18,True
FIR-000140,OFF-0002,2021-10-31,True
FIR-000141,OFF-0157,2021-11-10,True
FIR-000142,OFF-0002,2021-11-04,True
FIR-000143,OFF-0064,2021-12-01,True
FIR-000144,OFF-0064,2021-12-10,True
FIR-000145,OFF-0033,2022-01-09,True
FIR-000146,OFF-0064,2022-01-04,True
FIR-000147,OFF-0064,2022-02-14,True
FIR-000148,OFF-0157,2022-02-04,True
FIR-000149,OFF-0064,2022-03-30,True
FIR-000150,OFF-0033,2022-03-25,True
FIR-000151,OFF-0033,2022-04-17,True
FIR-000152,OFF-0157,2022-04-05,True
FIR-000153,OFF-0064,2022-05-12,True
FIR-000154,OFF-0064,2022-05-03,True
FIR-000155,OFF-0002,2022-06-03,True
FIR-000156,OFF-0002,2022-06-04,True
FIR-000157,OFF-0064,2022-07-25,True
FIR-000158,OFF-0157,2022-07-26,True
FIR-000159,OFF-0064,2022-08-31,True
FIR-000160,OFF-0033,2022-08-15,True
FIR-000161,OFF-0157,2022-09-18,True
FIR-000162,OFF-0157,2022-09-28,True
FIR-000163,OFF-0002,2022-10-18,True
FIR-000164,OFF-0002,2022-10-02,True
FIR-000165,OFF-0064,2022-11-18,True
FIR-000166,OFF-0157,2022-11-19,True
FIR-000167,OFF-0033,2022-12-03,True
FIR-000168,OFF-0157,2022-12-01,True
FIR-000169,OFF-0157,2023-01-15,True
FIR-000170,OFF-0002,2023-01-19,True
FIR-000171,OFF-0002,2023-02-12,True
FIR-000172,OFF-0064,2023-02-01,True
FIR-000173,OFF-0033,2023-03-02,True
FIR-000174,OFF-0157,2023-03-03,True
FIR-000175,OFF-0033,2023-04-18,True
FIR-000176,OFF-0002,2023-04-03,True
FIR-000177,OFF-0002,2023-05-24,True
FIR-000178,OFF-0064,2023-05-14,True
FIR-000179,OFF-0064,2023-06-09,True
FIR-000180,OFF-0157,2023-06-11,True
FIR-000181,OFF-0033,2023-07-31,True
FIR-000182,OFF-0002,2023-07-11,True
FIR-000183,OFF-0157,2023-08-09,True
FIR-000184,OFF-0064,2023-08-09,True
FIR-000185,OFF-0157,2023-09-01,True
FIR-000186,OFF-0002,2023-09-17,True
FIR-000187,OFF-0157,2023-10-14,True
FIR-000188,OFF-0157,2023-10-30,True
FIR-000189,OFF-0064,2023-11-24,True
FIR-000190,OFF-0033,2023-11-18,True
FIR-000191,OFF-0033,2023-12-12,True
FIR-000192,OFF-0033,2023-12-29,True
FIR-000193,OFF-0157,2024-01-12,True
FIR-000194,OFF-0064,2024-01-07,True
FIR-000195,OFF-0064,2024-02-20,True
FIR-000196,OFF-0033,2024-02-06,True
FIR-000197,OFF-0033,2024-03-22,True
FIR-000198,OFF-0033,2024-03-21,True
FIR-000199,OFF-0033,2024-04-08,True
FIR-000200,OFF-0002,2024-04-07,True
FIR-000201,OFF-0064,2024-05-07,True
FIR-000202,OFF-0033,2024-05-02,True
FIR-000203,OFF-0033,2024-06-22,True
FIR-000204,OFF-0064,2024-06-09,True
FIR-000205,OFF-0064,2024-07-29,True
FIR-000206,OFF-0064,2024-07-04,True
FIR-000207,OFF-0033,2024-08-20,True
FIR-000208,OFF-0033,2024-08-09,True
FIR-000209,OFF-0002,2024-09-21,True
FIR-000210,OFF-0157,2024-09-15,True
FIR-000211,OFF-0157,2024-10-20,True
FIR-000212,OFF-0157,2024-10-05,True
FIR-000213,OFF-0064,2024-11-03,True
FIR-000214,OFF-0033,2024-11-03,True
FIR-000215,OFF-0064,2024-12-12,True
FIR-000216,OFF-0157,2024-12-08,True
FIR-000217,OFF-0157,2025-01-26,True
FIR-000218,OFF-0002,2025-01-22,True
FIR-000219,OFF-0002,2025-02-15,True
FIR-000220,OFF-0002,2025-02-08,True
FIR-000221,OFF-0002,2025-03-06,True
FIR-000222,OFF-0033,2025-03-05,True
FIR-000223,OFF-0002,2025-04-16,True
FIR-000224,OFF-0002,2025-04-22,True
FIR-000225,OFF-0002,2025-05-01,True
FIR-000226,OFF-0002,2025-05-11,True
FIR-000227,OFF-0033,2025-06-27,True
FIR-000228,OFF-0033,2025-06-25,True
FIR-000229,OFF-0157,2025-07-27,True
FIR-000230,OFF-0157,2025-07-07,True
FIR-000231,OFF-0157,2025-08-22,True
FIR-000232,OFF-0002,2025-08-23,True
FIR-000233,OFF-0157,2025-09-29,True
FIR-000234,OFF-0002,2025-09-17,True
FIR-000235,OFF-0157,2025-10-31,True
FIR-000236,OFF-0064,2025-10-17,True
FIR-000237,OFF-0064,2025-11-07,True
FIR-000238,OFF-0002,2025-11-28,True
FIR-000239,OFF-0157,2025-12-30,True
FIR-000240,OFF-0033,2025-12-16,True
FIR-000241,OFF-0127,2021-01-18,True
FIR-000242,OFF-0127,2021-01-23,True
FIR-000243,OFF-0127,2021-02-11,True
FIR-000244,OFF-0096,2021-02-23,True
FIR-000245,OFF-0034,2021-03-26,True
FIR-000246,OFF-0065,2021-03-22,True
FIR-000247,OFF-0158,2021-04-05,True
FIR-000248,OFF-0096,2021-04-08,True
FIR-000249,OFF-0065,2021-05-04,True
FIR-000250,OFF-0096,2021-05-28,True
FIR-000251,OFF-0034,2021-06-06,True
FIR-000252,OFF-0034,2021-06-13,True
FIR-000253,OFF-0065,2021-07-10,True
FIR-000254,OFF-0065,2021-07-19,True
FIR-000255,OFF-0158,2021-08-04,True
FIR-000256,OFF-0034,2021-08-22,True
FIR-000257,OFF-0096,2021-09-04,True
FIR-000258,OFF-0065,2021-09-26,True
FIR-000259,OFF-0096,2021-10-04,True
FIR-000260,OFF-0065,2021-10-14,True
FIR-000261,OFF-0127,2021-11-17,True
FIR-000262,OFF-0096,2021-11-29,True
FIR-000263,OFF-0158,2021-12-20,True
FIR-000264,OFF-0065,2021-12-11,True
FIR-000265,OFF-0127,2022-01-16,True
FIR-000266,OFF-0034,2022-01-16,True
FIR-000267,OFF-0158,2022-02-18,True
FIR-000268,OFF-0127,2022-02-09,True
FIR-000269,OFF-0127,2022-03-07,True
FIR-000270,OFF-0127,2022-03-05,True
FIR-000271,OFF-0034,2022-04-09,True
FIR-000272,OFF-0127,2022-04-27,True
FIR-000273,OFF-0065,2022-05-25,True
FIR-000274,OFF-0096,2022-05-01,True
FIR-000275,OFF-0065,2022-06-14,True
FIR-000276,OFF-0158,2022-06-23,True
FIR-000277,OFF-0065,2022-07-10,True
FIR-000278,OFF-0065,2022-07-01,True
FIR-000279,OFF-0158,2022-08-04,True
FIR-000280,OFF-0034,2022-08-04,True
FIR-000281,OFF-0034,2022-09-20,True
FIR-000282,OFF-0034,2022-09-02,True
FIR-000283,OFF-0127,2022-10-26,True
FIR-000284,OFF-0034,2022-10-07,True
FIR-000285,OFF-0034,2022-11-07,True
FIR-000286,OFF-0127,2022-11-23,True
FIR-000287,OFF-0127,2022-12-16,True
FIR-000288,OFF-0096,2022-12-12,True
FIR-000289,OFF-0096,2023-01-20,True
FIR-000290,OFF-0127,2023-01-26,True
FIR-000291,OFF-0034,2023-02-27,True
FIR-000292,OFF-0158,2023-02-03,True
FIR-000293,OFF-0065,2023-03-08,True
FIR-000294,OFF-0096,2023-03-29,True
FIR-000295,OFF-0158,2023-04-17,True
FIR-000296,OFF-0127,2023-04-09,True
FIR-000297,OFF-0096,2023-05-15,True
FIR-000298,OFF-0158,2023-05-06,True
FIR-000299,OFF-0034,2023-06-08,True
FIR-000300,OFF-0127,2023-06-24,True
FIR-000301,OFF-0096,2023-07-12,True
FIR-000302,OFF-0034,2023-07-08,True
FIR-000303,OFF-0127,2023-08-02,True
FIR-000304,OFF-0158,2023-08-29,True
FIR-000305,OFF-0065,2023-09-04,True
FIR-000306,OFF-0034,2023-09-16,True
FIR-000307,OFF-0065,2023-10-30,True
FIR-000308,OFF-0065,2023-10-18,True
FIR-000309,OFF-0065,2023-11-08,True
FIR-000310,OFF-0034,2023-11-27,True
FIR-000311,OFF-0096,2023-12-20,True
FIR-000312,OFF-0065,2023-12-10,True
FIR-000313,OFF-0096,2024-01-26,True
FIR-000314,OFF-0158,2024-01-05,True
FIR-000315,OFF-0127,2024-02-28,True
FIR-000316,OFF-0127,2024-02-04,True
FIR-000317,OFF-0065,2024-03-06,True
FIR-000318,OFF-0034,2024-03-20,True
FIR-000319,OFF-0127,2024-04-18,True
FIR-000320,OFF-0096,2024-04-18,True
FIR-000321,OFF-0034,2024-05-18,True
FIR-000322,OFF-0034,2024-05-20,True
FIR-000323,OFF-0065,2024-06-24,True
FIR-000324,OFF-0127,2024-06-28,True
FIR-000325,OFF-0096,2024-07-05,True
FIR-000326,OFF-0034,2024-07-08,True
FIR-000327,OFF-0096,2024-08-12,True
FIR-000328,OFF-0034,2024-08-21,True
FIR-000329,OFF-0127,2024-09-22,True
FIR-000330,OFF-0096,2024-09-14,True
FIR-000331,OFF-0158,2024-10-26,True
FIR-000332,OFF-0127,2024-10-26,True
FIR-000333,OFF-0127,2024-11-24,True
FIR-000334,OFF-0158,2024-11-23,True
FIR-000335,OFF-0158,2024-12-28,True
FIR-000336,OFF-0158,2024-12-14,True
FIR-000337,OFF-0065,2025-01-26,True
FIR-000338,OFF-0065,2025-01-02,True
FIR-000339,OFF-0158,2025-02-06,True
FIR-000340,OFF-0127,2025-02-25,True
FIR-000341,OFF-0065,2025-03-23,True
FIR-000342,OFF-0065,2025-03-20,True
FIR-000343,OFF-0127,2025-04-23,True
FIR-000344,OFF-0158,2025-04-01,True
FIR-000345,OFF-0127,2025-05-16,True
FIR-000346,OFF-0034,2025-05-04,True
FIR-000347,OFF-0065,2025-06-27,True
FIR-000348,OFF-0158,2025-06-21,True
FIR-000349,OFF-0096,2025-07-25,True
FIR-000350,OFF-0158,2025-07-26,True
FIR-000351,OFF-0127,2025-08-04,True
FIR-000352,OFF-0065,2025-08-12,True
FIR-000353,OFF-0096,2025-09-26,True
FIR-000354,OFF-0096,2025-09-13,True
FIR-000355,OFF-0096,2025-10-09,True
FIR-000356,OFF-0034,2025-10-21,True
FIR-000357,OFF-0034,2025-11-18,True
FIR-000358,OFF-0065,2025-11-23,True
FIR-000359,OFF-0034,2025-12-07,True
FIR-000360,OFF-0158,2025-12-26,True
FIR-000361,OFF-0066,2021-01-09,True
FIR-000362,OFF-0128,2021-01-03,True
FIR-000363,OFF-0128,2021-02-27,True
FIR-000364,OFF-0097,2021-02-07,True
FIR-000365,OFF-0128,2021-03-10,True
FIR-000366,OFF-0097,2021-03-20,True
FIR-000367,OFF-0128,2021-04-25,True
FIR-000368,OFF-0128,2021-04-06,True
FIR-000369,OFF-0097,2021-05-06,True
FIR-000370,OFF-0066,2021-05-02,True
FIR-000371,OFF-0066,2021-06-08,True
FIR-000372,OFF-0159,2021-06-22,True
FIR-000373,OFF-0128,2021-07-06,True
FIR-000374,OFF-0128,2021-07-26,True
FIR-000375,OFF-0159,2021-08-03,True
FIR-000376,OFF-0066,2021-08-17,True
FIR-000377,OFF-0128,2021-09-30,True
FIR-000378,OFF-0128,2021-09-28,True
FIR-000379,OFF-0128,2021-10-04,True
FIR-000380,OFF-0128,2021-10-23,True
FIR-000381,OFF-0066,2021-11-27,True
FIR-000382,OFF-0128,2021-11-09,True
FIR-000383,OFF-0128,2021-12-11,True
FIR-000384,OFF-0097,2021-12-27,True
FIR-000385,OFF-0066,2022-01-03,True
FIR-000386,OFF-0066,2022-01-27,True
FIR-000387,OFF-0097,2022-02-12,True
FIR-000388,OFF-0066,2022-02-03,True
FIR-000389,OFF-0097,2022-03-15,True
FIR-000390,OFF-0159,2022-03-07,True
FIR-000391,OFF-0066,2022-04-05,True
FIR-000392,OFF-0159,2022-04-06,True
FIR-000393,OFF-0066,2022-05-16,True
FIR-000394,OFF-0097,2022-05-07,True
FIR-000395,OFF-0159,2022-06-22,True
FIR-000396,OFF-0066,2022-06-01,True
FIR-000397,OFF-0128,2022-07-04,True
FIR-000398,OFF-0097,2022-07-04,True
FIR-000399,OFF-0066,2022-08-26,True
FIR-000400,OFF-0097,2022-08-19,True
FIR-000401,OFF-0066,2022-09-06,True
FIR-000402,OFF-0066,2022-09-03,True
FIR-000403,OFF-0066,2022-10-22,True
FIR-000404,OFF-0128,2022-10-18,True
FIR-000405,OFF-0159,2022-11-14,True
FIR-000406,OFF-0159,2022-11-06,True
FIR-000407,OFF-0159,2022-12-07,True
FIR-000408,OFF-0128,2022-12-14,True
FIR-000409,OFF-0097,2023-01-08,True
FIR-000410,OFF-0066,2023-01-23,True
FIR-000411,OFF-0066,2023-02-28,True
FIR-000412,OFF-0066,2023-02-02,True
FIR-000413,OFF-0128,2023-03-30,True
FIR-000414,OFF-0159,2023-03-12,True
FIR-000415,OFF-0128,2023-04-06,True
FIR-000416,OFF-0128,2023-04-13,True
FIR-000417,OFF-0097,2023-05-21,True
FIR-000418,OFF-0128,2023-05-28,True
FIR-000419,OFF-0128,2023-06-03,True
FIR-000420,OFF-0159,2023-06-07,True
FIR-000421,OFF-0159,2023-07-07,True
FIR-000422,OFF-0097,2023-07-22,True
FIR-000423,OFF-0097,2023-08-21,True
FIR-000424,OFF-0097,2023-08-31,True
FIR-000425,OFF-0066,2023-09-07,True
FIR-000426,OFF-0128,2023-09-13,True
FIR-000427,OFF-0128,2023-10-12,True
FIR-000428,OFF-0128,2023-10-14,True
FIR-000429,OFF-0066,2023-11-10,True
FIR-000430,OFF-0159,2023-11-01,True
FIR-000431,OFF-0066,2023-12-19,True
FIR-000432,OFF-0066,2023-12-17,True
FIR-000433,OFF-0128,2024-01-07,True
FIR-000434,OFF-0159,2024-01-10,True
FIR-000435,OFF-0159,2024-02-21,True
FIR-000436,OFF-0097,2024-02-29,True
FIR-000437,OFF-0097,2024-03-21,True
FIR-000438,OFF-0097,2024-03-21,True
FIR-000439,OFF-0159,2024-04-13,True
FIR-000440,OFF-0066,2024-04-21,True
FIR-000441,OFF-0159,2024-05-24,True
FIR-000442,OFF-0066,2024-05-15,True
FIR-000443,OFF-0159,2024-06-29,True
FIR-000444,OFF-0128,2024-06-05,True
FIR-000445,OFF-0159,2024-07-12,True
FIR-000446,OFF-0097,2024-07-25,True
FIR-000447,OFF-0097,2024-08-16,True
FIR-000448,OFF-0128,2024-08-30,True
FIR-000449,OFF-0097,2024-09-08,True
FIR-000450,OFF-0128,2024-09-09,True
FIR-000451,OFF-0066,2024-10-31,True
FIR-000452,OFF-0159,2024-10-21,True
FIR-000453,OFF-0128,2024-11-30,True
FIR-000454,OFF-0097,2024-11-08,True
FIR-000455,OFF-0066,2024-12-11,True
FIR-000456,OFF-0128,2024-12-10,True
FIR-000457,OFF-0159,2025-01-26,True
FIR-000458,OFF-0159,2025-01-19,True
FIR-000459,OFF-0066,2025-02-24,True
FIR-000460,OFF-0066,2025-02-19,True
FIR-000461,OFF-0128,2025-03-02,True
FIR-000462,OFF-0097,2025-03-15,True
FIR-000463,OFF-0066,2025-04-17,True
FIR-000464,OFF-0159,2025-04-29,True
FIR-000465,OFF-0159,2025-05-28,True
FIR-000466,OFF-0097,2025-05-29,True
FIR-000467,OFF-0159,2025-06-28,True
FIR-000468,OFF-0097,2025-06-26,True
FIR-000469,OFF-0097,2025-07-07,True
FIR-000470,OFF-0128,2025-07-07,True
FIR-000471,OFF-0128,2025-08-29,True
FIR-000472,OFF-0097,2025-08-03,True
FIR-000473,OFF-0097,2025-09-17,True
FIR-000474,OFF-0159,2025-09-15,True
FIR-000475,OFF-0128,2025-10-28,True
FIR-000476,OFF-0097,2025-10-27,True
FIR-000477,OFF-0097,2025-11-09,True
FIR-000478,OFF-0097,2025-11-16,True
FIR-000479,OFF-0159,2025-12-17,True
FIR-000480,OFF-0097,2025-12-16,True
FIR-000481,OFF-0036,2021-01-20,True
FIR-000482,OFF-0067,2021-01-13,True
FIR-000483,OFF-0005,2021-01-18,True
FIR-000484,OFF-0098,2021-01-27,True
FIR-000485,OFF-0036,2021-02-24,True
FIR-000486,OFF-0067,2021-02-17,True
FIR-000487,OFF-0129,2021-02-10,True
FIR-000488,OFF-0036,2021-02-20,True
FIR-000489,OFF-0098,2021-03-28,True
FIR-000490,OFF-0036,2021-03-14,True
FIR-000491,OFF-0036,2021-03-14,True
FIR-000492,OFF-0036,2021-03-31,True
FIR-000493,OFF-0005,2021-04-29,True
FIR-000494,OFF-0005,2021-04-30,True
FIR-000495,OFF-0067,2021-04-19,True
FIR-000496,OFF-0098,2021-04-22,True
FIR-000497,OFF-0067,2021-05-03,True
FIR-000498,OFF-0098,2021-05-04,True
FIR-000499,OFF-0098,2021-05-10,True
FIR-000500,OFF-0067,2021-05-08,True
FIR-000501,OFF-0005,2021-06-30,True
FIR-000502,OFF-0036,2021-06-08,True
FIR-000503,OFF-0129,2021-06-11,True
FIR-000504,OFF-0005,2021-06-21,True
FIR-000505,OFF-0129,2021-07-27,True
FIR-000506,OFF-0067,2021-07-29,True
FIR-000507,OFF-0067,2021-07-27,True
FIR-000508,OFF-0005,2021-07-30,True
FIR-000509,OFF-0129,2021-08-23,True
FIR-000510,OFF-0067,2021-08-10,True
FIR-000511,OFF-0036,2021-08-19,True
FIR-000512,OFF-0005,2021-08-31,True
FIR-000513,OFF-0036,2021-08-01,True
FIR-000514,OFF-0129,2021-09-22,True
FIR-000515,OFF-0098,2021-09-06,True
FIR-000516,OFF-0005,2021-09-13,True
FIR-000517,OFF-0005,2021-09-07,True
FIR-000518,OFF-0005,2021-09-23,True
FIR-000519,OFF-0005,2021-10-12,True
FIR-000520,OFF-0067,2021-10-10,True
FIR-000521,OFF-0067,2021-10-18,True
FIR-000522,OFF-0036,2021-10-10,True
FIR-000523,OFF-0036,2021-10-14,True
FIR-000524,OFF-0005,2021-11-18,True
FIR-000525,OFF-0067,2021-11-04,True
FIR-000526,OFF-0005,2021-11-24,True
FIR-000527,OFF-0129,2021-11-30,True
FIR-000528,OFF-0129,2021-11-25,True
FIR-000529,OFF-0005,2021-12-09,True
FIR-000530,OFF-0129,2021-12-06,True
FIR-000531,OFF-0129,2021-12-02,True
FIR-000532,OFF-0036,2021-12-11,True
FIR-000533,OFF-0067,2022-01-06,True
FIR-000534,OFF-0005,2022-01-09,True
FIR-000535,OFF-0129,2022-01-18,True
FIR-000536,OFF-0098,2022-01-25,True
FIR-000537,OFF-0005,2022-02-02,True
FIR-000538,OFF-0005,2022-02-19,True
FIR-000539,OFF-0129,2022-02-05,True
FIR-000540,OFF-0098,2022-02-12,True
FIR-000541,OFF-0098,2022-03-23,True
FIR-000542,OFF-0129,2022-03-24,True
FIR-000543,OFF-0067,2022-03-14,True
FIR-000544,OFF-0129,2022-03-02,True
FIR-000545,OFF-0098,2022-04-20,True
FIR-000546,OFF-0067,2022-04-01,True
FIR-000547,OFF-0067,2022-04-20,True
FIR-000548,OFF-0129,2022-04-28,True
FIR-000549,OFF-0067,2022-05-23,True
FIR-000550,OFF-0036,2022-05-18,True
FIR-000551,OFF-0036,2022-05-14,True
FIR-000552,OFF-0067,2022-05-25,True
FIR-000553,OFF-0036,2022-06-19,True
FIR-000554,OFF-0098,2022-06-20,True
FIR-000555,OFF-0098,2022-06-03,True
FIR-000556,OFF-0098,2022-06-02,True
FIR-000557,OFF-0129,2022-07-26,True
FIR-000558,OFF-0067,2022-07-03,True
FIR-000559,OFF-0098,2022-07-29,True
FIR-000560,OFF-0067,2022-07-09,True
FIR-000561,OFF-0067,2022-08-31,True
FIR-000562,OFF-0098,2022-08-15,True
FIR-000563,OFF-0067,2022-08-21,True
FIR-000564,OFF-0067,2022-08-22,True
FIR-000565,OFF-0036,2022-08-23,True
FIR-000566,OFF-0129,2022-09-05,True
FIR-000567,OFF-0036,2022-09-04,True
FIR-000568,OFF-0098,2022-09-25,True
FIR-000569,OFF-0098,2022-09-10,True
FIR-000570,OFF-0067,2022-09-11,True
FIR-000571,OFF-0005,2022-10-29,True
FIR-000572,OFF-0005,2022-10-22,True
FIR-000573,OFF-0129,2022-10-17,True
FIR-000574,OFF-0036,2022-10-28,True
FIR-000575,OFF-0036,2022-10-08,True
FIR-000576,OFF-0067,2022-11-30,True
FIR-000577,OFF-0036,2022-11-02,True
FIR-000578,OFF-0098,2022-11-24,True
FIR-000579,OFF-0098,2022-11-05,True
FIR-000580,OFF-0067,2022-11-09,True
FIR-000581,OFF-0129,2022-12-24,True
FIR-000582,OFF-0067,2022-12-04,True
FIR-000583,OFF-0036,2022-12-15,True
FIR-000584,OFF-0036,2022-12-15,True
FIR-000585,OFF-0036,2023-01-26,True
FIR-000586,OFF-0005,2023-01-04,True
FIR-000587,OFF-0098,2023-01-17,True
FIR-000588,OFF-0098,2023-01-03,True
FIR-000589,OFF-0005,2023-02-03,True
FIR-000590,OFF-0129,2023-02-18,True
FIR-000591,OFF-0067,2023-02-14,True
FIR-000592,OFF-0036,2023-02-07,True
FIR-000593,OFF-0036,2023-03-25,True
FIR-000594,OFF-0129,2023-03-02,True
FIR-000595,OFF-0005,2023-03-17,True
FIR-000596,OFF-0067,2023-03-31,True
FIR-000597,OFF-0129,2023-04-30,True
FIR-000598,OFF-0129,2023-04-22,True
FIR-000599,OFF-0098,2023-04-01,True
FIR-000600,OFF-0005,2023-04-08,True
FIR-000601,OFF-0067,2023-05-29,True
FIR-000602,OFF-0036,2023-05-12,True
FIR-000603,OFF-0005,2023-05-08,True
FIR-000604,OFF-0036,2023-05-04,True
FIR-000605,OFF-0067,2023-06-14,True
FIR-000606,OFF-0098,2023-06-28,True
