accused_id,phone_id,ownership_type,link_fir_id
ACC-01774,PHN-00713,registered,FIR-001317
ACC-01075,PHN-00005,used,FIR-000707
ACC-01831,PHN-00548,registered,FIR-000623
ACC-03424,PHN-02168,registered,FIR-003591
ACC-03892,PHN-00634,used,FIR-001556
ACC-01978,PHN-00736,registered,FIR-002109
ACC-01421,PHN-00881,registered,FIR-001966
ACC-04070,PHN-00807,registered,FIR-002196
ACC-03210,PHN-01913,used,FIR-001153
ACC-00866,PHN-00803,registered,FIR-002124
ACC-02699,PHN-01403,registered,FIR-002741
ACC-03624,PHN-01426,registered,FIR-000545
ACC-04217,PHN-00722,registered,FIR-000316
ACC-03444,PHN-00101,used,FIR-000938
ACC-00308,PHN-00427,used,FIR-003554
ACC-04335,PHN-02121,registered,FIR-003511
ACC-03742,PHN-01865,registered,FIR-003713
ACC-02088,PHN-00764,used,FIR-000806
ACC-03607,PHN-01621,registered,FIR-002798
ACC-00432,PHN-01768,registered,FIR-001492
ACC-02412,PHN-01788,used,FIR-002011
ACC-03894,PHN-00734,registered,FIR-001912
ACC-04330,PHN-01211,used,FIR-002055
ACC-01184,PHN-02039,registered,FIR-000644
ACC-02782,PHN-01686,used,FIR-002682
ACC-00732,PHN-01852,registered,FIR-001472
ACC-01372,PHN-00869,registered,FIR-001829
ACC-02235,PHN-01055,registered,FIR-002535
ACC-01613,PHN-01919,registered,FIR-003158
ACC-01256,PHN-00315,registered,FIR-000635
ACC-04295,PHN-01468,registered,FIR-000541
ACC-02429,PHN-00045,registered,FIR-003322
ACC-02584,PHN-01603,used,FIR-000950
ACC-03774,PHN-02027,registered,FIR-001422
ACC-03630,PHN-02091,registered,FIR-000390
ACC-03155,PHN-01097,registered,FIR-003549
ACC-00590,PHN-01961,used,FIR-002045
ACC-01787,PHN-01484,registered,FIR-001048
ACC-04228,PHN-02016,registered,FIR-000057
ACC-03369,PHN-01589,used,FIR-002223
ACC-00127,PHN-00185,registered,FIR-002750
ACC-02482,PHN-01042,used,FIR-000726
ACC-03688,PHN-01747,used,FIR-002929
ACC-00038,PHN-02005,registered,FIR-003156
ACC-04135,PHN-01676,registered,FIR-002037
ACC-03907,PHN-00459,used,FIR-000547
ACC-01892,PHN-00386,registered,FIR-000009
ACC-00099,PHN-00518,registered,FIR-001123
ACC-02151,PHN-00411,used,FIR-003237
ACC-00847,PHN-00167,registered,FIR-003014
ACC-00098,PHN-01251,registered,FIR-003682
ACC-03958,PHN-01943,used,FIR-002679
ACC-01251,PHN-02004,used,FIR-001783
ACC-02514,PHN-00332,registered,FIR-000513
ACC-00995,PHN-01355,registered,FIR-001691
ACC-04169,PHN-02065,registered,FIR-002303
ACC-02153,PHN-01259,registered,FIR-001411
ACC-00823,PHN-00291,used,FIR-000879
ACC-00018,PHN-00375,registered,FIR-001469
ACC-04046,PHN-00283,registered,FIR-000661
ACC-00585,PHN-00064,registered,FIR-001454
ACC-02542,PHN-01444,used,FIR-001992
ACC-01276,PHN-01962,registered,FIR-000935
ACC-01134,PHN-01085,registered,FIR-003068
ACC-02608,PHN-01531,registered,FIR-001071
ACC-02115,PHN-01761,used,FIR-003446
ACC-03655,PHN-01369,registered,FIR-002740
ACC-01707,PHN-01094,registered,FIR-002342
ACC-02736,PHN-02137,registered,FIR-000877
ACC-02520,PHN-00660,registered,FIR-002906
ACC-04284,PHN-01020,used,FIR-000798
ACC-03911,PHN-01958,registered,FIR-003064
ACC-01905,PHN-00893,registered,FIR-002246
ACC-00702,PHN-01290,registered,FIR-003489
ACC-01299,PHN-00159,registered,FIR-002586
ACC-02039,PHN-02205,registered,FIR-002938
ACC-01818,PHN-00078,registered,FIR-000899
ACC-00157,PHN-01562,used,FIR-003471
ACC-01668,PHN-01050,registered,FIR-002585
ACC-03757,PHN-00020,registered,FIR-001544
ACC-02040,PHN-01243,registered,FIR-001694
ACC-01982,PHN-00685,registered,FIR-003611
ACC-04168,PHN-00279,registered,FIR-002157
ACC-03727,PHN-00050,registered,FIR-002855
ACC-01482,PHN-00329,used,FIR-002260
ACC-00810,PHN-02152,registered,FIR-000525
ACC-02456,PHN-01359,used,FIR-000734
ACC-01019,PHN-00431,registered,FIR-000605
ACC-00873,PHN-01043,registered,FIR-000117
ACC-02347,PHN-02201,registered,FIR-000398
ACC-01352,PHN-01604,registered,FIR-000454
ACC-01190,PHN-00331,registered,FIR-001578
ACC-02589,PHN-01968,registered,FIR-002518
ACC-02532,PHN-01938,registered,FIR-001490
ACC-03228,PHN-01462,used,FIR-000724
ACC-02070,PHN-01436,registered,FIR-001904
ACC-02756,PHN-01819,used,FIR-001871
ACC-01093,PHN-01019,registered,FIR-003291
ACC-02959,PHN-00425,registered,FIR-002219
ACC-02472,PHN-00089,registered,FIR-003504
ACC-02057,PHN-00820,used,FIR-003386
ACC-01250,PHN-00239,registered,FIR-001648
ACC-03897,PHN-01183,used,FIR-001166
ACC-00784,PHN-02063,registered,FIR-003429
ACC-00057,PHN-02038,registered,FIR-002227
ACC-03413,PHN-00296,registered,FIR-001339
ACC-04359,PHN-00720,registered,FIR-002098
ACC-00920,PHN-00417,registered,FIR-000266
ACC-02630,PHN-00448,used,FIR-000203
ACC-02983,PHN-00750,registered,FIR-001215
ACC-01377,PHN-00510,registered,FIR-002304
ACC-02458,PHN-01650,registered,FIR-000220
ACC-00845,PHN-00088,registered,FIR-000143
ACC-02776,PHN-01931,registered,FIR-001768
ACC-00299,PHN-00568,registered,FIR-001745
ACC-02596,PHN-01122,registered,FIR-001931
ACC-01842,PHN-01154,registered,FIR-003152
ACC-03358,PHN-02017,registered,FIR-000826
ACC-02376,PHN-02174,used,FIR-001679
ACC-03877,PHN-01724,registered,FIR-003633
ACC-03689,PHN-01217,registered,FIR-000089
ACC-01689,PHN-02204,registered,FIR-000642
ACC-02260,PHN-02110,used,FIR-001157
ACC-03946,PHN-01413,registered,FIR-002990
ACC-01194,PHN-01242,registered,FIR-000852
ACC-03939,PHN-01329,registered,FIR-000432
ACC-02413,PHN-00975,registered,FIR-000701
ACC-03138,PHN-00413,registered,FIR-001026
ACC-04369,PHN-00890,used,FIR-000043
ACC-01631,PHN-00471,registered,FIR-002195
ACC-01025,PHN-00833,registered,FIR-002413
ACC-01617,PHN-00126,registered,FIR-000718
ACC-02614,PHN-02135,registered,FIR-000441
ACC-00179,PHN-01886,registered,FIR-003182
ACC-04375,PHN-00538,used,FIR-003364
ACC-00773,PHN-02155,registered,FIR-003136
ACC-00688,PHN-00796,registered,FIR-003150
ACC-02170,PHN-00397,registered,FIR-002404
ACC-01233,PHN-01674,registered,FIR-002039
ACC-04319,PHN-00612,registered,FIR-001650
ACC-01751,PHN-01156,registered,FIR-000802
ACC-02495,PHN-00688,used,FIR-003264
ACC-03220,PHN-00595,registered,FIR-001152
ACC-02729,PHN-01537,registered,FIR-003304
ACC-03428,PHN-00069,registered,FIR-000348
ACC-03534,PHN-00201,used,FIR-002608
ACC-00811,PHN-02163,registered,FIR-000355
ACC-04133,PHN-01334,used,FIR-000989
ACC-00582,PHN-00859,registered,FIR-002804
ACC-02448,PHN-01873,used,FIR-000141
ACC-01965,PHN-02166,registered,FIR-003183
ACC-00112,PHN-00748,registered,FIR-001854
ACC-00120,PHN-00999,registered,FIR-002508
ACC-03073,PHN-00214,used,FIR-002165
ACC-02871,PHN-00631,registered,FIR-002269
ACC-03988,PHN-01459,used,FIR-002498
ACC-04114,PHN-00316,registered,FIR-002534
ACC-00912,PHN-02139,registered,FIR-002306
ACC-01157,PHN-00085,registered,FIR-002443
ACC-01300,PHN-00346,registered,FIR-002504
ACC-01883,PHN-01411,registered,FIR-000382
ACC-01632,PHN-00401,registered,FIR-003661
ACC-02233,PHN-01797,registered,FIR-000799
ACC-04242,PHN-00821,used,FIR-000216
ACC-04001,PHN-00733,used,FIR-000403
ACC-01694,PHN-01192,registered,FIR-001813
ACC-02568,PHN-02164,registered,FIR-002127
ACC-01214,PHN-01642,registered,FIR-002595
ACC-02277,PHN-01926,registered,FIR-001195
ACC-02022,PHN-01564,used,FIR-000968
ACC-03584,PHN-02225,registered,FIR-003334
ACC-01588,PHN-01223,used,FIR-000417
ACC-02603,PHN-01260,registered,FIR-000063
ACC-00090,PHN-01745,registered,FIR-000023
ACC-02203,PHN-00911,used,FIR-000581
ACC-03964,PHN-01965,registered,FIR-002294
ACC-03604,PHN-01719,registered,FIR-000673
ACC-00105,PHN-00473,registered,FIR-000719
ACC-03192,PHN-01205,registered,FIR-001124
ACC-00946,PHN-01146,registered,FIR-001296
ACC-00068,PHN-00536,registered,FIR-001309
ACC-03353,PHN-01885,registered,FIR-000415
ACC-02732,PHN-00057,registered,FIR-002711
ACC-00922,PHN-00439,used,FIR-002974
ACC-01752,PHN-01229,registered,FIR-002190
ACC-04119,PHN-00172,registered,FIR-002427
ACC-00863,PHN-01753,registered,FIR-000244
ACC-02641,PHN-00938,registered,FIR-001524
ACC-03180,PHN-01552,used,FIR-001711
ACC-02597,PHN-01410,registered,FIR-001441
ACC-02582,PHN-02085,registered,FIR-002406
ACC-00132,PHN-01080,registered,FIR-003188
ACC-02009,PHN-01875,registered,FIR-003210
ACC-00220,PHN-01093,registered,FIR-003350
ACC-01380,PHN-00442,registered,FIR-000389
ACC-03882,PHN-00936,used,FIR-002386
ACC-02223,PHN-00190,registered,FIR-000678
ACC-00095,PHN-00428,used,FIR-002652
ACC-00969,PHN-00513,used,FIR-001336
ACC-01503,PHN-01417,registered,FIR-002167
ACC-00149,PHN-00829,registered,FIR-001557
ACC-01823,PHN-01746,used,FIR-000421
ACC-03294,PHN-02191,registered,FIR-003385
ACC-03793,PHN-01047,registered,FIR-003059
ACC-03572,PHN-00478,registered,FIR-000469
ACC-02337,PHN-01102,registered,FIR-000697
ACC-00707,PHN-00899,used,FIR-002310
ACC-01696,PHN-00598,registered,FIR-002672
ACC-01640,PHN-00555,registered,FIR-000862
ACC-02173,PHN-01775,used,FIR-001230
ACC-01337,PHN-00368,registered,FIR-003635
ACC-02041,PHN-00286,registered,FIR-000047
ACC-01526,PHN-01555,registered,FIR-000006
ACC-04401,PHN-00470,used,FIR-003053
ACC-02149,PHN-01830,registered,FIR-000280
ACC-03486,PHN-01956,registered,FIR-003414
ACC-03206,PHN-01488,registered,FIR-000891
ACC-01626,PHN-00082,registered,FIR-001237
ACC-04102,PHN-01660,used,FIR-002135
ACC-03780,PHN-00797,used,FIR-000809
ACC-03308,PHN-02127,registered,FIR-000915
ACC-02595,PHN-00285,registered,FIR-000340
ACC-03443,PHN-00128,used,FIR-000223
ACC-02193,PHN-00956,used,FIR-000033
ACC-03957,PHN-02036,registered,FIR-000712
ACC-02108,PHN-00944,registered,FIR-001473
ACC-04445,PHN-00031,registered,FIR-003118
ACC-03082,PHN-01002,used,FIR-001164
ACC-02887,PHN-00481,registered,FIR-001538
ACC-00752,PHN-02154,registered,FIR-001212
ACC-00087,PHN-00090,used,FIR-001368
ACC-01125,PHN-01151,registered,FIR-002820
ACC-03291,PHN-00998,registered,FIR-001268
ACC-00780,PHN-00544,registered,FIR-000334
ACC-00762,PHN-00035,registered,FIR-000214
ACC-04407,PHN-01174,registered,FIR-000310
ACC-03422,PHN-00038,registered,FIR-000560
ACC-01062,PHN-00901,registered,FIR-002777
ACC-02580,PHN-01971,registered,FIR-003106
ACC-02874,PHN-00352,registered,FIR-002219
ACC-00760,PHN-00199,used,FIR-002548
ACC-00781,PHN-00160,registered,FIR-002894
ACC-03772,PHN-02186,registered,FIR-002242
ACC-00734,PHN-00712,registered,FIR-001260
ACC-02906,PHN-01916,registered,FIR-003362
ACC-00131,PHN-00154,used,FIR-001081
ACC-02312,PHN-00269,registered,FIR-003143
ACC-00175,PHN-01812,used,FIR-003272
ACC-02591,PHN-01987,registered,FIR-002391
ACC-00655,PHN-00275,used,FIR-001421
ACC-00528,PHN-00278,registered,FIR-001681
ACC-03910,PHN-01827,used,FIR-003094
ACC-02656,PHN-02018,used,FIR-001034
ACC-02019,PHN-02032,registered,FIR-002156
ACC-01395,PHN-01335,used,FIR-002839
ACC-04225,PHN-00319,registered,FIR-000146
ACC-04059,PHN-02179,registered,FIR-003458
ACC-03803,PHN-01345,used,FIR-002046
ACC-00442,PHN-00791,registered,FIR-000813
ACC-03490,PHN-01464,used,FIR-001605
ACC-03351,PHN-01759,registered,FIR-001239
ACC-00313,PHN-01568,registered,FIR-000065
ACC-03627,PHN-00406,registered,FIR-003351
ACC-03307,PHN-01606,registered,FIR-002578
ACC-04304,PHN-01876,registered,FIR-001260
ACC-02252,PHN-00816,used,FIR-000704
ACC-00031,PHN-01034,registered,FIR-002273
ACC-04333,PHN-00419,registered,FIR-002370
ACC-01327,PHN-00261,registered,FIR-003275
ACC-00167,PHN-00468,used,FIR-000830
ACC-01169,PHN-01078,registered,FIR-000261
ACC-03893,PHN-01618,registered,FIR-000958
ACC-02752,PHN-00056,used,FIR-003133
ACC-01264,PHN-00034,used,FIR-000948
ACC-00443,PHN-01533,registered,FIR-002460
ACC-02833,PHN-01974,registered,FIR-002465
ACC-03533,PHN-00522,registered,FIR-001522
ACC-02938,PHN-01519,registered,FIR-002911
ACC-01397,PHN-01446,registered,FIR-001462
ACC-02659,PHN-02101,registered,FIR-000367
ACC-04390,PHN-00804,registered,FIR-002607
ACC-02016,PHN-00260,registered,FIR-000314
ACC-03902,PHN-00326,used,FIR-000674
ACC-03810,PHN-00079,used,FIR-002276
ACC-03141,PHN-00529,registered,FIR-001557
ACC-04067,PHN-01428,registered,FIR-002085
ACC-01647,PHN-00081,used,FIR-001860
ACC-02790,PHN-02000,registered,FIR-000165
ACC-00484,PHN-00534,registered,FIR-003634
ACC-01639,PHN-00380,registered,FIR-003642
ACC-01772,PHN-00312,registered,FIR-001471
ACC-02907,PHN-00003,registered,FIR-003333
ACC-02763,PHN-00158,used,FIR-002350
ACC-03968,PHN-02021,used,FIR-002705
ACC-03503,PHN-01393,registered,FIR-001519
ACC-00364,PHN-01792,registered,FIR-001647
ACC-01359,PHN-01984,registered,FIR-002791
ACC-02373,PHN-01437,registered,FIR-003478
ACC-03997,PHN-00349,registered,FIR-001756
ACC-04315,PHN-00566,registered,FIR-001372
ACC-04293,PHN-01398,registered,FIR-003224
ACC-01934,PHN-02094,registered,FIR-003657
ACC-04271,PHN-01652,used,FIR-001051
ACC-01637,PHN-01805,used,FIR-001347
ACC-04142,PHN-00362,registered,FIR-003161
ACC-03331,PHN-01346,used,FIR-000658
ACC-00578,PHN-01303,registered,FIR-000112
ACC-03936,PHN-01528,registered,FIR-001767
ACC-01687,PHN-00773,used,FIR-002525
ACC-00479,PHN-00162,registered,FIR-001120
ACC-00737,PHN-01423,used,FIR-002830
ACC-03194,PHN-01158,registered,FIR-002731
ACC-00942,PHN-01737,used,FIR-001869
ACC-02663,PHN-01598,registered,FIR-003456
ACC-01317,PHN-01486,registered,FIR-000447
ACC-00803,PHN-00449,registered,FIR-002901
ACC-02060,PHN-00616,registered,FIR-000907
ACC-02271,PHN-00307,registered,FIR-002481
ACC-02898,PHN-01723,registered,FIR-001529
ACC-01788,PHN-00181,registered,FIR-000090
ACC-00326,PHN-01247,registered,FIR-001723
ACC-00166,PHN-01779,registered,FIR-002089
ACC-01210,PHN-01134,registered,FIR-000775
ACC-01960,PHN-00941,used,FIR-001970
ACC-00165,PHN-01494,registered,FIR-001698
ACC-04326,PHN-01136,registered,FIR-003680
ACC-04248,PHN-00731,registered,FIR-001452
ACC-03143,PHN-01315,registered,FIR-002697
ACC-02103,PHN-01215,registered,FIR-001423
ACC-02390,PHN-00353,registered,FIR-002679
ACC-03461,PHN-01241,registered,FIR-000624
ACC-04007,PHN-00588,registered,FIR-002805
ACC-03943,PHN-01584,registered,FIR-003610
ACC-00003,PHN-01690,registered,FIR-000550
ACC-00950,PHN-00044,used,FIR-001719
ACC-01243,PHN-01362,registered,FIR-000941
ACC-02811,PHN-01868,used,FIR-000972
ACC-03463,PHN-00338,registered,FIR-000741
ACC-04038,PHN-00651,registered,FIR-001788
ACC-00744,PHN-02185,registered,FIR-002379
ACC-02071,PHN-02076,used,FIR-002998
ACC-00339,PHN-01646,registered,FIR-003102
ACC-03950,PHN-00420,registered,FIR-002851
ACC-03524,PHN-02013,registered,FIR-003592
ACC-01411,PHN-02049,registered,FIR-003611
ACC-03449,PHN-00337,registered,FIR-003523
ACC-02730,PHN-01272,registered,FIR-002973
ACC-03952,PHN-01786,registered,FIR-003232
ACC-01819,PHN-01155,used,FIR-003619
ACC-04419,PHN-01733,registered,FIR-001543
ACC-03779,PHN-01037,registered,FIR-001181
ACC-04449,PHN-01802,registered,FIR-001264
ACC-02232,PHN-00684,registered,FIR-003191
ACC-01731,PHN-02071,registered,FIR-002701
ACC-00013,PHN-00490,used,FIR-002576
ACC-02431,PHN-00095,registered,FIR-001204
ACC-03521,PHN-00395,registered,FIR-001759
ACC-00472,PHN-00222,registered,FIR-000362
ACC-00777,PHN-01133,registered,FIR-003198
ACC-02171,PHN-01657,registered,FIR-000665
ACC-02642,PHN-00681,registered,FIR-001690
ACC-00194,PHN-02219,used,FIR-003375
ACC-01740,PHN-00864,used,FIR-003226
ACC-02370,PHN-00441,registered,FIR-002148
ACC-00244,PHN-00197,registered,FIR-001405
ACC-02745,PHN-00599,registered,FIR-003582
ACC-00871,PHN-00648,registered,FIR-001744
ACC-03000,PHN-00982,used,FIR-003447
ACC-03987,PHN-01942,registered,FIR-002694
ACC-00550,PHN-00200,used,FIR-000265
ACC-01793,PHN-01135,used,FIR-003427
ACC-01153,PHN-00351,registered,FIR-002081
ACC-01270,PHN-01980,registered,FIR-003632
ACC-01450,PHN-01415,registered,FIR-002730
ACC-01469,PHN-01008,used,FIR-003276
ACC-00806,PHN-00809,used,FIR-003094
ACC-02080,PHN-00556,registered,FIR-002926
ACC-01225,PHN-00597,used,FIR-002896
ACC-00553,PHN-00532,registered,FIR-000262
ACC-01136,PHN-01014,registered,FIR-002965
ACC-03099,PHN-00976,registered,FIR-000720
ACC-00372,PHN-00586,registered,FIR-000085
ACC-01079,PHN-00857,used,FIR-002810
ACC-02113,PHN-00169,registered,FIR-003141
ACC-03343,PHN-01572,registered,FIR-001904
ACC-01857,PHN-02024,registered,FIR-000796
ACC-03786,PHN-01877,used,FIR-003485
ACC-01587,PHN-00863,registered,FIR-000318
ACC-02877,PHN-00856,registered,FIR-002443
ACC-02411,PHN-02123,registered,FIR-000843
ACC-02042,PHN-01838,registered,FIR-002645
ACC-04086,PHN-01005,registered,FIR-000393
ACC-02826,PHN-00193,registered,FIR-000650
ACC-01122,PHN-00943,registered,FIR-000522
ACC-01247,PHN-00489,registered,FIR-003521
ACC-00241,PHN-01767,used,FIR-003428
ACC-03970,PHN-01332,used,FIR-002439
ACC-01806,PHN-00987,registered,FIR-002467
ACC-00085,PHN-02159,registered,FIR-000796
ACC-03368,PHN-01435,used,FIR-003287
ACC-03998,PHN-01066,registered,FIR-003208
ACC-01725,PHN-00754,registered,FIR-003513
ACC-03884,PHN-00414,used,FIR-001506
ACC-04218,PHN-00093,used,FIR-001734
ACC-02038,PHN-00294,registered,FIR-003270
ACC-00957,PHN-01842,registered,FIR-000187
ACC-02109,PHN-02184,registered,FIR-003044
ACC-03078,PHN-01888,registered,FIR-002042
ACC-01572,PHN-00071,used,FIR-003710
ACC-03866,PHN-01973,registered,FIR-002432
ACC-04434,PHN-01383,registered,FIR-000739
ACC-00647,PHN-00653,registered,FIR-002792
ACC-02496,PHN-00714,registered,FIR-000631
ACC-01950,PHN-01861,registered,FIR-003529
ACC-00065,PHN-00692,registered,FIR-001404
ACC-00844,PHN-00422,registered,FIR-003137
ACC-02913,PHN-02026,registered,FIR-002206
ACC-03476,PHN-00519,registered,FIR-002859
ACC-00508,PHN-02030,registered,FIR-000362
ACC-03495,PHN-00550,registered,FIR-001646
ACC-02788,PHN-00843,registered,FIR-003063
ACC-03104,PHN-00626,registered,FIR-002018
ACC-01050,PHN-01152,used,FIR-003212
ACC-03750,PHN-01181,registered,FIR-003164
ACC-02313,PHN-01054,registered,FIR-000749
ACC-03440,PHN-01667,registered,FIR-000171
ACC-04381,PHN-00106,used,FIR-003062
ACC-03994,PHN-01479,used,FIR-001455
ACC-02302,PHN-02114,registered,FIR-000568
ACC-04021,PHN-01150,registered,FIR-002339
ACC-01330,PHN-01816,used,FIR-001188
ACC-02504,PHN-01946,registered,FIR-003284
ACC-01177,PHN-01208,registered,FIR-001875
ACC-03389,PHN-02196,registered,FIR-002828
ACC-03350,PHN-01964,registered,FIR-001654
ACC-02455,PHN-00761,used,FIR-002182
ACC-01004,PHN-00838,registered,FIR-000231
ACC-00522,PHN-01620,registered,FIR-002871
ACC-00934,PHN-00806,registered,FIR-002618
ACC-02724,PHN-00905,registered,FIR-000430
ACC-00335,PHN-00255,registered,FIR-000367
ACC-00935,PHN-01358,registered,FIR-003331
ACC-00892,PHN-00065,registered,FIR-002117
ACC-00771,PHN-00318,registered,FIR-000838
ACC-02275,PHN-00762,registered,FIR-003121
ACC-03550,PHN-00372,registered,FIR-003171
ACC-04425,PHN-02129,used,FIR-000587
