victim_id,fir_id,injury_severity,complaint_type
VIC-01839,FIR-000065,NONE,FAMILY_MEMBER
VIC-01311,FIR-000066,MINOR,FAMILY_MEMBER
VIC-02640,FIR-000067,MINOR,FAMILY_MEMBER
VIC-03550,FIR-000068,MINOR,SELF
VIC-00121,FIR-000069,MODERATE,THIRD_PARTY
VIC-01899,FIR-000070,MINOR,SELF
VIC-00545,FIR-000071,MODERATE,FAMILY_MEMBER
VIC-03750,FIR-000072,MODERATE,THIRD_PARTY
VIC-00992,FIR-000073,MINOR,SELF
VIC-03622,FIR-000074,NONE,SELF
VIC-01139,FIR-000074,SEVERE,FAMILY_MEMBER
VIC-02821,FIR-000075,NONE,FAMILY_MEMBER
VIC-03161,FIR-000076,MODERATE,SELF
VIC-02698,FIR-000077,MODERATE,FAMILY_MEMBER
VIC-02166,FIR-000078,SEVERE,FAMILY_MEMBER
VIC-03891,FIR-000079,MODERATE,SELF
VIC-01189,FIR-000080,MINOR,FAMILY_MEMBER
VIC-02602,FIR-000080,NONE,FAMILY_MEMBER
VIC-03398,FIR-000081,MODERATE,THIRD_PARTY
VIC-02494,FIR-000081,MINOR,THIRD_PARTY
VIC-01085,FIR-000082,NONE,FAMILY_MEMBER
VIC-01856,FIR-000082,MINOR,FAMILY_MEMBER
VIC-01856,FIR-000083,NONE,POLICE_SUO_MOTU
VIC-01762,FIR-000084,NONE,SELF
VIC-03685,FIR-000085,MINOR,SELF
VIC-03002,FIR-000085,MODERATE,FAMILY_MEMBER
VIC-00210,FIR-000086,MINOR,FAMILY_MEMBER
VIC-03194,FIR-000087,NONE,SELF
VIC-02200,FIR-000088,MINOR,SELF
VIC-00968,FIR-000088,SEVERE,SELF
VIC-01058,FIR-000089,NONE,SELF
VIC-01747,FIR-000090,NONE,SELF
VIC-02191,FIR-000091,MINOR,FAMILY_MEMBER
VIC-00498,FIR-000092,MODERATE,SELF
VIC-03254,FIR-000093,MODERATE,SELF
VIC-01383,FIR-000094,NONE,FAMILY_MEMBER
VIC-00501,FIR-000095,MINOR,FAMILY_MEMBER
VIC-01460,FIR-000095,MODERATE,SELF
VIC-03871,FIR-000096,NONE,SELF
VIC-03250,FIR-000097,MODERATE,POLICE_SUO_MOTU
VIC-01402,FIR-000097,NONE,THIRD_PARTY
VIC-03788,FIR-000098,MODERATE,SELF
VIC-03100,FIR-000099,MINOR,THIRD_PARTY
VIC-00687,FIR-000100,NONE,FAMILY_MEMBER
VIC-03063,FIR-000100,MINOR,POLICE_SUO_MOTU
VIC-03825,FIR-000101,SEVERE,SELF
VIC-02632,FIR-000102,NONE,THIRD_PARTY
VIC-00518,FIR-000102,NONE,SELF
VIC-02658,FIR-000103,NONE,FAMILY_MEMBER
VIC-01839,FIR-000103,MODERATE,SELF
VIC-02300,FIR-000104,MODERATE,FAMILY_MEMBER
VIC-02268,FIR-000104,SEVERE,FAMILY_MEMBER
VIC-00134,FIR-000105,MODERATE,FAMILY_MEMBER
VIC-01744,FIR-000106,NONE,THIRD_PARTY
VIC-00561,FIR-000107,MINOR,THIRD_PARTY
VIC-03481,FIR-000108,MINOR,SELF
VIC-00308,FIR-000108,MINOR,FAMILY_MEMBER
VIC-02521,FIR-000109,NONE,FAMILY_MEMBER
VIC-02470,FIR-000110,MINOR,SELF
VIC-01083,FIR-000110,MODERATE,SELF
VIC-02385,FIR-000111,MODERATE,SELF
VIC-02254,FIR-000112,MODERATE,THIRD_PARTY
VIC-03831,FIR-000113,MINOR,FAMILY_MEMBER
VIC-01219,FIR-000114,NONE,SELF
VIC-03597,FIR-000115,MINOR,FAMILY_MEMBER
VIC-00214,FIR-000115,NONE,SELF
VIC-03100,FIR-000116,NONE,THIRD_PARTY
VIC-00438,FIR-000116,NONE,FAMILY_MEMBER
VIC-00336,FIR-000117,NONE,SELF
VIC-00426,FIR-000118,MINOR,SELF
VIC-02901,FIR-000118,NONE,FAMILY_MEMBER
VIC-00978,FIR-000119,SEVERE,SELF
VIC-01120,FIR-000119,MINOR,FAMILY_MEMBER
VIC-00975,FIR-000120,NONE,SELF
VIC-00789,FIR-000120,MODERATE,SELF
VIC-01686,FIR-000121,SEVERE,SELF
VIC-00511,FIR-000122,MODERATE,SELF
VIC-01856,FIR-000123,MINOR,SELF
VIC-00756,FIR-000124,MODERATE,FAMILY_MEMBER
VIC-02913,FIR-000125,NONE,POLICE_SUO_MOTU
VIC-02996,FIR-000125,NONE,SELF
VIC-00009,FIR-000126,MINOR,FAMILY_MEMBER
VIC-00417,FIR-000126,NONE,SELF
VIC-00505,FIR-000127,MODERATE,SELF
VIC-02787,FIR-000128,NONE,FAMILY_MEMBER
VIC-01595,FIR-000129,NONE,THIRD_PARTY
VIC-02713,FIR-000129,NONE,SELF
VIC-02644,FIR-000130,MINOR,SELF
VIC-03066,FIR-000131,MINOR,SELF
VIC-03610,FIR-000131,NONE,SELF
VIC-01939,FIR-000132,MODERATE,SELF
VIC-02639,FIR-000133,NONE,SELF
VIC-01600,FIR-000134,NONE,SELF
VIC-00547,FIR-000134,NONE,SELF
VIC-03886,FIR-000135,MINOR,FAMILY_MEMBER
VIC-01519,FIR-000136,MINOR,FAMILY_MEMBER
VIC-03275,FIR-000137,NONE,SELF
VIC-00439,FIR-000138,NONE,SELF
VIC-02232,FIR-000139,MODERATE,FAMILY_MEMBER
VIC-02571,FIR-000139,MINOR,SELF
VIC-03275,FIR-000140,MODERATE,SELF
VIC-00768,FIR-000141,NONE,SELF
VIC-03296,FIR-000142,NONE,SELF
VIC-03449,FIR-000142,SEVERE,FAMILY_MEMBER
VIC-02559,FIR-000143,NONE,SELF
VIC-01931,FIR-000144,MODERATE,SELF
VIC-02304,FIR-000145,NONE,SELF
VIC-01683,FIR-000146,MODERATE,SELF
VIC-00298,FIR-000147,NONE,POLICE_SUO_MOTU
VIC-00905,FIR-000148,MODERATE,SELF
VIC-03761,FIR-000149,MINOR,SELF
VIC-01843,FIR-000150,MODERATE,SELF
VIC-00384,FIR-000151,MODERATE,FAMILY_MEMBER
VIC-02577,FIR-000151,SEVERE,SELF
VIC-00685,FIR-000152,MINOR,FAMILY_MEMBER
VIC-03347,FIR-000153,SEVERE,FAMILY_MEMBER
VIC-02064,FIR-000154,MINOR,THIRD_PARTY
VIC-01750,FIR-000154,MINOR,THIRD_PARTY
VIC-00673,FIR-000155,NONE,SELF
VIC-00088,FIR-000155,MINOR,SELF
VIC-00186,FIR-000156,MODERATE,SELF
VIC-00544,FIR-000156,NONE,SELF
VIC-00129,FIR-000157,NONE,THIRD_PARTY
VIC-03606,FIR-000158,MODERATE,THIRD_PARTY
VIC-03415,FIR-000159,SEVERE,SELF
VIC-02184,FIR-000160,NONE,THIRD_PARTY
VIC-00279,FIR-000161,NONE,SELF
VIC-01091,FIR-000162,MODERATE,FAMILY_MEMBER
VIC-03691,FIR-000163,SEVERE,THIRD_PARTY
VIC-01352,FIR-000163,MODERATE,SELF
VIC-02324,FIR-000164,NONE,SELF
VIC-03428,FIR-000164,MODERATE,SELF
VIC-03005,FIR-000165,MODERATE,THIRD_PARTY
VIC-03165,FIR-000166,MINOR,THIRD_PARTY
VIC-02845,FIR-000167,NONE,SELF
VIC-02186,FIR-000167,SEVERE,SELF
VIC-02920,FIR-000168,MODERATE,SELF
VIC-03273,FIR-000169,NONE,THIRD_PARTY
VIC-03623,FIR-000170,NONE,SELF
VIC-00384,FIR-000171,NONE,SELF
VIC-01752,FIR-000172,MINOR,THIRD_PARTY
VIC-02863,FIR-000173,MINOR,SELF
VIC-02953,FIR-000174,MINOR,SELF
VIC-02791,FIR-000175,NONE,THIRD_PARTY
VIC-03347,FIR-000175,NONE,SELF
VIC-01091,FIR-000176,MODERATE,SELF
VIC-02610,FIR-000177,MINOR,SELF
VIC-03097,FIR-000178,MODERATE,FAMILY_MEMBER
VIC-02478,FIR-000179,NONE,SELF
VIC-00472,FIR-000180,MODERATE,SELF
VIC-00653,FIR-000181,NONE,THIRD_PARTY
VIC-01953,FIR-000182,NONE,SELF
VIC-03377,FIR-000183,MODERATE,SELF
VIC-01287,FIR-000183,NONE,SELF
VIC-00975,FIR-000184,NONE,FAMILY_MEMBER
VIC-02608,FIR-000185,NONE,SELF
VIC-02172,FIR-000185,NONE,SELF
VIC-03268,FIR-000186,NONE,SELF
VIC-01500,FIR-000187,NONE,SELF
VIC-02264,FIR-000188,MODERATE,FAMILY_MEMBER
VIC-01681,FIR-000189,MINOR,FAMILY_MEMBER
VIC-00070,FIR-000190,MODERATE,FAMILY_MEMBER
VIC-02154,FIR-000191,NONE,SELF
VIC-00193,FIR-000191,SEVERE,THIRD_PARTY
VIC-03647,FIR-000192,MINOR,SELF
VIC-01060,FIR-000193,SEVERE,FAMILY_MEMBER
VIC-03607,FIR-000194,SEVERE,SELF
VIC-02165,FIR-000195,MINOR,SELF
VIC-00580,FIR-000196,MINOR,FAMILY_MEMBER
VIC-02341,FIR-000197,MINOR,FAMILY_MEMBER
VIC-00085,FIR-000198,NONE,SELF
VIC-02971,FIR-000199,MODERATE,SELF
VIC-01032,FIR-000200,NONE,THIRD_PARTY
VIC-02588,FIR-000201,NONE,SELF
VIC-03104,FIR-000201,NONE,THIRD_PARTY
VIC-02954,FIR-000202,MINOR,SELF
VIC-03545,FIR-000203,SEVERE,SELF
VIC-01685,FIR-000204,MODERATE,THIRD_PARTY
VIC-02173,FIR-000205,MINOR,THIRD_PARTY
VIC-01509,FIR-000206,NONE,FAMILY_MEMBER
VIC-03402,FIR-000206,SEVERE,SELF
VIC-03407,FIR-000207,MINOR,FAMILY_MEMBER
VIC-01187,FIR-000207,MINOR,SELF
VIC-03754,FIR-000208,NONE,POLICE_SUO_MOTU
VIC-00796,FIR-000208,MODERATE,SELF
VIC-01617,FIR-000209,MODERATE,THIRD_PARTY
VIC-02914,FIR-000210,MINOR,SELF
VIC-03226,FIR-000210,NONE,SELF
VIC-00375,FIR-000211,MINOR,SELF
VIC-01659,FIR-000211,MINOR,POLICE_SUO_MOTU
VIC-00143,FIR-000212,MODERATE,POLICE_SUO_MOTU
VIC-02069,FIR-000213,MINOR,POLICE_SUO_MOTU
VIC-00391,FIR-000213,MINOR,SELF
VIC-03540,FIR-000214,MINOR,SELF
VIC-00109,FIR-000215,SEVERE,SELF
VIC-03190,FIR-000215,MINOR,SELF
VIC-02740,FIR-000216,NONE,SELF
VIC-01119,FIR-000216,MODERATE,FAMILY_MEMBER
VIC-03755,FIR-000217,NONE,FAMILY_MEMBER
VIC-01507,FIR-000217,MINOR,SELF
VIC-02473,FIR-000218,NONE,SELF
VIC-03162,FIR-000218,MINOR,SELF
VIC-02171,FIR-000219,MINOR,THIRD_PARTY
VIC-01669,FIR-000220,NONE,THIRD_PARTY
VIC-00577,FIR-000221,NONE,SELF
VIC-00378,FIR-000222,NONE,SELF
VIC-00533,FIR-000223,MINOR,SELF
VIC-02583,FIR-000224,NONE,FAMILY_MEMBER
VIC-01756,FIR-000225,MINOR,FAMILY_MEMBER
VIC-00478,FIR-000226,MODERATE,SELF
VIC-03867,FIR-000227,NONE,POLICE_SUO_MOTU
VIC-00833,FIR-000227,NONE,SELF
VIC-03125,FIR-000228,NONE,SELF
VIC-03053,FIR-000229,NONE,POLICE_SUO_MOTU
VIC-01395,FIR-000230,NONE,THIRD_PARTY
VIC-00752,FIR-000230,MINOR,SELF
VIC-03126,FIR-000231,MINOR,THIRD_PARTY
VIC-01142,FIR-000232,MODERATE,SELF
VIC-00021,FIR-000233,MODERATE,POLICE_SUO_MOTU
VIC-00973,FIR-000234,MINOR,FAMILY_MEMBER
VIC-03661,FIR-000234,MINOR,SELF
VIC-02518,FIR-000235,MODERATE,SELF
VIC-02843,FIR-000236,NONE,THIRD_PARTY
VIC-02380,FIR-000237,MODERATE,THIRD_PARTY
VIC-00065,FIR-000238,MODERATE,SELF
VIC-01651,FIR-000239,MODERATE,FAMILY_MEMBER
VIC-03141,FIR-000240,MINOR,THIRD_PARTY
VIC-03401,FIR-000241,MINOR,FAMILY_MEMBER
VIC-02990,FIR-000241,MINOR,FAMILY_MEMBER
VIC-02139,FIR-000242,NONE,SELF
VIC-01574,FIR-000242,MINOR,FAMILY_MEMBER
VIC-01206,FIR-000243,NONE,SELF
VIC-03510,FIR-000244,NONE,SELF
VIC-03197,FIR-000245,MODERATE,SELF
VIC-01761,FIR-000246,MINOR,FAMILY_MEMBER
VIC-01671,FIR-000246,MINOR,SELF
VIC-02623,FIR-000247,NONE,FAMILY_MEMBER
VIC-02610,FIR-000248,NONE,SELF
VIC-02968,FIR-000248,NONE,FAMILY_MEMBER
VIC-03719,FIR-000249,NONE,SELF
VIC-03675,FIR-000250,MINOR,SELF
VIC-01167,FIR-000250,MODERATE,THIRD_PARTY
VIC-00483,FIR-000251,SEVERE,THIRD_PARTY
VIC-01779,FIR-000251,NONE,SELF
VIC-02419,FIR-000252,MODERATE,SELF
VIC-02708,FIR-000252,NONE,FAMILY_MEMBER
VIC-01667,FIR-000253,MINOR,THIRD_PARTY
VIC-03313,FIR-000254,MINOR,FAMILY_MEMBER
VIC-00780,FIR-000255,MODERATE,SELF
VIC-00493,FIR-000256,NONE,SELF
VIC-00986,FIR-000257,MINOR,FAMILY_MEMBER
VIC-03683,FIR-000258,NONE,SELF
VIC-01960,FIR-000258,MODERATE,SELF
VIC-02460,FIR-000259,NONE,THIRD_PARTY
VIC-03031,FIR-000260,NONE,SELF
VIC-02507,FIR-000261,NONE,POLICE_SUO_MOTU
VIC-01454,FIR-000262,NONE,SELF
VIC-02497,FIR-000262,MINOR,THIRD_PARTY
VIC-03169,FIR-000263,NONE,FAMILY_MEMBER
VIC-01816,FIR-000264,MINOR,FAMILY_MEMBER
VIC-02612,FIR-000265,NONE,SELF
VIC-01154,FIR-000266,NONE,SELF
VIC-02974,FIR-000267,MINOR,THIRD_PARTY
VIC-02443,FIR-000267,NONE,SELF
VIC-02479,FIR-000268,MODERATE,THIRD_PARTY
VIC-02316,FIR-000268,MINOR,FAMILY_MEMBER
VIC-01628,FIR-000269,SEVERE,FAMILY_MEMBER
VIC-00800,FIR-000269,NONE,SELF
VIC-03815,FIR-000270,NONE,FAMILY_MEMBER
VIC-01644,FIR-000271,NONE,SELF
VIC-00121,FIR-000272,MINOR,SELF
VIC-00897,FIR-000273,MODERATE,SELF
VIC-00543,FIR-000274,MINOR,SELF
VIC-00780,FIR-000275,NONE,SELF
VIC-01216,FIR-000275,NONE,FAMILY_MEMBER
VIC-02371,FIR-000276,NONE,SELF
VIC-00388,FIR-000277,MINOR,SELF
VIC-02794,FIR-000278,NONE,SELF
VIC-00581,FIR-000279,SEVERE,FAMILY_MEMBER
VIC-00308,FIR-000280,NONE,SELF
VIC-03362,FIR-000281,MINOR,THIRD_PARTY
VIC-02128,FIR-000282,SEVERE,SELF
VIC-03399,FIR-000283,MINOR,FAMILY_MEMBER
VIC-01745,FIR-000284,MODERATE,SELF
VIC-00471,FIR-000285,MODERATE,SELF
VIC-01305,FIR-000285,MINOR,SELF
VIC-03027,FIR-000286,NONE,FAMILY_MEMBER
VIC-02709,FIR-000287,SEVERE,SELF
VIC-03527,FIR-000288,SEVERE,SELF
VIC-00601,FIR-000289,MODERATE,SELF
VIC-02615,FIR-000290,MODERATE,SELF
VIC-00633,FIR-000290,NONE,SELF
VIC-03184,FIR-000291,NONE,POLICE_SUO_MOTU
VIC-02813,FIR-000291,NONE,FAMILY_MEMBER
VIC-03155,FIR-000292,SEVERE,SELF
VIC-01630,FIR-000293,SEVERE,FAMILY_MEMBER
VIC-02189,FIR-000294,MODERATE,SELF
VIC-02495,FIR-000294,MINOR,FAMILY_MEMBER
VIC-00520,FIR-000295,MODERATE,SELF
VIC-00139,FIR-000295,SEVERE,FAMILY_MEMBER
VIC-01775,FIR-000296,SEVERE,FAMILY_MEMBER
VIC-01196,FIR-000297,MINOR,SELF
VIC-02498,FIR-000298,MINOR,FAMILY_MEMBER
VIC-01851,FIR-000299,MINOR,SELF
VIC-00147,FIR-000300,MINOR,SELF
VIC-00734,FIR-000300,NONE,SELF
VIC-02209,FIR-000301,MODERATE,FAMILY_MEMBER
VIC-01126,FIR-000302,NONE,SELF
VIC-02719,FIR-000303,SEVERE,SELF
VIC-00615,FIR-000304,MODERATE,FAMILY_MEMBER
VIC-03308,FIR-000305,MODERATE,SELF
VIC-03072,FIR-000306,NONE,FAMILY_MEMBER
VIC-01633,FIR-000307,MINOR,FAMILY_MEMBER
VIC-02849,FIR-000308,NONE,SELF
VIC-01477,FIR-000308,MODERATE,SELF
VIC-01871,FIR-000309,MINOR,SELF
VIC-02220,FIR-000310,NONE,FAMILY_MEMBER
VIC-00748,FIR-000311,SEVERE,SELF
VIC-00804,FIR-000311,NONE,THIRD_PARTY
VIC-01011,FIR-000312,MINOR,SELF
VIC-01103,FIR-000313,MODERATE,THIRD_PARTY
VIC-02238,FIR-000314,SEVERE,THIRD_PARTY
VIC-00674,FIR-000315,NONE,FAMILY_MEMBER
VIC-00765,FIR-000315,MINOR,SELF
VIC-01407,FIR-000316,NONE,POLICE_SUO_MOTU
VIC-00908,FIR-000316,MODERATE,SELF
VIC-01516,FIR-000317,NONE,THIRD_PARTY
VIC-02911,FIR-000318,NONE,SELF
VIC-02006,FIR-000318,MINOR,POLICE_SUO_MOTU
VIC-00065,FIR-000319,MINOR,FAMILY_MEMBER
VIC-01177,FIR-000319,MODERATE,SELF
VIC-00492,FIR-000320,MODERATE,THIRD_PARTY
VIC-03410,FIR-000321,NONE,SELF
VIC-00193,FIR-000321,NONE,THIRD_PARTY
VIC-00336,FIR-000322,MODERATE,SELF
VIC-01859,FIR-000323,NONE,THIRD_PARTY
VIC-02457,FIR-000324,MODERATE,THIRD_PARTY
VIC-02149,FIR-000325,NONE,FAMILY_MEMBER
VIC-00066,FIR-000326,SEVERE,SELF
VIC-02636,FIR-000327,MODERATE,SELF
VIC-00357,FIR-000327,NONE,SELF
VIC-03883,FIR-000328,SEVERE,FAMILY_MEMBER
VIC-02479,FIR-000329,MODERATE,SELF
VIC-00532,FIR-000330,NONE,SELF
VIC-01648,FIR-000331,NONE,SELF
VIC-03316,FIR-000332,MODERATE,SELF
VIC-02391,FIR-000333,MINOR,FAMILY_MEMBER
VIC-01812,FIR-000333,NONE,THIRD_PARTY
VIC-02090,FIR-000334,NONE,FAMILY_MEMBER
VIC-01391,FIR-000335,MODERATE,SELF
VIC-03227,FIR-000336,MODERATE,FAMILY_MEMBER
VIC-02517,FIR-000337,SEVERE,POLICE_SUO_MOTU
VIC-01362,FIR-000338,NONE,THIRD_PARTY
VIC-01177,FIR-000338,NONE,THIRD_PARTY
VIC-02652,FIR-000339,MODERATE,SELF
VIC-03383,FIR-000340,MODERATE,THIRD_PARTY
VIC-00284,FIR-000341,NONE,SELF
VIC-02138,FIR-000341,NONE,FAMILY_MEMBER
VIC-01189,FIR-000342,NONE,SELF
VIC-02540,FIR-000343,SEVERE,SELF
VIC-03837,FIR-000344,NONE,SELF
VIC-03889,FIR-000345,NONE,SELF
VIC-03466,FIR-000346,MINOR,FAMILY_MEMBER
VIC-03803,FIR-000347,NONE,SELF
VIC-03309,FIR-000348,MODERATE,FAMILY_MEMBER
VIC-00258,FIR-000348,NONE,FAMILY_MEMBER
VIC-02568,FIR-000349,NONE,SELF
VIC-00034,FIR-000349,MODERATE,SELF
VIC-00836,FIR-000350,MODERATE,SELF
VIC-01932,FIR-000351,MINOR,FAMILY_MEMBER
VIC-00741,FIR-000352,MODERATE,SELF
VIC-01488,FIR-000353,MINOR,SELF
VIC-02340,FIR-000354,SEVERE,SELF
VIC-03177,FIR-000355,MODERATE,FAMILY_MEMBER
VIC-00988,FIR-000356,MODERATE,SELF
VIC-00474,FIR-000357,MINOR,SELF
VIC-01815,FIR-000358,MODERATE,FAMILY_MEMBER
VIC-00763,FIR-000359,SEVERE,THIRD_PARTY
VIC-00707,FIR-000359,NONE,POLICE_SUO_MOTU
VIC-01688,FIR-000360,MODERATE,POLICE_SUO_MOTU
VIC-03275,FIR-000360,NONE,THIRD_PARTY
VIC-02266,FIR-000361,MINOR,SELF
VIC-02878,FIR-000362,SEVERE,FAMILY_MEMBER
VIC-01312,FIR-000363,MINOR,SELF
VIC-02004,FIR-000363,MODERATE,SELF
VIC-00662,FIR-000364,MODERATE,SELF
VIC-01070,FIR-000365,MODERATE,FAMILY_MEMBER
VIC-02041,FIR-000365,MINOR,FAMILY_MEMBER
VIC-03379,FIR-000366,MODERATE,FAMILY_MEMBER
VIC-01803,FIR-000367,NONE,SELF
VIC-01920,FIR-000368,MODERATE,THIRD_PARTY
VIC-02900,FIR-000369,MODERATE,SELF
VIC-03748,FIR-000370,MINOR,SELF
VIC-00404,FIR-000371,NONE,SELF
VIC-00223,FIR-000372,MINOR,SELF
VIC-02271,FIR-000373,MINOR,THIRD_PARTY
VIC-01908,FIR-000373,MINOR,SELF
VIC-00863,FIR-000374,MINOR,FAMILY_MEMBER
VIC-01464,FIR-000375,NONE,FAMILY_MEMBER
VIC-00250,FIR-000375,MODERATE,THIRD_PARTY
VIC-00055,FIR-000376,NONE,SELF
VIC-03221,FIR-000376,MINOR,FAMILY_MEMBER
VIC-01421,FIR-000377,MODERATE,SELF
VIC-03681,FIR-000378,SEVERE,SELF
VIC-00686,FIR-000379,MODERATE,FAMILY_MEMBER
VIC-01427,FIR-000379,MINOR,SELF
VIC-03555,FIR-000380,MODERATE,SELF
VIC-00021,FIR-000381,MINOR,POLICE_SUO_MOTU
VIC-02048,FIR-000382,NONE,POLICE_SUO_MOTU
VIC-01713,FIR-000383,MODERATE,SELF
VIC-03785,FIR-000384,MODERATE,SELF
VIC-00220,FIR-000385,NONE,FAMILY_MEMBER
VIC-01568,FIR-000386,MINOR,SELF
VIC-02956,FIR-000387,NONE,SELF
VIC-02168,FIR-000388,MODERATE,THIRD_PARTY
VIC-02989,FIR-000389,NONE,SELF
VIC-00854,FIR-000390,MINOR,FAMILY_MEMBER
VIC-03323,FIR-000391,NONE,SELF
VIC-00722,FIR-000392,NONE,SELF
VIC-02562,FIR-000393,MINOR,THIRD_PARTY
VIC-02362,FIR-000393,MINOR,POLICE_SUO_MOTU
VIC-00528,FIR-000394,NONE,THIRD_PARTY
VIC-01434,FIR-000395,MODERATE,THIRD_PARTY
VIC-02684,FIR-000396,NONE,THIRD_PARTY
VIC-01415,FIR-000397,NONE,FAMILY_MEMBER
VIC-01404,FIR-000398,NONE,SELF
VIC-03831,FIR-000399,NONE,SELF
VIC-03785,FIR-000400,NONE,THIRD_PARTY
VIC-03042,FIR-000401,MODERATE,SELF
VIC-01731,FIR-000402,NONE,FAMILY_MEMBER
VIC-02284,FIR-000402,MINOR,SELF
VIC-02945,FIR-000403,MODERATE,SELF
VIC-01689,FIR-000404,NONE,SELF
VIC-03691,FIR-000405,NONE,SELF
VIC-03599,FIR-000406,MINOR,FAMILY_MEMBER
VIC-02910,FIR-000406,MODERATE,SELF
VIC-00633,FIR-000407,SEVERE,SELF
VIC-02621,FIR-000408,MINOR,SELF
VIC-01520,FIR-000409,MINOR,FAMILY_MEMBER
VIC-01524,FIR-000409,NONE,THIRD_PARTY
VIC-03448,FIR-000410,NONE,THIRD_PARTY
VIC-01779,FIR-000410,NONE,SELF
VIC-03210,FIR-000411,MINOR,SELF
VIC-03247,FIR-000412,MINOR,SELF
VIC-03864,FIR-000413,NONE,SELF
VIC-02118,FIR-000414,NONE,FAMILY_MEMBER
VIC-02428,FIR-000415,NONE,FAMILY_MEMBER
VIC-01899,FIR-000416,NONE,SELF
VIC-00417,FIR-000416,NONE,SELF
VIC-00196,FIR-000417,MODERATE,SELF
VIC-02016,FIR-000418,NONE,THIRD_PARTY
