witness_id,fir_id,statement_date,statement_reliability
WIT-00054,FIR-002887,2024-09-13,HIGH
WIT-01140,FIR-003454,2025-06-20,MEDIUM
WIT-00096,FIR-001320,2025-02-27,HIGH
WIT-01140,FIR-001320,2025-02-23,LOW
WIT-00217,FIR-003031,2025-08-23,MEDIUM
WIT-00257,FIR-002454,2021-11-20,HIGH
WIT-00122,FIR-002454,2021-11-26,HIGH
WIT-01173,FIR-002903,2024-12-26,MEDIUM
WIT-00993,FIR-003552,2021-02-15,LOW
WIT-00525,FIR-002457,2021-12-11,HIGH
WIT-00568,FIR-001120,2021-11-07,HIGH
WIT-00427,FIR-001872,2023-12-06,HIGH
WIT-00773,FIR-001326,2025-05-13,HIGH
WIT-00119,FIR-002703,2021-02-07,LOW
WIT-00304,FIR-001928,2024-12-27,MEDIUM
WIT-00396,FIR-001928,2025-01-02,MEDIUM
WIT-00729,FIR-002858,2024-02-18,MEDIUM
WIT-00578,FIR-001790,2022-05-31,HIGH
WIT-00240,FIR-000874,2021-07-16,HIGH
WIT-00673,FIR-003087,2023-11-02,LOW
WIT-00882,FIR-002007,2022-03-03,MEDIUM
WIT-00445,FIR-002877,2024-07-22,MEDIUM
WIT-00820,FIR-002877,2024-07-19,MEDIUM
WIT-01327,FIR-003133,2021-08-17,HIGH
WIT-00549,FIR-002494,2024-04-02,MEDIUM
WIT-01256,FIR-002064,2024-06-11,HIGH
WIT-00733,FIR-002064,2024-06-11,MEDIUM
WIT-00814,FIR-000699,2025-03-01,MEDIUM
WIT-00371,FIR-002430,2025-08-08,MEDIUM
WIT-00595,FIR-000941,2024-05-24,HIGH
WIT-01234,FIR-000941,2024-05-31,MEDIUM
WIT-00558,FIR-000118,2025-11-25,HIGH
WIT-00949,FIR-001393,2022-01-26,HIGH
WIT-01262,FIR-001393,2022-01-26,MEDIUM
WIT-01236,FIR-001288,2023-10-25,HIGH
WIT-00689,FIR-002044,2023-09-08,HIGH
WIT-01249,FIR-002044,2023-09-05,HIGH
WIT-01408,FIR-001958,2025-08-07,HIGH
WIT-00823,FIR-001958,2025-08-11,LOW
WIT-00105,FIR-002355,2025-12-27,LOW
WIT-00558,FIR-002355,2025-12-20,MEDIUM
WIT-00880,FIR-001922,2024-12-02,MEDIUM
WIT-01462,FIR-002704,2021-03-05,MEDIUM
WIT-01030,FIR-002704,2021-03-13,MEDIUM
WIT-00140,FIR-003362,2024-12-25,MEDIUM
WIT-00207,FIR-002461,2022-04-11,HIGH
WIT-00475,FIR-002461,2022-04-11,HIGH
WIT-00541,FIR-002627,2021-12-27,LOW
WIT-01139,FIR-002627,2021-12-25,HIGH
WIT-00789,FIR-002190,2021-05-30,MEDIUM
WIT-01125,FIR-002190,2021-05-26,MEDIUM
WIT-00241,FIR-003476,2021-09-04,MEDIUM
WIT-01094,FIR-003408,2022-10-05,HIGH
WIT-00529,FIR-003408,2022-10-06,LOW
WIT-00829,FIR-000856,2025-10-09,MEDIUM
WIT-00713,FIR-001598,2025-12-24,LOW
WIT-00396,FIR-001817,2022-11-13,MEDIUM
WIT-00570,FIR-001817,2022-11-09,HIGH
WIT-00658,FIR-001780,2022-02-07,MEDIUM
WIT-00582,FIR-000065,2023-09-29,MEDIUM
WIT-00523,FIR-000065,2023-10-01,MEDIUM
WIT-00626,FIR-003632,2025-11-13,HIGH
WIT-00557,FIR-003632,2025-11-13,MEDIUM
WIT-00489,FIR-001278,2023-05-13,HIGH
WIT-00083,FIR-002949,2025-11-09,MEDIUM
WIT-00842,FIR-002564,2023-05-15,MEDIUM
WIT-01356,FIR-000409,2023-01-13,MEDIUM
WIT-00423,FIR-000166,2022-11-23,HIGH
WIT-01228,FIR-001512,2024-05-02,LOW
WIT-01315,FIR-002403,2023-11-16,HIGH
WIT-01293,FIR-000895,2022-07-05,LOW
WIT-01042,FIR-002480,2023-07-03,MEDIUM
WIT-01489,FIR-001117,2021-09-12,LOW
WIT-00138,FIR-001117,2021-09-09,MEDIUM
WIT-01426,FIR-002990,2023-01-03,HIGH
WIT-00881,FIR-002756,2022-03-18,HIGH
WIT-00400,FIR-002756,2022-03-17,HIGH
WIT-00460,FIR-002194,2021-08-16,HIGH
WIT-00773,FIR-000424,2023-08-31,HIGH
WIT-00204,FIR-000424,2023-09-06,MEDIUM
WIT-00303,FIR-001297,2024-03-28,MEDIUM
WIT-01135,FIR-001297,2024-03-23,LOW
WIT-01411,FIR-000019,2021-11-02,HIGH
WIT-00668,FIR-003162,2023-03-25,HIGH
WIT-01427,FIR-001150,2023-01-28,HIGH
WIT-00049,FIR-001150,2023-01-25,HIGH
WIT-01474,FIR-003348,2024-02-09,HIGH
WIT-00898,FIR-003470,2021-05-24,HIGH
WIT-00148,FIR-000942,2024-05-16,MEDIUM
WIT-00653,FIR-002334,2024-10-10,HIGH
WIT-00989,FIR-002334,2024-10-04,HIGH
WIT-00958,FIR-000229,2025-08-04,HIGH
WIT-00893,FIR-000969,2025-08-08,HIGH
WIT-01455,FIR-001397,2022-02-25,HIGH
WIT-00133,FIR-003312,2021-12-11,HIGH
WIT-00966,FIR-003312,2021-12-11,HIGH
WIT-01377,FIR-001777,2022-02-13,MEDIUM
WIT-00892,FIR-003040,2025-12-28,LOW
WIT-00009,FIR-003040,2025-12-27,HIGH
WIT-01285,FIR-000105,2025-05-16,HIGH
WIT-00569,FIR-003583,2023-01-03,HIGH
WIT-01026,FIR-003583,2023-01-06,LOW
WIT-00749,FIR-000547,2022-04-28,LOW
WIT-00066,FIR-002174,2025-06-06,HIGH
WIT-00909,FIR-001457,2023-04-27,MEDIUM
WIT-00608,FIR-003144,2022-03-05,HIGH
WIT-00838,FIR-003144,2022-03-01,HIGH
WIT-00578,FIR-002260,2025-07-19,HIGH
WIT-00321,FIR-002592,2024-12-10,LOW
WIT-01010,FIR-001679,2024-04-18,HIGH
WIT-01380,FIR-002536,2021-09-26,MEDIUM
WIT-01207,FIR-003589,2023-05-07,MEDIUM
WIT-00652,FIR-003589,2023-05-09,HIGH
WIT-00643,FIR-001570,2025-06-20,HIGH
WIT-01363,FIR-001743,2021-06-18,HIGH
WIT-01203,FIR-002936,2025-09-04,MEDIUM
WIT-00412,FIR-000062,2023-07-19,LOW
WIT-00138,FIR-003501,2023-02-09,HIGH
WIT-00515,FIR-002529,2021-04-16,MEDIUM
WIT-01009,FIR-001717,2025-12-04,MEDIUM
WIT-00854,FIR-000867,2021-05-01,HIGH
WIT-00305,FIR-001464,2023-05-09,MEDIUM
WIT-00262,FIR-001259,2022-08-24,MEDIUM
WIT-00081,FIR-002771,2022-06-23,MEDIUM
WIT-00005,FIR-002771,2022-06-14,HIGH
WIT-01476,FIR-001917,2024-10-20,HIGH
WIT-01138,FIR-001609,2021-05-18,LOW
WIT-00619,FIR-000071,2023-12-12,MEDIUM
WIT-00245,FIR-001992,2021-06-20,LOW
WIT-00999,FIR-001992,2021-06-27,HIGH
WIT-00038,FIR-001338,2025-11-30,MEDIUM
WIT-01246,FIR-001338,2025-11-25,HIGH
WIT-00086,FIR-003463,2025-11-09,HIGH
WIT-01459,FIR-000336,2024-12-14,HIGH
WIT-00231,FIR-003266,2024-05-17,HIGH
WIT-00699,FIR-000703,2025-04-20,MEDIUM
WIT-00885,FIR-000703,2025-04-19,MEDIUM
WIT-00484,FIR-000357,2025-11-19,HIGH
WIT-00857,FIR-000234,2025-09-17,LOW
WIT-00154,FIR-000234,2025-09-19,LOW
WIT-00918,FIR-000363,2021-03-05,MEDIUM
WIT-00236,FIR-000363,2021-03-01,MEDIUM
WIT-01073,FIR-002050,2023-11-18,HIGH
WIT-00937,FIR-002050,2023-11-19,MEDIUM
WIT-00540,FIR-001192,2024-11-08,LOW
WIT-01227,FIR-001192,2024-10-31,MEDIUM
WIT-00305,FIR-000531,2021-12-02,HIGH
WIT-00887,FIR-001596,2025-11-06,HIGH
WIT-00246,FIR-000677,2024-10-13,HIGH
WIT-01050,FIR-002717,2021-07-01,HIGH
WIT-01278,FIR-000561,2022-09-05,MEDIUM
WIT-01167,FIR-001556,2025-03-02,MEDIUM
WIT-00555,FIR-001274,2023-04-02,HIGH
WIT-01447,FIR-003435,2024-04-16,LOW
WIT-00261,FIR-002685,2025-07-28,HIGH
WIT-01490,FIR-001171,2023-12-16,LOW
WIT-00193,FIR-001171,2023-12-10,HIGH
WIT-01165,FIR-000426,2023-09-18,MEDIUM
WIT-00744,FIR-000426,2023-09-20,HIGH
WIT-00028,FIR-002157,2024-06-08,LOW
WIT-00075,FIR-000096,2025-01-01,HIGH
WIT-00572,FIR-003216,2021-06-24,MEDIUM
WIT-01157,FIR-000536,2022-02-02,LOW
WIT-00888,FIR-003575,2022-09-05,HIGH
WIT-00759,FIR-001137,2022-08-01,LOW
WIT-00939,FIR-001415,2022-07-03,MEDIUM
WIT-00484,FIR-002386,2022-11-05,MEDIUM
WIT-00521,FIR-001202,2025-03-12,MEDIUM
WIT-00706,FIR-000250,2021-06-02,MEDIUM
WIT-00068,FIR-002056,2024-03-02,LOW
WIT-00275,FIR-001430,2022-09-17,HIGH
WIT-01019,FIR-001430,2022-09-10,MEDIUM
WIT-00607,FIR-003221,2021-09-11,LOW
WIT-01353,FIR-002485,2023-09-22,HIGH
WIT-01366,FIR-002594,2025-01-04,HIGH
WIT-00578,FIR-000960,2025-02-18,MEDIUM
WIT-00445,FIR-000960,2025-02-17,LOW
WIT-01083,FIR-001318,2025-01-21,MEDIUM
WIT-00960,FIR-001318,2025-01-24,MEDIUM
WIT-00997,FIR-001661,2023-07-07,HIGH
WIT-00279,FIR-001661,2023-07-03,MEDIUM
WIT-00126,FIR-001530,2024-09-06,HIGH
WIT-00960,FIR-000985,2021-03-29,HIGH
WIT-01119,FIR-001378,2021-09-20,HIGH
WIT-00709,FIR-000646,2024-03-11,HIGH
WIT-00579,FIR-003282,2025-04-27,HIGH
WIT-00463,FIR-003282,2025-05-04,HIGH
WIT-01009,FIR-001133,2022-06-03,HIGH
WIT-00742,FIR-002626,2021-12-28,MEDIUM
WIT-01349,FIR-001001,2021-11-11,MEDIUM
WIT-00578,FIR-003651,2022-01-05,HIGH
WIT-00776,FIR-003166,2023-07-13,MEDIUM
WIT-00812,FIR-003166,2023-07-18,HIGH
WIT-00362,FIR-001857,2023-08-07,MEDIUM
WIT-00585,FIR-001857,2023-08-14,HIGH
WIT-01204,FIR-003129,2021-04-26,HIGH
WIT-00638,FIR-003608,2024-07-19,MEDIUM
WIT-01437,FIR-002420,2024-11-12,MEDIUM
WIT-00268,FIR-001356,2021-04-22,MEDIUM
WIT-00650,FIR-000156,2022-06-08,HIGH
WIT-01442,FIR-003371,2025-09-02,HIGH
WIT-00843,FIR-003371,2025-08-30,MEDIUM
WIT-01065,FIR-001832,2023-02-11,MEDIUM
WIT-00161,FIR-002961,2021-06-30,LOW
WIT-01306,FIR-001710,2025-07-17,LOW
WIT-00133,FIR-002793,2022-11-09,MEDIUM
WIT-00471,FIR-001485,2023-10-22,HIGH
WIT-00576,FIR-003169,2023-09-29,HIGH
WIT-00822,FIR-003171,2023-11-06,HIGH
WIT-00724,FIR-001322,2025-03-14,MEDIUM
WIT-01275,FIR-001322,2025-03-17,MEDIUM
WIT-01135,FIR-001880,2024-01-15,MEDIUM
WIT-00042,FIR-000916,2023-04-02,MEDIUM
WIT-00048,FIR-000916,2023-04-02,HIGH
WIT-00836,FIR-001991,2021-06-25,HIGH
WIT-00176,FIR-001033,2023-03-13,HIGH
WIT-01194,FIR-002295,2022-08-13,MEDIUM
WIT-01429,FIR-003328,2022-12-18,LOW
WIT-00004,FIR-003070,2022-10-11,MEDIUM
WIT-00376,FIR-003273,2024-10-12,HIGH
WIT-01313,FIR-002977,2022-05-12,LOW
WIT-00808,FIR-001445,2023-01-17,HIGH
WIT-01269,FIR-001445,2023-01-15,MEDIUM
WIT-00708,FIR-002980,2022-08-27,HIGH
WIT-00680,FIR-003072,2022-11-24,HIGH
WIT-00422,FIR-000634,2023-12-07,HIGH
WIT-01384,FIR-001353,2021-05-01,MEDIUM
WIT-00436,FIR-001353,2021-04-28,LOW
WIT-00686,FIR-000312,2023-12-18,LOW
WIT-00424,FIR-000312,2023-12-20,HIGH
WIT-00897,FIR-003641,2021-06-15,HIGH
WIT-00154,FIR-003485,2022-03-30,LOW
WIT-00062,FIR-003511,2023-10-29,HIGH
WIT-00073,FIR-003350,2024-04-30,MEDIUM
WIT-01450,FIR-003050,2021-10-03,MEDIUM
WIT-01370,FIR-003050,2021-10-01,HIGH
WIT-00185,FIR-002257,2025-04-08,HIGH
WIT-00594,FIR-002257,2025-04-04,HIGH
WIT-00502,FIR-003398,2022-01-11,HIGH
WIT-01174,FIR-001190,2024-09-15,MEDIUM
WIT-00913,FIR-001718,2025-11-19,HIGH
WIT-00022,FIR-001718,2025-11-20,LOW
WIT-01355,FIR-001876,2024-01-07,HIGH
WIT-01337,FIR-001876,2024-01-09,HIGH
WIT-01487,FIR-003249,2023-05-19,MEDIUM
WIT-01393,FIR-002428,2025-06-03,HIGH
WIT-01309,FIR-002428,2025-06-06,HIGH
WIT-00220,FIR-003464,2025-12-20,HIGH
WIT-00684,FIR-002623,2021-10-09,MEDIUM
WIT-01189,FIR-002623,2021-10-03,MEDIUM
WIT-00690,FIR-000211,2024-10-26,LOW
WIT-00127,FIR-000338,2025-01-12,HIGH
WIT-00242,FIR-003652,2021-12-23,HIGH
WIT-00913,FIR-002015,2022-06-27,HIGH
WIT-01459,FIR-003300,2021-06-06,HIGH
WIT-01027,FIR-003300,2021-05-28,HIGH
WIT-00401,FIR-001330,2025-08-05,MEDIUM
WIT-01293,FIR-001330,2025-08-01,MEDIUM
WIT-01288,FIR-003516,2023-12-27,MEDIUM
WIT-01115,FIR-000696,2025-02-22,HIGH
WIT-00739,FIR-000647,2024-03-23,MEDIUM
WIT-00972,FIR-001968,2025-10-28,LOW
WIT-00787,FIR-002413,2024-08-04,MEDIUM
WIT-01442,FIR-003079,2023-05-10,HIGH
WIT-00980,FIR-003079,2023-05-02,HIGH
WIT-01425,FIR-002600,2025-07-12,HIGH
WIT-00400,FIR-000718,2025-08-16,MEDIUM
WIT-00512,FIR-002545,2022-03-18,MEDIUM
WIT-00737,FIR-001122,2021-11-18,HIGH
WIT-01245,FIR-001122,2021-11-12,MEDIUM
WIT-00767,FIR-002305,2023-01-24,MEDIUM
WIT-00175,FIR-002809,2023-03-09,HIGH
WIT-01143,FIR-003117,2025-08-16,HIGH
WIT-00755,FIR-003117,2025-08-12,LOW
WIT-01005,FIR-001754,2021-09-23,HIGH
WIT-00012,FIR-001343,2021-01-18,HIGH
WIT-01462,FIR-001343,2021-01-10,MEDIUM
WIT-00295,FIR-000664,2024-07-15,LOW
WIT-00768,FIR-000857,2025-11-15,HIGH
WIT-00616,FIR-003222,2021-10-21,LOW
WIT-01361,FIR-003222,2021-10-18,LOW
WIT-01385,FIR-002557,2022-11-24,HIGH
WIT-01065,FIR-001628,2022-02-18,HIGH
WIT-01128,FIR-002034,2023-04-05,MEDIUM
WIT-01106,FIR-001044,2023-08-09,HIGH
WIT-00719,FIR-002780,2022-08-25,MEDIUM
WIT-00228,FIR-002780,2022-09-04,HIGH
WIT-01152,FIR-002396,2023-07-31,MEDIUM
WIT-01218,FIR-002310,2023-06-08,MEDIUM
WIT-00163,FIR-002526,2021-01-24,HIGH
WIT-01123,FIR-000217,2025-02-01,HIGH
WIT-00606,FIR-000583,2022-12-21,MEDIUM
WIT-00450,FIR-000583,2022-12-18,HIGH
WIT-01176,FIR-000247,2021-04-11,LOW
WIT-00303,FIR-003359,2024-10-26,MEDIUM
WIT-00349,FIR-000918,2023-05-09,HIGH
WIT-00707,FIR-000918,2023-05-01,HIGH
WIT-01309,FIR-002723,2021-07-13,HIGH
WIT-00338,FIR-002118,2022-01-17,MEDIUM
WIT-00242,FIR-002118,2022-01-16,HIGH
WIT-01279,FIR-001391,2021-12-08,LOW
WIT-01219,FIR-001103,2021-02-06,HIGH
WIT-00484,FIR-003510,2023-09-10,HIGH
WIT-00650,FIR-003510,2023-09-13,HIGH
WIT-00611,FIR-001793,2022-06-12,LOW
WIT-00420,FIR-000004,2021-02-22,HIGH
WIT-00923,FIR-000242,2021-01-27,MEDIUM
WIT-01341,FIR-003496,2022-11-08,HIGH
WIT-01254,FIR-001075,2024-12-09,HIGH
WIT-01481,FIR-003112,2025-05-03,LOW
WIT-01157,FIR-000368,2021-04-11,HIGH
WIT-00990,FIR-001403,2022-03-26,HIGH
WIT-00456,FIR-002337,2024-12-10,HIGH
WIT-00149,FIR-002927,2025-06-14,HIGH
WIT-01064,FIR-000337,2025-02-02,HIGH
WIT-01102,FIR-000528,2021-11-28,HIGH
WIT-01310,FIR-001159,2023-06-17,LOW
WIT-01426,FIR-000588,2023-01-08,MEDIUM
WIT-01128,FIR-001700,2025-02-14,HIGH
WIT-01171,FIR-002312,2023-08-26,HIGH
WIT-00258,FIR-003660,2022-08-22,MEDIUM
WIT-00276,FIR-003660,2022-08-15,MEDIUM
WIT-00114,FIR-001311,2024-10-28,HIGH
WIT-00399,FIR-001925,2024-12-30,MEDIUM
WIT-01199,FIR-001312,2024-10-22,MEDIUM
WIT-00321,FIR-000907,2023-01-01,HIGH
WIT-00001,FIR-002846,2023-11-29,HIGH
WIT-01289,FIR-002846,2023-11-26,MEDIUM
WIT-00300,FIR-002226,2023-07-21,LOW
WIT-00507,FIR-001396,2022-01-17,MEDIUM
WIT-01314,FIR-000284,2022-10-15,MEDIUM
WIT-00844,FIR-002897,2024-11-25,MEDIUM
WIT-01022,FIR-002897,2024-12-03,MEDIUM
WIT-00114,FIR-000827,2024-08-24,MEDIUM
WIT-00746,FIR-000827,2024-08-24,HIGH
WIT-00322,FIR-002768,2022-06-29,LOW
WIT-00056,FIR-002768,2022-06-30,HIGH
WIT-01456,FIR-002492,2024-01-20,MEDIUM
WIT-00729,FIR-002492,2024-01-20,HIGH
WIT-00487,FIR-001975,2025-11-23,HIGH
WIT-00720,FIR-001537,2024-10-16,HIGH
WIT-00417,FIR-003674,2023-05-23,MEDIUM
WIT-00906,FIR-001015,2022-06-13,HIGH
WIT-01134,FIR-001015,2022-06-12,MEDIUM
WIT-01133,FIR-001367,2021-08-01,MEDIUM
WIT-00623,FIR-000660,2024-06-13,HIGH
WIT-00411,FIR-000660,2024-06-21,MEDIUM
WIT-00694,FIR-002520,2025-10-13,MEDIUM
WIT-01269,FIR-001165,2023-09-28,HIGH
WIT-00050,FIR-001709,2025-07-21,HIGH
WIT-01242,FIR-000289,2023-01-26,HIGH
WIT-00219,FIR-001280,2023-06-27,HIGH
WIT-00058,FIR-003540,2025-07-08,HIGH
WIT-00460,FIR-002962,2021-07-12,MEDIUM
WIT-00319,FIR-002962,2021-07-06,HIGH
WIT-00636,FIR-003621,2025-03-14,HIGH
WIT-00495,FIR-003621,2025-03-13,LOW
WIT-00073,FIR-003064,2022-07-28,HIGH
WIT-00535,FIR-000687,2024-12-13,LOW
WIT-01057,FIR-000090,2024-09-05,HIGH
WIT-00872,FIR-001111,2021-06-09,MEDIUM
WIT-00985,FIR-000244,2021-02-28,LOW
WIT-00499,FIR-002094,2025-09-06,HIGH
WIT-01309,FIR-001451,2023-02-17,LOW
WIT-01350,FIR-001451,2023-02-09,HIGH
WIT-00673,FIR-000577,2022-11-10,MEDIUM
WIT-00053,FIR-000092,2024-10-16,MEDIUM
WIT-00667,FIR-000092,2024-10-14,HIGH
WIT-00598,FIR-001630,2022-04-05,MEDIUM
WIT-00044,FIR-003239,2022-10-04,HIGH
WIT-00176,FIR-001008,2022-02-07,HIGH
WIT-00621,FIR-000838,2025-01-12,HIGH
WIT-00175,FIR-001080,2025-02-11,HIGH
WIT-00704,FIR-001670,2023-12-09,HIGH
WIT-00474,FIR-000313,2024-02-05,HIGH
WIT-01341,FIR-000283,2022-10-31,HIGH
WIT-00639,FIR-000283,2022-10-31,MEDIUM
WIT-01203,FIR-002160,2024-08-14,HIGH
WIT-01169,FIR-002453,2021-10-12,MEDIUM
WIT-01244,FIR-002041,2023-07-06,MEDIUM
WIT-01330,FIR-002041,2023-07-07,MEDIUM
WIT-01037,FIR-002153,2024-02-21,LOW
WIT-01343,FIR-002153,2024-02-27,HIGH
WIT-00287,FIR-002032,2023-02-23,HIGH
WIT-00200,FIR-000774,2022-05-21,HIGH
WIT-00133,FIR-001839,2023-04-25,LOW
WIT-00534,FIR-001839,2023-04-25,MEDIUM
WIT-01455,FIR-000590,2023-02-24,HIGH
WIT-01245,FIR-000590,2023-02-18,MEDIUM
WIT-00434,FIR-002136,2023-02-13,LOW
WIT-00038,FIR-002136,2023-02-08,MEDIUM
WIT-01114,FIR-000736,2025-11-30,HIGH
WIT-00648,FIR-000736,2025-11-25,HIGH
WIT-00897,FIR-002666,2024-05-07,MEDIUM
WIT-00151,FIR-001567,2025-05-25,MEDIUM
WIT-00237,FIR-001431,2022-10-22,LOW
WIT-01149,FIR-001431,2022-10-17,HIGH
WIT-01118,FIR-002471,2022-12-04,HIGH
WIT-00197,FIR-000773,2022-05-14,HIGH
WIT-00838,FIR-002700,2021-02-11,LOW
WIT-00318,FIR-000896,2022-06-10,HIGH
WIT-01216,FIR-002833,2023-10-07,HIGH
WIT-01197,FIR-002080,2025-03-05,LOW
WIT-00633,FIR-000169,2023-01-22,HIGH
WIT-00123,FIR-000169,2023-01-25,MEDIUM
WIT-00246,FIR-001175,2024-03-06,LOW
WIT-00690,FIR-000420,2023-06-14,HIGH
WIT-00354,FIR-002916,2025-05-04,LOW
WIT-00518,FIR-002511,2025-03-28,HIGH
WIT-00076,FIR-002511,2025-03-25,HIGH
WIT-00536,FIR-000271,2022-04-13,LOW
WIT-01297,FIR-001971,2025-10-11,MEDIUM
WIT-00586,FIR-000349,2025-07-30,HIGH
WIT-01175,FIR-000349,2025-07-26,MEDIUM
WIT-01143,FIR-003296,2021-01-18,HIGH
WIT-00878,FIR-003296,2021-01-20,HIGH
WIT-00394,FIR-003299,2021-04-13,HIGH
WIT-00338,FIR-001576,2025-08-02,LOW
WIT-00005,FIR-000198,2024-03-28,HIGH
WIT-00637,FIR-000198,2024-03-27,HIGH
WIT-00349,FIR-001005,2022-01-20,MEDIUM
WIT-00392,FIR-001005,2022-01-18,HIGH
WIT-01141,FIR-000829,2024-10-01,HIGH
WIT-00181,FIR-003023,2024-12-19,MEDIUM
WIT-01409,FIR-003023,2024-12-21,HIGH
WIT-00721,FIR-003291,2025-10-26,LOW
WIT-01288,FIR-003291,2025-10-27,MEDIUM
WIT-00754,FIR-002775,2022-07-09,LOW
WIT-00127,FIR-002775,2022-07-11,LOW
WIT-00353,FIR-000948,2024-08-16,HIGH
WIT-00386,FIR-000251,2021-06-09,HIGH
WIT-01267,FIR-002067,2024-09-01,HIGH
WIT-00509,FIR-001531,2024-09-06,HIGH
WIT-00507,FIR-001531,2024-09-07,HIGH
WIT-01477,FIR-001196,2024-12-26,HIGH
WIT-01038,FIR-001153,2023-03-13,LOW
WIT-00789,FIR-000356,2025-10-29,LOW
WIT-00603,FIR-002168,2024-12-30,MEDIUM
WIT-01244,FIR-002663,2024-03-09,HIGH
WIT-00855,FIR-002663,2024-03-07,HIGH
WIT-00826,FIR-001235,2021-08-22,MEDIUM
WIT-01237,FIR-001235,2021-08-16,LOW
WIT-00866,FIR-001024,2022-10-15,MEDIUM
WIT-00392,FIR-001719,2025-12-08,HIGH
WIT-00423,FIR-002674,2024-10-31,HIGH
WIT-00700,FIR-002674,2024-11-02,HIGH
WIT-01094,FIR-003295,2025-12-16,HIGH
WIT-00654,FIR-003295,2025-12-23,LOW
WIT-00216,FIR-001761,2021-11-01,HIGH
WIT-00024,FIR-001761,2021-10-28,HIGH
WIT-00245,FIR-000223,2025-04-25,HIGH
WIT-01259,FIR-002724,2021-09-02,LOW
WIT-00725,FIR-000741,2021-01-25,MEDIUM
WIT-00494,FIR-000741,2021-01-30,HIGH
