fir_id,location_id,exact_address,landmark
FIR-000029,LOC-00022,"Near LOC-00022, Bagalkot",Market
FIR-000030,LOC-00013,"Near LOC-00013, Bagalkot",Petrol Bunk
FIR-000031,LOC-00005,"Near LOC-00005, Bagalkot",Temple
FIR-000032,LOC-00027,"Near LOC-00027, Bagalkot",Bus Stand
FIR-000033,LOC-00023,"Near LOC-00023, Bagalkot",School
FIR-000034,LOC-00007,"Near LOC-00007, Bagalkot",Circle
FIR-000035,LOC-00024,"Near LOC-00024, Bagalkot",Petrol Bunk
FIR-000036,LOC-00019,"Near LOC-00019, Bagalkot",Market
FIR-000037,LOC-00005,"Near LOC-00005, Bagalkot",Petrol Bunk
FIR-000038,LOC-00017,"Near LOC-00017, Bagalkot",School
FIR-000039,LOC-00022,"Near LOC-00022, Bagalkot",Market
FIR-000040,LOC-00012,"Near LOC-00012, Bagalkot",Temple
FIR-000041,LOC-00016,"Near LOC-00016, Bagalkot",Circle
FIR-000042,LOC-00023,"Near LOC-00023, Bagalkot",Temple
FIR-000043,LOC-00008,"Near LOC-00008, Bagalkot",Petrol Bunk
FIR-000044,LOC-00026,"Near LOC-00026, Bagalkot",School
FIR-000045,LOC-00025,"Near LOC-00025, Bagalkot",Circle
FIR-000046,LOC-00001,"Near LOC-00001, Bagalkot",Market
FIR-000047,LOC-00028,"Near LOC-00028, Bagalkot",Petrol Bunk
FIR-000048,LOC-00009,"Near LOC-00009, Bagalkot",Market
FIR-000049,LOC-00013,"Near LOC-00013, Bagalkot",Circle
FIR-000050,LOC-00011,"Near LOC-00011, Bagalkot",Circle
FIR-000051,LOC-00004,"Near LOC-00004, Bagalkot",School
FIR-000052,LOC-00005,"Near LOC-00005, Bagalkot",Bus Stand
FIR-000053,LOC-00007,"Near LOC-00007, Bagalkot",School
FIR-000054,LOC-00021,"Near LOC-00021, Bagalkot",Market
FIR-000055,LOC-00028,"Near LOC-00028, Bagalkot",Circle
FIR-000056,LOC-00017,"Near LOC-00017, Bagalkot",Circle
FIR-000057,LOC-00007,"Near LOC-00007, Bagalkot",Temple
FIR-000058,LOC-00007,"Near LOC-00007, Bagalkot",Petrol Bunk
FIR-000059,LOC-00019,"Near LOC-00019, Bagalkot",School
FIR-000060,LOC-00017,"Near LOC-00017, Bagalkot",Circle
FIR-000061,LOC-00005,"Near LOC-00005, Bagalkot",Market
FIR-000062,LOC-00003,"Near LOC-00003, Bagalkot",School
FIR-000063,LOC-00014,"Near LOC-00014, Bagalkot",Bus Stand
FIR-000064,LOC-00015,"Near LOC-00015, Bagalkot",Petrol Bunk
FIR-000065,LOC-00015,"Near LOC-00015, Bagalkot",Bus Stand
FIR-000066,LOC-00027,"Near LOC-00027, Bagalkot",Temple
FIR-000067,LOC-00005,"Near LOC-00005, Bagalkot",Temple
FIR-000068,LOC-00008,"Near LOC-00008, Bagalkot",Petrol Bunk
FIR-000069,LOC-00019,"Near LOC-00019, Bagalkot",Market
FIR-000070,LOC-00027,"Near LOC-00027, Bagalkot",Circle
FIR-000071,LOC-00003,"Near LOC-00003, Bagalkot",Market
FIR-000072,LOC-00017,"Near LOC-00017, Bagalkot",School
FIR-000073,LOC-00019,"Near LOC-00019, Bagalkot",Market
FIR-000074,LOC-00010,"Near LOC-00010, Bagalkot",Market
FIR-000075,LOC-00017,"Near LOC-00017, Bagalkot",Circle
FIR-000076,LOC-00022,"Near LOC-00022, Bagalkot",Circle
FIR-000077,LOC-00001,"Near LOC-00001, Bagalkot",Bus Stand
FIR-000078,LOC-00002,"Near LOC-00002, Bagalkot",School
FIR-000079,LOC-00007,"Near LOC-00007, Bagalkot",School
FIR-000080,LOC-00027,"Near LOC-00027, Bagalkot",Temple
FIR-000081,LOC-00005,"Near LOC-00005, Bagalkot",Bus Stand
FIR-000082,LOC-00017,"Near LOC-00017, Bagalkot",Bus Stand
FIR-000083,LOC-00005,"Near LOC-00005, Bagalkot",Bus Stand
FIR-000084,LOC-00027,"Near LOC-00027, Bagalkot",Temple
FIR-000085,LOC-00019,"Near LOC-00019, Bagalkot",Market
FIR-000086,LOC-00009,"Near LOC-00009, Bagalkot",Market
FIR-000087,LOC-00026,"Near LOC-00026, Bagalkot",Circle
FIR-000088,LOC-00016,"Near LOC-00016, Bagalkot",School
FIR-000089,LOC-00027,"Near LOC-00027, Bagalkot",Circle
FIR-000090,LOC-00002,"Near LOC-00002, Bagalkot",Bus Stand
FIR-000091,LOC-00014,"Near LOC-00014, Bagalkot",Market
FIR-000092,LOC-00021,"Near LOC-00021, Bagalkot",Temple
FIR-000093,LOC-00017,"Near LOC-00017, Bagalkot",Bus Stand
FIR-000094,LOC-00013,"Near LOC-00013, Bagalkot",Temple
FIR-000095,LOC-00018,"Near LOC-00018, Bagalkot",School
FIR-000096,LOC-00020,"Near LOC-00020, Bagalkot",School
FIR-000097,LOC-00004,"Near LOC-00004, Bagalkot",Temple
FIR-000098,LOC-00008,"Near LOC-00008, Bagalkot",School
FIR-000099,LOC-00011,"Near LOC-00011, Bagalkot",Circle
FIR-000100,LOC-00021,"Near LOC-00021, Bagalkot",Petrol Bunk
FIR-000101,LOC-00012,"Near LOC-00012, Bagalkot",Petrol Bunk
FIR-000102,LOC-00018,"Near LOC-00018, Bagalkot",Circle
FIR-000103,LOC-00019,"Near LOC-00019, Bagalkot",Circle
FIR-000104,LOC-00015,"Near LOC-00015, Bagalkot",School
FIR-000105,LOC-00018,"Near LOC-00018, Bagalkot",Market
FIR-000106,LOC-00008,"Near LOC-00008, Bagalkot",Circle
FIR-000107,LOC-00014,"Near LOC-00014, Bagalkot",School
FIR-000108,LOC-00025,"Near LOC-00025, Bagalkot",Bus Stand
FIR-000109,LOC-00027,"Near LOC-00027, Bagalkot",Market
FIR-000110,LOC-00006,"Near LOC-00006, Bagalkot",School
FIR-000111,LOC-00008,"Near LOC-00008, Bagalkot",Petrol Bunk
FIR-000112,LOC-00003,"Near LOC-00003, Bagalkot",Petrol Bunk
FIR-000113,LOC-00002,"Near LOC-00002, Bagalkot",Petrol Bunk
FIR-000114,LOC-00010,"Near LOC-00010, Bagalkot",School
FIR-000115,LOC-00008,"Near LOC-00008, Bagalkot",Bus Stand
FIR-000116,LOC-00012,"Near LOC-00012, Bagalkot",Petrol Bunk
FIR-000117,LOC-00010,"Near LOC-00010, Bagalkot",Bus Stand
FIR-000118,LOC-00019,"Near LOC-00019, Bagalkot",Circle
FIR-000119,LOC-00011,"Near LOC-00011, Bagalkot",Temple
FIR-000120,LOC-00020,"Near LOC-00020, Bagalkot",Market
FIR-000121,LOC-00040,"Near LOC-00040, Ballari",Petrol Bunk
FIR-000122,LOC-00035,"Near LOC-00035, Ballari",Market
FIR-000123,LOC-00056,"Near LOC-00056, Ballari",Petrol Bunk
FIR-000124,LOC-00030,"Near LOC-00030, Ballari",Petrol Bunk
FIR-000125,LOC-00041,"Near LOC-00041, Ballari",Petrol Bunk
FIR-000126,LOC-00047,"Near LOC-00047, Ballari",Circle
FIR-000127,LOC-00054,"Near LOC-00054, Ballari",Bus Stand
FIR-000128,LOC-00051,"Near LOC-00051, Ballari",Market
FIR-000129,LOC-00029,"Near LOC-00029, Ballari",Circle
FIR-000130,LOC-00052,"Near LOC-00052, Ballari",Market
FIR-000131,LOC-00053,"Near LOC-00053, Ballari",Circle
FIR-000132,LOC-00055,"Near LOC-00055, Ballari",Market
FIR-000133,LOC-00051,"Near LOC-00051, Ballari",Circle
FIR-000134,LOC-00045,"Near LOC-00045, Ballari",Petrol Bunk
FIR-000135,LOC-00051,"Near LOC-00051, Ballari",School
FIR-000136,LOC-00042,"Near LOC-00042, Ballari",Temple
FIR-000137,LOC-00029,"Near LOC-00029, Ballari",School
FIR-000138,LOC-00045,"Near LOC-00045, Ballari",Circle
FIR-000139,LOC-00029,"Near LOC-00029, Ballari",Circle
FIR-000140,LOC-00047,"Near LOC-00047, Ballari",Temple
FIR-000141,LOC-00050,"Near LOC-00050, Ballari",Market
FIR-000142,LOC-00040,"Near LOC-00040, Ballari",Circle
FIR-000143,LOC-00040,"Near LOC-00040, Ballari",School
FIR-000144,LOC-00049,"Near LOC-00049, Ballari",School
FIR-000145,LOC-00029,"Near LOC-00029, Ballari",Temple
FIR-000146,LOC-00040,"Near LOC-00040, Ballari",Temple
FIR-000147,LOC-00038,"Near LOC-00038, Ballari",Temple
FIR-000148,LOC-00043,"Near LOC-00043, Ballari",Bus Stand
FIR-000149,LOC-00037,"Near LOC-00037, Ballari",Market
FIR-000150,LOC-00049,"Near LOC-00049, Ballari",Circle
FIR-000151,LOC-00033,"Near LOC-00033, Ballari",Temple
FIR-000152,LOC-00054,"Near LOC-00054, Ballari",School
FIR-000153,LOC-00037,"Near LOC-00037, Ballari",Market
FIR-000154,LOC-00038,"Near LOC-00038, Ballari",Market
FIR-000155,LOC-00046,"Near LOC-00046, Ballari",Market
FIR-000156,LOC-00043,"Near LOC-00043, Ballari",Bus Stand
FIR-000157,LOC-00034,"Near LOC-00034, Ballari",Petrol Bunk
FIR-000158,LOC-00052,"Near LOC-00052, Ballari",Circle
FIR-000159,LOC-00029,"Near LOC-00029, Ballari",Market
FIR-000160,LOC-00042,"Near LOC-00042, Ballari",Temple
FIR-000161,LOC-00039,"Near LOC-00039, Ballari",School
FIR-000162,LOC-00045,"Near LOC-00045, Ballari",Temple
FIR-000163,LOC-00038,"Near LOC-00038, Ballari",Circle
FIR-000164,LOC-00044,"Near LOC-00044, Ballari",Temple
FIR-000165,LOC-00048,"Near LOC-00048, Ballari",Market
FIR-000166,LOC-00043,"Near LOC-00043, Ballari",Petrol Bunk
FIR-000167,LOC-00052,"Near LOC-00052, Ballari",Petrol Bunk
FIR-000168,LOC-00036,"Near LOC-00036, Ballari",Circle
FIR-000169,LOC-00041,"Near LOC-00041, Ballari",Circle
FIR-000170,LOC-00038,"Near LOC-00038, Ballari",School
FIR-000171,LOC-00032,"Near LOC-00032, Ballari",Bus Stand
FIR-000172,LOC-00041,"Near LOC-00041, Ballari",Market
FIR-000173,LOC-00038,"Near LOC-00038, Ballari",Petrol Bunk
FIR-000174,LOC-00040,"Near LOC-00040, Ballari",Bus Stand
FIR-000175,LOC-00048,"Near LOC-00048, Ballari",School
FIR-000176,LOC-00056,"Near LOC-00056, Ballari",Bus Stand
FIR-000177,LOC-00036,"Near LOC-00036, Ballari",Petrol Bunk
FIR-000178,LOC-00040,"Near LOC-00040, Ballari",Circle
FIR-000179,LOC-00055,"Near LOC-00055, Ballari",School
FIR-000180,LOC-00035,"Near LOC-00035, Ballari",Bus Stand
FIR-000181,LOC-00049,"Near LOC-00049, Ballari",Circle
FIR-000182,LOC-00039,"Near LOC-00039, Ballari",School
FIR-000183,LOC-00049,"Near LOC-00049, Ballari",Petrol Bunk
FIR-000184,LOC-00040,"Near LOC-00040, Ballari",Petrol Bunk
FIR-000185,LOC-00055,"Near LOC-00055, Ballari",Circle
FIR-000186,LOC-00034,"Near LOC-00034, Ballari",Market
FIR-000187,LOC-00029,"Near LOC-00029, Ballari",Petrol Bunk
FIR-000188,LOC-00032,"Near LOC-00032, Ballari",Petrol Bunk
FIR-000189,LOC-00035,"Near LOC-00035, Ballari",Temple
FIR-000190,LOC-00049,"Near LOC-00049, Ballari",Temple
FIR-000191,LOC-00053,"Near LOC-00053, Ballari",Bus Stand
FIR-000192,LOC-00037,"Near LOC-00037, Ballari",Bus Stand
FIR-000193,LOC-00039,"Near LOC-00039, Ballari",School
FIR-000194,LOC-00038,"Near LOC-00038, Ballari",Circle
FIR-000195,LOC-00040,"Near LOC-00040, Ballari",Petrol Bunk
FIR-000196,LOC-00036,"Near LOC-00036, Ballari",Market
FIR-000197,LOC-00031,"Near LOC-00031, Ballari",Petrol Bunk
FIR-000198,LOC-00050,"Near LOC-00050, Ballari",Circle
FIR-000199,LOC-00044,"Near LOC-00044, Ballari",Market
FIR-000200,LOC-00029,"Near LOC-00029, Ballari",Petrol Bunk
FIR-000201,LOC-00047,"Near LOC-00047, Ballari",Market
FIR-000202,LOC-00052,"Near LOC-00052, Ballari",Bus Stand
FIR-000203,LOC-00048,"Near LOC-00048, Ballari",School
FIR-000204,LOC-00038,"Near LOC-00038, Ballari",Market
FIR-000205,LOC-00044,"Near LOC-00044, Ballari",Petrol Bunk
FIR-000206,LOC-00031,"Near LOC-00031, Ballari",Petrol Bunk
FIR-000207,LOC-00050,"Near LOC-00050, Ballari",Circle
FIR-000208,LOC-00029,"Near LOC-00029, Ballari",School
FIR-000209,LOC-00036,"Near LOC-00036, Ballari",Bus Stand
FIR-000210,LOC-00031,"Near LOC-00031, Ballari",Temple
FIR-000211,LOC-00036,"Near LOC-00036, Ballari",Circle
FIR-000212,LOC-00038,"Near LOC-00038, Ballari",Market
FIR-000213,LOC-00046,"Near LOC-00046, Ballari",School
FIR-000214,LOC-00029,"Near LOC-00029, Ballari",Petrol Bunk
FIR-000215,LOC-00030,"Near LOC-00030, Ballari",Temple
FIR-000216,LOC-00038,"Near LOC-00038, Ballari",Circle
FIR-000217,LOC-00049,"Near LOC-00049, Ballari",School
FIR-000218,LOC-00046,"Near LOC-00046, Ballari",Bus Stand
FIR-000219,LOC-00056,"Near LOC-00056, Ballari",Bus Stand
FIR-000220,LOC-00032,"Near LOC-00032, Ballari",Market
FIR-000221,LOC-00049,"Near LOC-00049, Ballari",School
FIR-000222,LOC-00038,"Near LOC-00038, Ballari",Circle
FIR-000223,LOC-00030,"Near LOC-00030, Ballari",Market
FIR-000224,LOC-00049,"Near LOC-00049, Ballari",Circle
FIR-000225,LOC-00036,"Near LOC-00036, Ballari",Bus Stand
FIR-000226,LOC-00029,"Near LOC-00029, Ballari",Temple
FIR-000227,LOC-00033,"Near LOC-00033, Ballari",School
FIR-000228,LOC-00040,"Near LOC-00040, Ballari",Petrol Bunk
FIR-000229,LOC-00054,"Near LOC-00054, Ballari",Temple
FIR-000230,LOC-00040,"Near LOC-00040, Ballari",Circle
FIR-000231,LOC-00034,"Near LOC-00034, Ballari",Circle
FIR-000232,LOC-00036,"Near LOC-00036, Ballari",School
FIR-000233,LOC-00042,"Near LOC-00042, Ballari",Market
FIR-000234,LOC-00033,"Near LOC-00033, Ballari",Temple
FIR-000235,LOC-00029,"Near LOC-00029, Ballari",Circle
FIR-000236,LOC-00053,"Near LOC-00053, Ballari",Bus Stand
FIR-000237,LOC-00052,"Near LOC-00052, Ballari",Circle
FIR-000238,LOC-00052,"Near LOC-00052, Ballari",Petrol Bunk
FIR-000239,LOC-00049,"Near LOC-00049, Ballari",School
FIR-000240,LOC-00052,"Near LOC-00052, Ballari",Petrol Bunk
FIR-000241,LOC-00061,"Near LOC-00061, Belagavi",Temple
FIR-000242,LOC-00086,"Near LOC-00086, Belagavi",Bus Stand
FIR-000243,LOC-00079,"Near LOC-00079, Belagavi",Market
FIR-000244,LOC-00079,"Near LOC-00079, Belagavi",Market
FIR-000245,LOC-00059,"Near LOC-00059, Belagavi",Temple
FIR-000246,LOC-00087,"Near LOC-00087, Belagavi",Market
FIR-000247,LOC-00080,"Near LOC-00080, Belagavi",Petrol Bunk
FIR-000248,LOC-00068,"Near LOC-00068, Belagavi",Petrol Bunk
FIR-000249,LOC-00084,"Near LOC-00084, Belagavi",Petrol Bunk
FIR-000250,LOC-00094,"Near LOC-00094, Belagavi",Petrol Bunk
FIR-000251,LOC-00084,"Near LOC-00084, Belagavi",Petrol Bunk
FIR-000252,LOC-00073,"Near LOC-00073, Belagavi",Circle
FIR-000253,LOC-00076,"Near LOC-00076, Belagavi",Bus Stand
FIR-000254,LOC-00094,"Near LOC-00094, Belagavi",Circle
FIR-000255,LOC-00092,"Near LOC-00092, Belagavi",Petrol Bunk
FIR-000256,LOC-00095,"Near LOC-00095, Belagavi",Petrol Bunk
FIR-000257,LOC-00064,"Near LOC-00064, Belagavi",Petrol Bunk
FIR-000258,LOC-00084,"Near LOC-00084, Belagavi",School
FIR-000259,LOC-00057,"Near LOC-00057, Belagavi",Bus Stand
FIR-000260,LOC-00062,"Near LOC-00062, Belagavi",Petrol Bunk
FIR-000261,LOC-00084,"Near LOC-00084, Belagavi",Bus Stand
FIR-000262,LOC-00069,"Near LOC-00069, Belagavi",Bus Stand
FIR-000263,LOC-00059,"Near LOC-00059, Belagavi",Bus Stand
FIR-000264,LOC-00084,"Near LOC-00084, Belagavi",School
FIR-000265,LOC-00086,"Near LOC-00086, Belagavi",Bus Stand
FIR-000266,LOC-00091,"Near LOC-00091, Belagavi",Temple
FIR-000267,LOC-00072,"Near LOC-00072, Belagavi",Petrol Bunk
FIR-000268,LOC-00066,"Near LOC-00066, Belagavi",Circle
FIR-000269,LOC-00086,"Near LOC-00086, Belagavi",Market
FIR-000270,LOC-00074,"Near LOC-00074, Belagavi",Market
FIR-000271,LOC-00073,"Near LOC-00073, Belagavi",Circle
FIR-000272,LOC-00069,"Near LOC-00069, Belagavi",School
FIR-000273,LOC-00086,"Near LOC-00086, Belagavi",Bus Stand
FIR-000274,LOC-00088,"Near LOC-00088, Belagavi",Market
FIR-000275,LOC-00070,"Near LOC-00070, Belagavi",School
FIR-000276,LOC-00074,"Near LOC-00074, Belagavi",Petrol Bunk
FIR-000277,LOC-00062,"Near LOC-00062, Belagavi",Bus Stand
FIR-000278,LOC-00069,"Near LOC-00069, Belagavi",Petrol Bunk
FIR-000279,LOC-00093,"Near LOC-00093, Belagavi",Circle
FIR-000280,LOC-00084,"Near LOC-00084, Belagavi",Temple
FIR-000281,LOC-00069,"Near LOC-00069, Belagavi",Petrol Bunk
FIR-000282,LOC-00083,"Near LOC-00083, Belagavi",Circle
FIR-000283,LOC-00077,"Near LOC-00077, Belagavi",Petrol Bunk
FIR-000284,LOC-00087,"Near LOC-00087, Belagavi",Temple
FIR-000285,LOC-00075,"Near LOC-00075, Belagavi",Temple
FIR-000286,LOC-00086,"Near LOC-00086, Belagavi",Temple
FIR-000287,LOC-00093,"Near LOC-00093, Belagavi",Market
FIR-000288,LOC-00070,"Near LOC-00070, Belagavi",School
FIR-000289,LOC-00079,"Near LOC-00079, Belagavi",Market
FIR-000290,LOC-00074,"Near LOC-00074, Belagavi",Bus Stand
FIR-000291,LOC-00061,"Near LOC-00061, Belagavi",Market
FIR-000292,LOC-00057,"Near LOC-00057, Belagavi",Market
FIR-000293,LOC-00060,"Near LOC-00060, Belagavi",School
FIR-000294,LOC-00073,"Near LOC-00073, Belagavi",Circle
FIR-000295,LOC-00085,"Near LOC-00085, Belagavi",Circle
FIR-000296,LOC-00091,"Near LOC-00091, Belagavi",School
FIR-000297,LOC-00072,"Near LOC-00072, Belagavi",School
FIR-000298,LOC-00071,"Near LOC-00071, Belagavi",School
FIR-000299,LOC-00067,"Near LOC-00067, Belagavi",Market
FIR-000300,LOC-00094,"Near LOC-00094, Belagavi",Petrol Bunk
FIR-000301,LOC-00058,"Near LOC-00058, Belagavi",Market
FIR-000302,LOC-00084,"Near LOC-00084, Belagavi",Bus Stand
FIR-000303,LOC-00074,"Near LOC-00074, Belagavi",Circle
FIR-000304,LOC-00063,"Near LOC-00063, Belagavi",Petrol Bunk
FIR-000305,LOC-00070,"Near LOC-00070, Belagavi",Bus Stand
FIR-000306,LOC-00060,"Near LOC-00060, Belagavi",Circle
FIR-000307,LOC-00088,"Near LOC-00088, Belagavi",Petrol Bunk
FIR-000308,LOC-00077,"Near LOC-00077, Belagavi",Bus Stand
FIR-000309,LOC-00072,"Near LOC-00072, Belagavi",Temple
FIR-000310,LOC-00097,"Near LOC-00097, Belagavi",Market
FIR-000311,LOC-00082,"Near LOC-00082, Belagavi",Petrol Bunk
FIR-000312,LOC-00074,"Near LOC-00074, Belagavi",Temple
FIR-000313,LOC-00064,"Near LOC-00064, Belagavi",Circle
FIR-000314,LOC-00095,"Near LOC-00095, Belagavi",Market
FIR-000315,LOC-00082,"Near LOC-00082, Belagavi",Bus Stand
FIR-000316,LOC-00078,"Near LOC-00078, Belagavi",Petrol Bunk
FIR-000317,LOC-00089,"Near LOC-00089, Belagavi",School
FIR-000318,LOC-00086,"Near LOC-00086, Belagavi",Petrol Bunk
FIR-000319,LOC-00065,"Near LOC-00065, Belagavi",School
FIR-000320,LOC-00067,"Near LOC-00067, Belagavi",Temple
FIR-000321,LOC-00065,"Near LOC-00065, Belagavi",School
FIR-000322,LOC-00061,"Near LOC-00061, Belagavi",Petrol Bunk
FIR-000323,LOC-00094,"Near LOC-00094, Belagavi",Circle
FIR-000324,LOC-00096,"Near LOC-00096, Belagavi",Temple
FIR-000325,LOC-00064,"Near LOC-00064, Belagavi",Market
FIR-000326,LOC-00071,"Near LOC-00071, Belagavi",Bus Stand
FIR-000327,LOC-00085,"Near LOC-00085, Belagavi",Petrol Bunk
FIR-000328,LOC-00076,"Near LOC-00076, Belagavi",Bus Stand
FIR-000329,LOC-00074,"Near LOC-00074, Belagavi",Petrol Bunk
FIR-000330,LOC-00062,"Near LOC-00062, Belagavi",Bus Stand
FIR-000331,LOC-00090,"Near LOC-00090, Belagavi",Bus Stand
FIR-000332,LOC-00086,"Near LOC-00086, Belagavi",Petrol Bunk
FIR-000333,LOC-00066,"Near LOC-00066, Belagavi",Circle
FIR-000334,LOC-00059,"Near LOC-00059, Belagavi",School
FIR-000335,LOC-00081,"Near LOC-00081, Belagavi",Temple
FIR-000336,LOC-00073,"Near LOC-00073, Belagavi",School
FIR-000337,LOC-00089,"Near LOC-00089, Belagavi",Market
FIR-000338,LOC-00080,"Near LOC-00080, Belagavi",Petrol Bunk
FIR-000339,LOC-00074,"Near LOC-00074, Belagavi",Bus Stand
FIR-000340,LOC-00068,"Near LOC-00068, Belagavi",Circle
FIR-000341,LOC-00063,"Near LOC-00063, Belagavi",Circle
FIR-000342,LOC-00078,"Near LOC-00078, Belagavi",Market
FIR-000343,LOC-00084,"Near LOC-00084, Belagavi",Bus Stand
FIR-000344,LOC-00075,"Near LOC-00075, Belagavi",Bus Stand
FIR-000345,LOC-00092,"Near LOC-00092, Belagavi",Market
FIR-000346,LOC-00090,"Near LOC-00090, Belagavi",School
FIR-000347,LOC-00097,"Near LOC-00097, Belagavi",Temple
FIR-000348,LOC-00059,"Near LOC-00059, Belagavi",Petrol Bunk
FIR-000349,LOC-00083,"Near LOC-00083, Belagavi",Circle
FIR-000350,LOC-00096,"Near LOC-00096, Belagavi",School
FIR-000351,LOC-00059,"Near LOC-00059, Belagavi",Temple
FIR-000352,LOC-00072,"Near LOC-00072, Belagavi",School
FIR-000353,LOC-00094,"Near LOC-00094, Belagavi",Bus Stand
FIR-000354,LOC-00063,"Near LOC-00063, Belagavi",Market
FIR-000355,LOC-00081,"Near LOC-00081, Belagavi",Bus Stand
FIR-000356,LOC-00058,"Near LOC-00058, Belagavi",Market
FIR-000357,LOC-00069,"Near LOC-00069, Belagavi",Circle
FIR-000358,LOC-00089,"Near LOC-00089, Belagavi",Market
FIR-000359,LOC-00096,"Near LOC-00096, Belagavi",Bus Stand
FIR-000360,LOC-00072,"Near LOC-00072, Belagavi",Market
FIR-000361,LOC-00125,"Near LOC-00125, Bengaluru Rural",Bus Stand
FIR-000362,LOC-00113,"Near LOC-00113, Bengaluru Rural",School
FIR-000363,LOC-00099,"Near LOC-00099, Bengaluru Rural",Petrol Bunk
FIR-000364,LOC-00105,"Near LOC-00105, Bengaluru Rural",Bus Stand
FIR-000365,LOC-00123,"Near LOC-00123, Bengaluru Rural",School
FIR-000366,LOC-00106,"Near LOC-00106, Bengaluru Rural",Bus Stand
FIR-000367,LOC-00102,"Near LOC-00102, Bengaluru Rural",Temple
FIR-000368,LOC-00106,"Near LOC-00106, Bengaluru Rural",Market
FIR-000369,LOC-00106,"Near LOC-00106, Bengaluru Rural",Circle
FIR-000370,LOC-00117,"Near LOC-00117, Bengaluru Rural",Market
FIR-000371,LOC-00111,"Near LOC-00111, Bengaluru Rural",Market
FIR-000372,LOC-00109,"Near LOC-00109, Bengaluru Rural",School
FIR-000373,LOC-00102,"Near LOC-00102, Bengaluru Rural",Temple
FIR-000374,LOC-00104,"Near LOC-00104, Bengaluru Rural",Petrol Bunk
FIR-000375,LOC-00122,"Near LOC-00122, Bengaluru Rural",Petrol Bunk
FIR-000376,LOC-00111,"Near LOC-00111, Bengaluru Rural",Petrol Bunk
FIR-000377,LOC-00119,"Near LOC-00119, Bengaluru Rural",Bus Stand
FIR-000378,LOC-00102,"Near LOC-00102, Bengaluru Rural",Bus Stand
FIR-000379,LOC-00125,"Near LOC-00125, Bengaluru Rural",Petrol Bunk
FIR-000380,LOC-00101,"Near LOC-00101, Bengaluru Rural",Temple
FIR-000381,LOC-00118,"Near LOC-00118, Bengaluru Rural",Petrol Bunk
FIR-000382,LOC-00118,"Near LOC-00118, Bengaluru Rural",Market
FIR-000383,LOC-00112,"Near LOC-00112, Bengaluru Rural",Bus Stand
FIR-000384,LOC-00119,"Near LOC-00119, Bengaluru Rural",School
FIR-000385,LOC-00115,"Near LOC-00115, Bengaluru Rural",Market
FIR-000386,LOC-00108,"Near LOC-00108, Bengaluru Rural",Bus Stand
FIR-000387,LOC-00111,"Near LOC-00111, Bengaluru Rural",Temple
FIR-000388,LOC-00124,"Near LOC-00124, Bengaluru Rural",Bus Stand
FIR-000389,LOC-00125,"Near LOC-00125, Bengaluru Rural",School
FIR-000390,LOC-00098,"Near LOC-00098, Bengaluru Rural",Temple
FIR-000391,LOC-00125,"Near LOC-00125, Bengaluru Rural",Market
FIR-000392,LOC-00104,"Near LOC-00104, Bengaluru Rural",School
FIR-000393,LOC-00102,"Near LOC-00102, Bengaluru Rural",Market
FIR-000394,LOC-00098,"Near LOC-00098, Bengaluru Rural",School
FIR-000395,LOC-00117,"Near LOC-00117, Bengaluru Rural",Bus Stand
