accused_id_1,accused_id_2,shared_fir_count,first_shared_fir_id,relationship_type
ACC-00764,ACC-02841,1,FIR-000962,co-accused
ACC-00764,ACC-04366,1,FIR-000962,co-accused
ACC-02841,ACC-04366,1,FIR-000962,co-accused
ACC-00653,ACC-04351,1,FIR-000965,co-accused
ACC-01208,ACC-03948,1,FIR-000966,co-accused
ACC-00926,ACC-01608,1,FIR-000967,co-accused
ACC-01126,ACC-03918,1,FIR-000969,co-accused
ACC-02295,ACC-02878,1,FIR-000970,co-accused
ACC-00040,ACC-00439,1,FIR-000971,co-accused
ACC-03635,ACC-03801,1,FIR-000973,co-accused
ACC-00758,ACC-00869,1,FIR-000974,co-accused
ACC-01753,ACC-02409,1,FIR-000976,co-accused
ACC-01753,ACC-03150,1,FIR-000976,co-accused
ACC-02409,ACC-03150,1,FIR-000976,co-accused
ACC-00054,ACC-03601,1,FIR-000978,co-accused
ACC-00984,ACC-01612,1,FIR-000984,co-accused
ACC-00984,ACC-03119,1,FIR-000984,co-accused
ACC-01612,ACC-03119,1,FIR-000984,co-accused
ACC-00237,ACC-02077,1,FIR-000986,co-accused
ACC-01092,ACC-03412,1,FIR-000987,co-accused
ACC-00237,ACC-02101,1,FIR-000995,co-accused
ACC-00237,ACC-02548,1,FIR-000995,co-accused
ACC-02101,ACC-02548,1,FIR-000995,co-accused
ACC-03876,ACC-03953,1,FIR-001000,co-accused
ACC-03876,ACC-04206,1,FIR-001000,co-accused
ACC-03953,ACC-04206,1,FIR-001000,co-accused
ACC-01417,ACC-02815,1,FIR-001001,co-accused
ACC-01443,ACC-03953,1,FIR-001005,co-accused
ACC-01443,ACC-04274,1,FIR-001005,co-accused
ACC-03953,ACC-04274,1,FIR-001005,co-accused
ACC-00232,ACC-02461,1,FIR-001006,co-accused
ACC-01312,ACC-03776,1,FIR-001009,co-accused
ACC-03587,ACC-04393,1,FIR-001010,co-accused
ACC-03212,ACC-03603,1,FIR-001011,co-accused
ACC-00903,ACC-03212,1,FIR-001012,co-accused
ACC-00197,ACC-01858,1,FIR-001028,co-accused
ACC-01031,ACC-02101,1,FIR-001033,co-accused
ACC-01031,ACC-02291,1,FIR-001033,co-accused
ACC-02101,ACC-02291,1,FIR-001033,co-accused
ACC-01997,ACC-03619,1,FIR-001035,co-accused
ACC-02386,ACC-04314,1,FIR-001036,co-accused
ACC-00197,ACC-00336,1,FIR-001042,co-accused
ACC-01525,ACC-02100,1,FIR-001044,co-accused
ACC-00021,ACC-00079,1,FIR-001047,co-accused
ACC-00021,ACC-00888,1,FIR-001047,co-accused
ACC-00079,ACC-00888,1,FIR-001047,co-accused
ACC-02291,ACC-04271,1,FIR-001051,co-accused
ACC-02152,ACC-02841,1,FIR-001052,co-accused
ACC-01881,ACC-04452,1,FIR-001063,co-accused
ACC-00829,ACC-00916,1,FIR-001067,co-accused
ACC-00829,ACC-03055,1,FIR-001067,co-accused
ACC-00916,ACC-03055,1,FIR-001067,co-accused
ACC-00181,ACC-02600,1,FIR-001069,co-accused
ACC-03161,ACC-03876,1,FIR-001076,co-accused
ACC-00131,ACC-00586,1,FIR-001081,co-accused
ACC-00921,ACC-00984,1,FIR-001082,co-accused
ACC-00230,ACC-03843,1,FIR-001084,co-accused
ACC-00079,ACC-01443,1,FIR-001087,co-accused
ACC-00079,ACC-02607,1,FIR-001087,co-accused
ACC-01443,ACC-02607,1,FIR-001087,co-accused
ACC-00579,ACC-01547,1,FIR-001091,co-accused
ACC-00579,ACC-02351,1,FIR-001091,co-accused
ACC-01547,ACC-02351,1,FIR-001091,co-accused
ACC-01249,ACC-02621,1,FIR-001098,co-accused
ACC-00586,ACC-01808,1,FIR-001100,co-accused
ACC-00586,ACC-04354,1,FIR-001100,co-accused
ACC-01808,ACC-04354,1,FIR-001100,co-accused
ACC-01428,ACC-03731,1,FIR-001104,co-accused
ACC-02952,ACC-03787,1,FIR-001108,co-accused
ACC-00394,ACC-01061,1,FIR-001109,co-accused
ACC-00394,ACC-03559,1,FIR-001109,co-accused
ACC-01061,ACC-03559,1,FIR-001109,co-accused
ACC-00479,ACC-04352,1,FIR-001120,co-accused
ACC-01129,ACC-04272,1,FIR-001121,co-accused
ACC-00431,ACC-01829,1,FIR-001122,co-accused
ACC-00099,ACC-02506,1,FIR-001123,co-accused
ACC-00252,ACC-03192,1,FIR-001124,co-accused
ACC-02538,ACC-03743,1,FIR-001131,co-accused
ACC-00602,ACC-01792,1,FIR-001132,co-accused
ACC-02727,ACC-03929,1,FIR-001137,co-accused
ACC-02096,ACC-02594,1,FIR-001146,co-accused
ACC-02096,ACC-02862,1,FIR-001146,co-accused
ACC-02594,ACC-02862,1,FIR-001146,co-accused
ACC-00252,ACC-00714,1,FIR-001148,co-accused
ACC-04387,ACC-04429,1,FIR-001150,co-accused
ACC-01571,ACC-01642,1,FIR-001159,co-accused
ACC-03059,ACC-04351,1,FIR-001162,co-accused
ACC-00126,ACC-01061,1,FIR-001164,co-accused
ACC-00126,ACC-03082,1,FIR-001164,co-accused
ACC-01061,ACC-03082,1,FIR-001164,co-accused
ACC-02660,ACC-03897,1,FIR-001166,co-accused
ACC-03367,ACC-04387,1,FIR-001171,co-accused
ACC-00314,ACC-03559,1,FIR-001173,co-accused
ACC-00467,ACC-04098,1,FIR-001175,co-accused
ACC-03082,ACC-04280,1,FIR-001176,co-accused
ACC-00971,ACC-01059,1,FIR-001179,co-accused
ACC-00620,ACC-04143,1,FIR-001180,co-accused
ACC-00747,ACC-03779,1,FIR-001181,co-accused
ACC-01330,ACC-02416,1,FIR-001188,co-accused
ACC-00684,ACC-02864,1,FIR-001189,co-accused
ACC-01330,ACC-04303,1,FIR-001190,co-accused
ACC-01003,ACC-01967,1,FIR-001191,co-accused
ACC-00576,ACC-02470,1,FIR-001192,co-accused
ACC-00576,ACC-02690,1,FIR-001192,co-accused
ACC-02470,ACC-02690,1,FIR-001192,co-accused
ACC-01548,ACC-02277,1,FIR-001195,co-accused
ACC-00419,ACC-02493,1,FIR-001197,co-accused
ACC-02067,ACC-02470,1,FIR-001198,co-accused
ACC-00297,ACC-02493,1,FIR-001202,co-accused
ACC-03929,ACC-04279,1,FIR-001206,co-accused
ACC-01800,ACC-04424,1,FIR-001207,co-accused
ACC-02476,ACC-03766,1,FIR-001208,co-accused
ACC-01149,ACC-02001,1,FIR-001211,co-accused
ACC-02983,ACC-03323,1,FIR-001215,co-accused
ACC-00040,ACC-02583,1,FIR-001219,co-accused
ACC-02839,ACC-04265,1,FIR-001226,co-accused
ACC-00053,ACC-01389,1,FIR-001229,co-accused
ACC-01519,ACC-01989,1,FIR-001231,co-accused
ACC-00705,ACC-02307,1,FIR-001232,co-accused
ACC-00705,ACC-02371,1,FIR-001232,co-accused
ACC-02307,ACC-02371,1,FIR-001232,co-accused
ACC-01292,ACC-02783,1,FIR-001233,co-accused
ACC-02963,ACC-03641,1,FIR-001236,co-accused
ACC-02963,ACC-04190,1,FIR-001236,co-accused
ACC-03641,ACC-04190,1,FIR-001236,co-accused
ACC-01626,ACC-04249,1,FIR-001237,co-accused
ACC-00801,ACC-00974,1,FIR-001241,co-accused
ACC-00801,ACC-02297,1,FIR-001241,co-accused
ACC-00974,ACC-02297,1,FIR-001241,co-accused
ACC-00213,ACC-01494,1,FIR-001242,co-accused
ACC-00228,ACC-00788,1,FIR-001243,co-accused
ACC-00228,ACC-04300,1,FIR-001243,co-accused
ACC-00788,ACC-04300,1,FIR-001243,co-accused
ACC-00228,ACC-03341,1,FIR-001244,co-accused
ACC-00053,ACC-02640,1,FIR-001245,co-accused
ACC-01626,ACC-04220,1,FIR-001247,co-accused
