phone_id_1,phone_id_2,contact_date,contact_count,link_fir_ids
PHN-02186,PHN-00457,2021-06-04,4,FIR-002242|FIR-003512|FIR-003518
PHN-00685,PHN-00144,2024-09-03,6,FIR-000729|FIR-003611|FIR-003615
PHN-01982,PHN-01016,2023-02-12,5,FIR-001279|FIR-001694|FIR-003688
PHN-02066,PHN-02041,2022-12-25,25,FIR-000561|FIR-002348
PHN-00046,PHN-00256,2023-07-11,9,FIR-000862|FIR-002241|FIR-002258
PHN-00458,PHN-01221,2023-11-17,20,FIR-000400|FIR-001409
PHN-00838,PHN-00631,2025-12-31,9,FIR-000231|FIR-002269
PHN-01514,PHN-00158,2023-03-21,13,FIR-000258|FIR-002350
PHN-01452,PHN-00686,2024-12-15,16,FIR-003573|FIR-003580
PHN-01994,PHN-02116,2022-09-18,13,FIR-001775|FIR-003410
PHN-00933,PHN-02118,2025-01-06,11,FIR-000226|FIR-002726
PHN-00098,PHN-02044,2022-12-02,1,FIR-001058|FIR-002991
PHN-02022,PHN-01594,2023-01-14,15,FIR-002657|FIR-003390
PHN-00617,PHN-01230,2022-10-04,22,FIR-001431|FIR-003518
PHN-01796,PHN-00246,2021-05-10,19,FIR-000239|FIR-001358|FIR-002894
PHN-00851,PHN-00999,2022-07-01,8,FIR-002508|FIR-002511|FIR-003526
PHN-00297,PHN-01180,2022-06-06,5,FIR-000164|FIR-002717
PHN-01871,PHN-01720,2022-11-20,9,FIR-000490|FIR-000742|FIR-000827
PHN-01240,PHN-01020,2023-10-24,5,FIR-000798|FIR-002109
PHN-01766,PHN-01376,2024-07-22,11,FIR-001113|FIR-002358|FIR-002360
PHN-00343,PHN-02003,2024-09-24,1,FIR-002405|FIR-002997
PHN-02193,PHN-01243,2024-01-03,12,FIR-000591|FIR-001694
PHN-02204,PHN-01053,2025-02-28,25,FIR-000642|FIR-002458
PHN-01129,PHN-01500,2021-05-09,3,FIR-000135|FIR-001951
PHN-00040,PHN-01658,2023-01-09,10,FIR-000038|FIR-001635
PHN-00044,PHN-00287,2025-06-13,19,FIR-000558|FIR-001719|FIR-003064
PHN-01098,PHN-00335,2022-06-28,15,FIR-002707|FIR-003276|FIR-003295
PHN-02092,PHN-00368,2024-11-16,12,FIR-003288|FIR-003635
PHN-01185,PHN-01609,2025-10-30,24,FIR-001082|FIR-001875
PHN-00776,PHN-01335,2021-01-18,22,FIR-000173|FIR-002839
PHN-00990,PHN-00090,2022-08-30,14,FIR-001368|FIR-003459
PHN-01351,PHN-02076,2025-10-20,12,FIR-000685|FIR-002998
PHN-00324,PHN-00037,2022-03-18,9,FIR-002075|FIR-002706|FIR-003282
PHN-00796,PHN-02180,2025-09-24,6,FIR-000085|FIR-003150
PHN-01855,PHN-01708,2022-11-30,10,FIR-002132|FIR-002315|FIR-002531
PHN-01385,PHN-00366,2024-09-01,5,FIR-002476|FIR-002969|FIR-003649|FIR-003659
PHN-01115,PHN-01333,2021-11-05,25,FIR-000785|FIR-002627
PHN-02070,PHN-00440,2023-10-24,18,FIR-001185|FIR-002229
PHN-00702,PHN-01026,2021-02-17,21,FIR-000428|FIR-002982
PHN-01740,PHN-00475,2022-04-13,23,FIR-002251|FIR-002394
PHN-00843,PHN-01197,2021-11-10,14,FIR-002822|FIR-003063
PHN-00156,PHN-01343,2021-01-06,6,FIR-002074|FIR-003186
PHN-00003,PHN-01893,2024-03-12,16,FIR-003333|FIR-003495
