accused_id,fir_id,role_in_case,date_added,warrant_status
ACC-01977,FIR-000044,primary,2022-10-03,NONE
ACC-00235,FIR-000045,primary,2022-11-20,NONE
ACC-01799,FIR-000046,primary,2022-11-15,NONE
ACC-02855,FIR-000046,suspect,2022-11-15,NONE
ACC-02041,FIR-000047,primary,2022-12-25,NONE
ACC-02894,FIR-000048,primary,2022-12-09,NONE
ACC-03889,FIR-000049,primary,2023-01-07,NONE
ACC-00836,FIR-000050,primary,2023-01-25,PENDING
ACC-01945,FIR-000051,primary,2023-02-03,NONE
ACC-00814,FIR-000052,primary,2023-02-14,NONE
ACC-00515,FIR-000052,secondary,2023-02-14,NONE
ACC-00253,FIR-000052,secondary,2023-02-14,NONE
ACC-03692,FIR-000053,primary,2023-03-22,NONE
ACC-00858,FIR-000053,secondary,2023-03-22,ISSUED
ACC-00783,FIR-000054,primary,2023-03-09,NONE
ACC-00198,FIR-000055,primary,2023-04-19,ISSUED
ACC-02590,FIR-000055,secondary,2023-04-19,NONE
ACC-03225,FIR-000056,primary,2023-04-09,EXECUTED
ACC-04228,FIR-000057,primary,2023-05-15,ISSUED
ACC-04245,FIR-000058,primary,2023-05-16,NONE
ACC-02997,FIR-000059,primary,2023-06-14,NONE
ACC-03837,FIR-000059,suspect,2023-06-14,NONE
ACC-00239,FIR-000060,primary,2023-06-11,ISSUED
ACC-00699,FIR-000061,primary,2023-07-09,EXECUTED
ACC-03310,FIR-000061,suspect,2023-07-09,NONE
ACC-02004,FIR-000062,primary,2023-07-12,NONE
ACC-01662,FIR-000062,secondary,2023-07-12,PENDING
ACC-02603,FIR-000063,primary,2023-08-07,NONE
ACC-04088,FIR-000064,primary,2023-08-10,NONE
ACC-00313,FIR-000065,primary,2023-09-23,ISSUED
ACC-01936,FIR-000066,primary,2023-09-19,NONE
ACC-02344,FIR-000066,suspect,2023-09-19,ISSUED
ACC-03176,FIR-000067,primary,2023-10-12,NONE
ACC-00697,FIR-000068,primary,2023-10-20,ISSUED
ACC-03716,FIR-000069,primary,2023-11-19,NONE
ACC-00628,FIR-000069,secondary,2023-11-19,ISSUED
ACC-03257,FIR-000069,secondary,2023-11-19,NONE
ACC-01193,FIR-000070,primary,2023-11-28,NONE
ACC-01211,FIR-000071,primary,2023-12-04,NONE
ACC-04064,FIR-000072,primary,2023-12-30,NONE
ACC-03062,FIR-000073,primary,2024-01-15,NONE
ACC-00204,FIR-000074,primary,2024-01-05,NONE
ACC-04368,FIR-000075,primary,2024-02-26,NONE
ACC-00535,FIR-000076,primary,2024-02-17,NONE
ACC-02861,FIR-000077,primary,2024-03-29,EXECUTED
ACC-00276,FIR-000078,primary,2024-03-31,NONE
ACC-00445,FIR-000079,primary,2024-04-15,NONE
ACC-01167,FIR-000080,primary,2024-04-13,NONE
ACC-00515,FIR-000080,suspect,2024-04-13,EXECUTED
ACC-03019,FIR-000081,primary,2024-05-19,ISSUED
ACC-01769,FIR-000082,primary,2024-05-23,NONE
ACC-00858,FIR-000082,suspect,2024-05-23,NONE
ACC-03717,FIR-000083,primary,2024-06-11,NONE
ACC-04360,FIR-000083,suspect,2024-06-11,NONE
ACC-01478,FIR-000084,primary,2024-06-28,NONE
ACC-03557,FIR-000085,primary,2024-07-05,NONE
ACC-00372,FIR-000085,secondary,2024-07-05,NONE
ACC-02264,FIR-000086,primary,2024-07-08,NONE
ACC-00234,FIR-000087,primary,2024-08-18,NONE
ACC-04262,FIR-000088,primary,2024-08-26,NONE
ACC-03689,FIR-000089,primary,2024-09-30,NONE
ACC-01788,FIR-000090,primary,2024-09-04,NONE
ACC-03310,FIR-000090,suspect,2024-09-04,ISSUED
ACC-02680,FIR-000091,primary,2024-10-31,NONE
ACC-04444,FIR-000092,primary,2024-10-06,ISSUED
ACC-03376,FIR-000092,secondary,2024-10-06,NONE
ACC-03314,FIR-000093,primary,2024-11-14,PENDING
ACC-02639,FIR-000094,primary,2024-11-14,ISSUED
ACC-02547,FIR-000095,primary,2024-12-10,NONE
ACC-00846,FIR-000096,primary,2024-12-24,NONE
ACC-03361,FIR-000097,primary,2025-01-17,EXECUTED
ACC-03032,FIR-000098,primary,2025-01-12,NONE
ACC-01058,FIR-000098,suspect,2025-01-12,NONE
ACC-00226,FIR-000098,secondary,2025-01-12,NONE
ACC-01477,FIR-000099,primary,2025-02-07,NONE
ACC-03560,FIR-000100,primary,2025-02-01,NONE
ACC-01662,FIR-000100,secondary,2025-02-01,NONE
ACC-01734,FIR-000101,primary,2025-03-09,NONE
ACC-02015,FIR-000102,primary,2025-03-11,NONE
ACC-04069,FIR-000102,suspect,2025-03-11,NONE
ACC-02074,FIR-000103,primary,2025-04-27,ISSUED
ACC-00072,FIR-000103,suspect,2025-04-27,ISSUED
ACC-03978,FIR-000103,secondary,2025-04-27,NONE
ACC-01981,FIR-000104,primary,2025-04-12,NONE
ACC-01570,FIR-000105,primary,2025-05-06,NONE
ACC-00678,FIR-000106,primary,2025-05-23,NONE
ACC-01843,FIR-000107,primary,2025-06-05,PENDING
ACC-01392,FIR-000108,primary,2025-06-08,ISSUED
ACC-00210,FIR-000109,primary,2025-07-27,NONE
ACC-03097,FIR-000110,primary,2025-07-11,NONE
ACC-01616,FIR-000110,suspect,2025-07-11,NONE
ACC-00970,FIR-000111,primary,2025-08-18,NONE
ACC-00578,FIR-000112,primary,2025-08-21,NONE
ACC-00072,FIR-000112,secondary,2025-08-21,NONE
ACC-00899,FIR-000113,primary,2025-09-29,NONE
ACC-01771,FIR-000114,primary,2025-09-27,NONE
ACC-01432,FIR-000115,primary,2025-10-17,NONE
ACC-04305,FIR-000115,secondary,2025-10-17,NONE
ACC-03941,FIR-000116,primary,2025-10-30,NONE
ACC-04360,FIR-000116,secondary,2025-10-30,NONE
ACC-00873,FIR-000117,primary,2025-11-08,PENDING
ACC-01720,FIR-000118,primary,2025-11-18,PENDING
ACC-02510,FIR-000119,primary,2025-12-05,PENDING
ACC-01404,FIR-000119,suspect,2025-12-05,NONE
ACC-02338,FIR-000120,primary,2025-12-13,NONE
ACC-03827,FIR-000121,primary,2021-01-08,EXECUTED
ACC-01405,FIR-000122,primary,2021-01-14,NONE
ACC-03354,FIR-000122,suspect,2021-01-14,NONE
ACC-02469,FIR-000123,primary,2021-02-06,PENDING
ACC-03052,FIR-000124,primary,2021-02-27,NONE
ACC-02111,FIR-000125,primary,2021-03-30,NONE
ACC-02194,FIR-000126,primary,2021-03-19,NONE
ACC-00611,FIR-000127,primary,2021-04-04,NONE
ACC-03820,FIR-000128,primary,2021-04-28,PENDING
ACC-00170,FIR-000129,primary,2021-05-10,NONE
ACC-01718,FIR-000129,suspect,2021-05-10,NONE
ACC-03540,FIR-000130,primary,2021-05-07,NONE
ACC-03013,FIR-000131,primary,2021-06-26,NONE
ACC-02909,FIR-000131,suspect,2021-06-26,NONE
ACC-01244,FIR-000132,primary,2021-06-27,NONE
ACC-04181,FIR-000133,primary,2021-07-19,ISSUED
ACC-01837,FIR-000134,primary,2021-07-11,NONE
ACC-02191,FIR-000135,primary,2021-08-23,PENDING
ACC-02575,FIR-000136,primary,2021-08-25,NONE
ACC-03610,FIR-000137,primary,2021-09-12,NONE
ACC-03402,FIR-000138,primary,2021-09-13,NONE
ACC-00592,FIR-000139,primary,2021-10-18,NONE
ACC-00203,FIR-000139,secondary,2021-10-18,EXECUTED
ACC-04040,FIR-000140,primary,2021-10-31,NONE
ACC-02448,FIR-000141,primary,2021-11-10,NONE
ACC-04109,FIR-000142,primary,2021-11-04,EXECUTED
ACC-00845,FIR-000143,primary,2021-12-01,PENDING
ACC-02885,FIR-000144,primary,2021-12-10,NONE
ACC-00618,FIR-000145,primary,2022-01-09,NONE
ACC-04225,FIR-000146,primary,2022-01-04,NONE
ACC-03850,FIR-000146,secondary,2022-01-04,NONE
ACC-02471,FIR-000147,primary,2022-02-14,NONE
ACC-01522,FIR-000148,primary,2022-02-04,NONE
ACC-03048,FIR-000149,primary,2022-03-30,ISSUED
ACC-01515,FIR-000150,primary,2022-03-25,PENDING
ACC-00649,FIR-000151,primary,2022-04-17,ISSUED
ACC-03302,FIR-000152,primary,2022-04-05,NONE
ACC-02536,FIR-000152,suspect,2022-04-05,NONE
ACC-03818,FIR-000153,primary,2022-05-12,NONE
ACC-01044,FIR-000154,primary,2022-05-03,NONE
ACC-02932,FIR-000155,primary,2022-06-03,NONE
ACC-00852,FIR-000156,primary,2022-06-04,ISSUED
ACC-01995,FIR-000157,primary,2022-07-25,PENDING
ACC-02098,FIR-000158,primary,2022-07-26,ISSUED
ACC-04421,FIR-000159,primary,2022-08-31,NONE
ACC-00951,FIR-000159,secondary,2022-08-31,NONE
ACC-01718,FIR-000159,secondary,2022-08-31,NONE
ACC-00952,FIR-000160,primary,2022-08-15,NONE
ACC-02944,FIR-000161,primary,2022-09-18,NONE
ACC-00295,FIR-000161,suspect,2022-09-18,PENDING
ACC-01320,FIR-000162,primary,2022-09-28,NONE
ACC-03980,FIR-000163,primary,2022-10-18,ISSUED
ACC-01030,FIR-000164,primary,2022-10-02,NONE
ACC-02790,FIR-000165,primary,2022-11-18,ISSUED
ACC-03357,FIR-000166,primary,2022-11-19,NONE
ACC-00203,FIR-000166,suspect,2022-11-19,NONE
ACC-01874,FIR-000166,secondary,2022-11-19,NONE
ACC-01512,FIR-000167,primary,2022-12-03,NONE
ACC-00028,FIR-000168,primary,2022-12-01,NONE
ACC-01162,FIR-000168,secondary,2022-12-01,NONE
ACC-00405,FIR-000169,primary,2023-01-15,NONE
ACC-00822,FIR-000169,secondary,2023-01-15,NONE
ACC-00509,FIR-000170,primary,2023-01-19,NONE
ACC-02615,FIR-000171,primary,2023-02-12,NONE
ACC-03440,FIR-000171,secondary,2023-02-12,NONE
ACC-02867,FIR-000172,primary,2023-02-01,PENDING
ACC-03500,FIR-000172,secondary,2023-02-01,NONE
ACC-03372,FIR-000173,primary,2023-03-02,NONE
ACC-02708,FIR-000174,primary,2023-03-03,NONE
ACC-01418,FIR-000175,primary,2023-04-18,NONE
ACC-03992,FIR-000175,secondary,2023-04-18,NONE
ACC-04437,FIR-000176,primary,2023-04-03,ISSUED
ACC-00329,FIR-000177,primary,2023-05-24,PENDING
ACC-04002,FIR-000178,primary,2023-05-14,NONE
ACC-02516,FIR-000179,primary,2023-06-09,NONE
ACC-03260,FIR-000179,suspect,2023-06-09,NONE
ACC-00612,FIR-000180,primary,2023-06-11,ISSUED
ACC-04214,FIR-000181,primary,2023-07-31,NONE
ACC-00930,FIR-000181,secondary,2023-07-31,NONE
ACC-04286,FIR-000182,primary,2023-07-11,NONE
ACC-00833,FIR-000183,primary,2023-08-09,NONE
ACC-02449,FIR-000184,primary,2023-08-09,NONE
ACC-03362,FIR-000185,primary,2023-09-01,NONE
ACC-03853,FIR-000186,primary,2023-09-17,NONE
ACC-00957,FIR-000187,primary,2023-10-14,NONE
ACC-03850,FIR-000187,secondary,2023-10-14,NONE
ACC-01583,FIR-000188,primary,2023-10-30,NONE
ACC-04107,FIR-000189,primary,2023-11-24,NONE
ACC-02377,FIR-000190,primary,2023-11-18,NONE
ACC-03090,FIR-000191,primary,2023-12-12,NONE
ACC-03880,FIR-000192,primary,2023-12-29,NONE
ACC-03606,FIR-000193,primary,2024-01-12,NONE
ACC-02855,FIR-000193,secondary,2024-01-12,NONE
ACC-03455,FIR-000194,primary,2024-01-07,ISSUED
ACC-03500,FIR-000194,secondary,2024-01-07,NONE
ACC-01533,FIR-000195,primary,2024-02-20,NONE
ACC-01634,FIR-000196,primary,2024-02-06,NONE
ACC-03807,FIR-000196,secondary,2024-02-06,ISSUED
ACC-02814,FIR-000197,primary,2024-03-22,NONE
ACC-02747,FIR-000198,primary,2024-03-21,NONE
ACC-00555,FIR-000198,suspect,2024-03-21,NONE
ACC-04162,FIR-000199,primary,2024-04-08,NONE
ACC-03304,FIR-000200,primary,2024-04-07,NONE
ACC-01555,FIR-000200,suspect,2024-04-07,NONE
ACC-01263,FIR-000201,primary,2024-05-07,NONE
ACC-04020,FIR-000202,primary,2024-05-02,NONE
ACC-02630,FIR-000203,primary,2024-06-22,NONE
ACC-00555,FIR-000203,secondary,2024-06-22,NONE
ACC-01311,FIR-000204,primary,2024-06-09,PENDING
ACC-01460,FIR-000205,primary,2024-07-29,NONE
ACC-03260,FIR-000205,secondary,2024-07-29,NONE
ACC-03469,FIR-000205,secondary,2024-07-29,NONE
ACC-00816,FIR-000206,primary,2024-07-04,ISSUED
ACC-00295,FIR-000206,suspect,2024-07-04,ISSUED
ACC-03707,FIR-000207,primary,2024-08-20,NONE
ACC-03382,FIR-000208,primary,2024-08-09,NONE
ACC-00789,FIR-000209,primary,2024-09-21,ISSUED
ACC-02483,FIR-000209,secondary,2024-09-21,NONE
ACC-03922,FIR-000210,primary,2024-09-15,NONE
ACC-00990,FIR-000211,primary,2024-10-20,NONE
ACC-01106,FIR-000212,primary,2024-10-05,NONE
ACC-01655,FIR-000213,primary,2024-11-03,NONE
ACC-02056,FIR-000214,primary,2024-11-03,NONE
ACC-00233,FIR-000214,suspect,2024-11-03,NONE
ACC-00762,FIR-000214,secondary,2024-11-03,NONE
ACC-04047,FIR-000215,primary,2024-12-12,NONE
ACC-04122,FIR-000216,primary,2024-12-08,NONE
ACC-04242,FIR-000216,suspect,2024-12-08,ISSUED
ACC-03170,FIR-000217,primary,2025-01-26,NONE
ACC-03383,FIR-000218,primary,2025-01-22,NONE
ACC-01092,FIR-000218,secondary,2025-01-22,NONE
ACC-01175,FIR-000219,primary,2025-02-15,NONE
ACC-02958,FIR-000219,suspect,2025-02-15,PENDING
ACC-02458,FIR-000220,primary,2025-02-08,NONE
ACC-02117,FIR-000221,primary,2025-03-06,NONE
ACC-03028,FIR-000222,primary,2025-03-05,NONE
ACC-03443,FIR-000223,primary,2025-04-16,ISSUED
ACC-00626,FIR-000224,primary,2025-04-22,NONE
ACC-02322,FIR-000225,primary,2025-05-01,PENDING
ACC-03541,FIR-000226,primary,2025-05-11,NONE
ACC-00951,FIR-000226,secondary,2025-05-11,NONE
ACC-01624,FIR-000227,primary,2025-06-27,NONE
ACC-01342,FIR-000228,primary,2025-06-25,NONE
ACC-01602,FIR-000228,suspect,2025-06-25,PENDING
ACC-01057,FIR-000229,primary,2025-07-27,NONE
ACC-02217,FIR-000230,primary,2025-07-07,NONE
ACC-01004,FIR-000231,primary,2025-08-22,PENDING
ACC-02427,FIR-000232,primary,2025-08-23,ISSUED
ACC-03532,FIR-000233,primary,2025-09-29,NONE
ACC-03266,FIR-000234,primary,2025-09-17,NONE
ACC-03086,FIR-000235,primary,2025-10-31,NONE
ACC-03085,FIR-000236,primary,2025-10-17,NONE
ACC-01198,FIR-000237,primary,2025-11-07,EXECUTED
ACC-02058,FIR-000238,primary,2025-11-28,NONE
ACC-00048,FIR-000239,primary,2025-12-30,NONE
ACC-00372,FIR-000239,secondary,2025-12-30,PENDING
ACC-02996,FIR-000239,suspect,2025-12-30,ISSUED
ACC-02375,FIR-000240,primary,2025-12-16,NONE
ACC-04336,FIR-000240,secondary,2025-12-16,NONE
ACC-03475,FIR-000241,primary,2021-01-18,NONE
ACC-00168,FIR-000242,primary,2021-01-23,NONE
ACC-00727,FIR-000242,suspect,2021-01-23,NONE
ACC-02755,FIR-000243,primary,2021-02-11,NONE
ACC-00863,FIR-000244,primary,2021-02-23,NONE
ACC-00202,FIR-000245,primary,2021-03-26,NONE
ACC-03641,FIR-000245,secondary,2021-03-26,NONE
ACC-01749,FIR-000246,primary,2021-03-22,NONE
ACC-02221,FIR-000247,primary,2021-04-05,PENDING
ACC-00410,FIR-000248,primary,2021-04-08,ISSUED
ACC-02475,FIR-000249,primary,2021-05-04,NONE
ACC-01901,FIR-000250,primary,2021-05-28,NONE
ACC-02918,FIR-000251,primary,2021-06-06,NONE
ACC-00729,FIR-000252,primary,2021-06-13,ISSUED
ACC-01216,FIR-000253,primary,2021-07-10,NONE
ACC-00019,FIR-000254,primary,2021-07-19,NONE
ACC-03612,FIR-000255,primary,2021-08-04,EXECUTED
ACC-01487,FIR-000255,suspect,2021-08-04,NONE
ACC-00937,FIR-000256,primary,2021-08-22,NONE
ACC-00086,FIR-000257,primary,2021-09-04,PENDING
ACC-03456,FIR-000258,primary,2021-09-26,NONE
ACC-03279,FIR-000259,primary,2021-10-04,NONE
ACC-03675,FIR-000260,primary,2021-10-14,NONE
ACC-01169,FIR-000261,primary,2021-11-17,NONE
ACC-00553,FIR-000262,primary,2021-11-29,PENDING
ACC-01919,FIR-000263,primary,2021-12-20,NONE
ACC-02798,FIR-000264,primary,2021-12-11,NONE
ACC-00550,FIR-000265,primary,2022-01-16,PENDING
ACC-00920,FIR-000266,primary,2022-01-16,NONE
ACC-02414,FIR-000266,suspect,2022-01-16,NONE
ACC-02129,FIR-000267,primary,2022-02-18,NONE
ACC-01827,FIR-000268,primary,2022-02-09,ISSUED
ACC-02534,FIR-000269,primary,2022-03-07,NONE
ACC-01403,FIR-000270,primary,2022-03-05,NONE
ACC-02509,FIR-000271,primary,2022-04-09,NONE
ACC-02293,FIR-000272,primary,2022-04-27,NONE
ACC-04345,FIR-000273,primary,2022-05-25,NONE
ACC-03592,FIR-000274,primary,2022-05-01,NONE
ACC-03093,FIR-000275,primary,2022-06-14,NONE
ACC-03185,FIR-000275,suspect,2022-06-14,NONE
ACC-02126,FIR-000276,primary,2022-06-23,ISSUED
ACC-01486,FIR-000277,primary,2022-07-10,NONE
ACC-04373,FIR-000277,suspect,2022-07-10,NONE
ACC-02698,FIR-000278,primary,2022-07-01,NONE
ACC-04460,FIR-000279,primary,2022-08-04,NONE
ACC-02396,FIR-000279,secondary,2022-08-04,NONE
ACC-02149,FIR-000280,primary,2022-08-04,NONE
ACC-03232,FIR-000280,secondary,2022-08-04,ISSUED
ACC-02182,FIR-000281,primary,2022-09-20,PENDING
ACC-01001,FIR-000282,primary,2022-09-02,NONE
ACC-00505,FIR-000283,primary,2022-10-26,NONE
ACC-03258,FIR-000284,primary,2022-10-07,NONE
ACC-00191,FIR-000285,primary,2022-11-07,NONE
ACC-01366,FIR-000286,primary,2022-11-23,NONE
ACC-00669,FIR-000287,primary,2022-12-16,NONE
ACC-02414,FIR-000287,suspect,2022-12-16,ISSUED
ACC-02533,FIR-000288,primary,2022-12-12,ISSUED
ACC-04210,FIR-000289,primary,2023-01-20,ISSUED
ACC-02786,FIR-000290,primary,2023-01-26,NONE
ACC-03334,FIR-000291,primary,2023-02-27,NONE
ACC-03755,FIR-000292,primary,2023-02-03,NONE
ACC-00425,FIR-000293,primary,2023-03-08,PENDING
ACC-01834,FIR-000294,primary,2023-03-29,ISSUED
ACC-00353,FIR-000294,suspect,2023-03-29,NONE
ACC-00880,FIR-000295,primary,2023-04-17,NONE
ACC-02544,FIR-000296,primary,2023-04-09,ISSUED
ACC-04055,FIR-000297,primary,2023-05-15,ISSUED
ACC-03710,FIR-000298,primary,2023-05-06,NONE
ACC-00887,FIR-000299,primary,2023-06-08,NONE
ACC-00718,FIR-000300,primary,2023-06-24,NONE
ACC-00389,FIR-000300,secondary,2023-06-24,NONE
ACC-00754,FIR-000300,secondary,2023-06-24,PENDING
ACC-00865,FIR-000301,primary,2023-07-12,NONE
ACC-01381,FIR-000302,primary,2023-07-08,ISSUED
ACC-01189,FIR-000303,primary,2023-08-02,NONE
ACC-01773,FIR-000304,primary,2023-08-29,NONE
ACC-00584,FIR-000305,primary,2023-09-04,NONE
ACC-03814,FIR-000306,primary,2023-09-16,NONE
ACC-03673,FIR-000306,suspect,2023-09-16,ISSUED
ACC-01909,FIR-000307,primary,2023-10-30,NONE
ACC-02537,FIR-000308,primary,2023-10-18,ISSUED
ACC-01795,FIR-000309,primary,2023-11-08,NONE
ACC-04407,FIR-000310,primary,2023-11-27,NONE
ACC-00130,FIR-000311,primary,2023-12-20,ISSUED
ACC-02629,FIR-000312,primary,2023-12-10,NONE
ACC-00850,FIR-000313,primary,2024-01-26,NONE
ACC-01180,FIR-000314,primary,2024-01-05,NONE
ACC-02016,FIR-000314,secondary,2024-01-05,NONE
ACC-04188,FIR-000315,primary,2024-02-28,NONE
ACC-04217,FIR-000316,primary,2024-02-04,NONE
ACC-00842,FIR-000316,secondary,2024-02-04,NONE
ACC-00143,FIR-000317,primary,2024-03-06,NONE
ACC-01587,FIR-000318,primary,2024-03-20,NONE
ACC-03870,FIR-000319,primary,2024-04-18,NONE
ACC-04072,FIR-000320,primary,2024-04-18,NONE
ACC-00056,FIR-000321,primary,2024-05-18,ISSUED
ACC-04260,FIR-000322,primary,2024-05-20,ISSUED
ACC-02359,FIR-000323,primary,2024-06-24,NONE
ACC-01038,FIR-000324,primary,2024-06-28,NONE
ACC-02368,FIR-000325,primary,2024-07-05,NONE
ACC-00941,FIR-000326,primary,2024-07-08,NONE
ACC-00138,FIR-000327,primary,2024-08-12,NONE
ACC-02771,FIR-000328,primary,2024-08-21,NONE
ACC-01820,FIR-000329,primary,2024-09-22,EXECUTED
ACC-03221,FIR-000329,suspect,2024-09-22,NONE
ACC-00976,FIR-000330,primary,2024-09-14,ISSUED
ACC-01174,FIR-000331,primary,2024-10-26,PENDING
ACC-02309,FIR-000332,primary,2024-10-26,NONE
ACC-00395,FIR-000333,primary,2024-11-24,NONE
ACC-00780,FIR-000334,primary,2024-11-23,NONE
ACC-00874,FIR-000335,primary,2024-12-28,PENDING
ACC-01811,FIR-000336,primary,2024-12-14,NONE
ACC-03991,FIR-000337,primary,2025-01-26,NONE
ACC-01853,FIR-000337,suspect,2025-01-26,NONE
ACC-00486,FIR-000338,primary,2025-01-02,NONE
ACC-01732,FIR-000339,primary,2025-02-06,NONE
ACC-02595,FIR-000340,primary,2025-02-25,PENDING
ACC-00026,FIR-000341,primary,2025-03-23,NONE
ACC-02505,FIR-000342,primary,2025-03-20,NONE
ACC-02140,FIR-000342,secondary,2025-03-20,NONE
ACC-00424,FIR-000343,primary,2025-04-23,NONE
ACC-01563,FIR-000344,primary,2025-04-01,NONE
ACC-00512,FIR-000345,primary,2025-05-16,NONE
ACC-01487,FIR-000345,secondary,2025-05-16,PENDING
ACC-02693,FIR-000346,primary,2025-05-04,NONE
ACC-04158,FIR-000347,primary,2025-06-27,NONE
ACC-02265,FIR-000348,primary,2025-06-21,NONE
ACC-03428,FIR-000348,secondary,2025-06-21,NONE
ACC-00330,FIR-000349,primary,2025-07-25,NONE
ACC-03594,FIR-000350,primary,2025-07-26,NONE
ACC-03536,FIR-000351,primary,2025-08-04,NONE
ACC-00371,FIR-000352,primary,2025-08-12,PENDING
ACC-03232,FIR-000352,suspect,2025-08-12,NONE
ACC-00035,FIR-000353,primary,2025-09-26,NONE
ACC-02964,FIR-000354,primary,2025-09-13,NONE
ACC-00811,FIR-000355,primary,2025-10-09,NONE
ACC-00103,FIR-000356,primary,2025-10-21,NONE
ACC-03325,FIR-000357,primary,2025-11-18,EXECUTED
ACC-03221,FIR-000357,secondary,2025-11-18,NONE
ACC-01879,FIR-000358,primary,2025-11-23,NONE
ACC-02563,FIR-000359,primary,2025-12-07,NONE
ACC-02366,FIR-000360,primary,2025-12-26,ISSUED
ACC-00842,FIR-000360,suspect,2025-12-26,NONE
ACC-00617,FIR-000361,primary,2021-01-09,NONE
ACC-00472,FIR-000362,primary,2021-01-03,NONE
ACC-00508,FIR-000362,secondary,2021-01-03,NONE
ACC-02244,FIR-000362,suspect,2021-01-03,NONE
ACC-00491,FIR-000363,primary,2021-02-27,NONE
ACC-03083,FIR-000364,primary,2021-02-07,NONE
ACC-03261,FIR-000365,primary,2021-03-10,NONE
ACC-00485,FIR-000365,suspect,2021-03-10,NONE
ACC-00562,FIR-000366,primary,2021-03-20,NONE
ACC-01616,FIR-000366,suspect,2021-03-20,PENDING
ACC-00335,FIR-000367,primary,2021-04-25,PENDING
ACC-02659,FIR-000367,suspect,2021-04-25,NONE
ACC-02299,FIR-000368,primary,2021-04-06,NONE
ACC-00894,FIR-000368,secondary,2021-04-06,NONE
ACC-02112,FIR-000369,primary,2021-05-06,PENDING
ACC-02872,FIR-000370,primary,2021-05-02,NONE
ACC-00745,FIR-000371,primary,2021-06-08,ISSUED
ACC-01049,FIR-000372,primary,2021-06-22,ISSUED
