fir_id,type_id,primary_section
FIR-000098,CT-026,BNS TBD - verify
FIR-000099,CT-023,BNS TBD - verify
FIR-000100,CT-023,BNS TBD - verify
FIR-000101,CT-045,BNS TBD - verify
FIR-000102,CT-034,BNS TBD - verify
FIR-000103,CT-007,BNS TBD - verify
FIR-000104,CT-019,BNS TBD - verify
FIR-000105,CT-013,BNS 67A (IT Act - unaffected by BNS)
FIR-000106,CT-021,BNS TBD - verify
FIR-000107,CT-025,BNS TBD - verify
FIR-000108,CT-022,BNS TBD - verify
FIR-000109,CT-028,BNS TBD - verify
FIR-000110,CT-022,BNS TBD - verify
FIR-000111,CT-001,BNS 303
FIR-000112,CT-031,BNS TBD - verify
FIR-000113,CT-029,BNS TBD - verify
FIR-000114,CT-038,BNS TBD - verify
FIR-000115,CT-020,BNS TBD - verify
FIR-000116,CT-013,BNS 67A (IT Act - unaffected by BNS)
FIR-000117,CT-011,BNS TBD - verify
FIR-000118,CT-020,BNS TBD - verify
FIR-000119,CT-030,BNS TBD - verify
FIR-000120,CT-020,BNS TBD - verify
FIR-000121,CT-008,IPC 325
FIR-000122,CT-021,IPC 379
FIR-000123,CT-020,IPC 379
FIR-000124,CT-031,IPC 406
FIR-000125,CT-030,IPC 138 (NI Act)
FIR-000126,CT-037,IPC 498A
FIR-000127,CT-032,IPC 392
FIR-000128,CT-026,IPC 353
FIR-000129,CT-003,IPC 379
FIR-000130,CT-027,IPC 307
FIR-000131,CT-033,IPC 384
FIR-000132,CT-040,IPC 66D (IT Act)
FIR-000133,CT-003,IPC 379
FIR-000134,CT-028,IPC 506
FIR-000135,CT-023,IPC 379
FIR-000136,CT-044,IPC 268
FIR-000137,CT-034,IPC 393
FIR-000138,CT-028,IPC 506
FIR-000139,CT-036,IPC 3
FIR-000140,CT-007,IPC 323
FIR-000141,CT-001,IPC 379
FIR-000142,CT-002,IPC 379
FIR-000143,CT-006,IPC 454
FIR-000144,CT-045,IPC 447
FIR-000145,CT-011,IPC 468
FIR-000146,CT-004,IPC 392
FIR-000147,CT-041,IPC 354D
FIR-000148,CT-024,IPC 379
FIR-000149,CT-001,IPC 379
FIR-000150,CT-003,IPC 379
FIR-000151,CT-042,IPC 457
FIR-000152,CT-026,IPC 353
FIR-000153,CT-043,IPC 458
FIR-000154,CT-028,IPC 506
FIR-000155,CT-023,IPC 379
FIR-000156,CT-003,IPC 379
FIR-000157,CT-027,IPC 307
FIR-000158,CT-028,IPC 506
FIR-000159,CT-021,IPC 379
FIR-000160,CT-009,IPC 394
FIR-000161,CT-037,IPC 498A
FIR-000162,CT-039,IPC 66D (IT Act)
FIR-000163,CT-004,IPC 392
FIR-000164,CT-001,IPC 379
FIR-000165,CT-023,IPC 379
FIR-000166,CT-028,IPC 506
FIR-000167,CT-024,IPC 379
FIR-000168,CT-036,IPC 3
FIR-000169,CT-026,IPC 353
FIR-000170,CT-030,IPC 138 (NI Act)
FIR-000171,CT-004,IPC 392
FIR-000172,CT-002,IPC 379
FIR-000173,CT-022,IPC 379
FIR-000174,CT-019,IPC 379
FIR-000175,CT-019,IPC 379
FIR-000176,CT-030,IPC 138 (NI Act)
FIR-000177,CT-029,IPC 420
FIR-000178,CT-035,IPC 498A
FIR-000179,CT-020,IPC 379
FIR-000180,CT-029,IPC 420
FIR-000181,CT-028,IPC 506
FIR-000182,CT-044,IPC 268
FIR-000183,CT-012,IPC 66C
FIR-000184,CT-023,IPC 379
FIR-000185,CT-041,IPC 354D
FIR-000186,CT-006,IPC 454
FIR-000187,CT-026,IPC 353
FIR-000188,CT-030,IPC 138 (NI Act)
FIR-000189,CT-025,IPC 379
FIR-000190,CT-013,IPC 67A (IT Act)
FIR-000191,CT-021,IPC 379
FIR-000192,CT-026,IPC 353
FIR-000193,CT-009,IPC 394
FIR-000194,CT-020,IPC 379
FIR-000195,CT-009,IPC 394
FIR-000196,CT-020,IPC 379
FIR-000197,CT-023,IPC 379
FIR-000198,CT-001,IPC 379
FIR-000199,CT-025,IPC 379
FIR-000200,CT-001,IPC 379
FIR-000201,CT-019,IPC 379
FIR-000202,CT-009,IPC 394
FIR-000203,CT-045,IPC 447
FIR-000204,CT-024,IPC 379
FIR-000205,CT-023,BNS TBD - verify
FIR-000206,CT-012,BNS 66C
FIR-000207,CT-029,BNS TBD - verify
FIR-000208,CT-020,BNS TBD - verify
FIR-000209,CT-030,BNS TBD - verify
FIR-000210,CT-021,BNS TBD - verify
FIR-000211,CT-022,BNS TBD - verify
FIR-000212,CT-020,BNS TBD - verify
FIR-000213,CT-025,BNS TBD - verify
FIR-000214,CT-041,BNS TBD - verify
FIR-000215,CT-026,BNS TBD - verify
FIR-000216,CT-015,BNS 80
FIR-000217,CT-022,BNS TBD - verify
FIR-000218,CT-020,BNS TBD - verify
FIR-000219,CT-008,BNS TBD - verify
FIR-000220,CT-021,BNS TBD - verify
FIR-000221,CT-014,BNS 85
FIR-000222,CT-025,BNS TBD - verify
FIR-000223,CT-031,BNS TBD - verify
FIR-000224,CT-003,BNS 304
FIR-000225,CT-034,BNS TBD - verify
FIR-000226,CT-039,BNS TBD - verify
FIR-000227,CT-045,BNS TBD - verify
FIR-000228,CT-022,BNS TBD - verify
FIR-000229,CT-045,BNS TBD - verify
FIR-000230,CT-011,BNS TBD - verify
FIR-000231,CT-003,BNS 304
FIR-000232,CT-035,BNS TBD - verify
FIR-000233,CT-031,BNS TBD - verify
FIR-000234,CT-026,BNS TBD - verify
FIR-000235,CT-009,BNS 296
FIR-000236,CT-009,BNS 296
FIR-000237,CT-019,BNS TBD - verify
FIR-000238,CT-028,BNS TBD - verify
FIR-000239,CT-011,BNS TBD - verify
FIR-000240,CT-031,BNS TBD - verify
FIR-000241,CT-031,IPC 406
FIR-000242,CT-030,IPC 138 (NI Act)
FIR-000243,CT-021,IPC 379
FIR-000244,CT-022,IPC 379
FIR-000245,CT-042,IPC 457
FIR-000246,CT-019,IPC 379
FIR-000247,CT-025,IPC 379
FIR-000248,CT-038,IPC 66C (IT Act)
FIR-000249,CT-031,IPC 406
FIR-000250,CT-020,IPC 379
FIR-000251,CT-032,IPC 392
FIR-000252,CT-011,IPC 468
FIR-000253,CT-008,IPC 325
FIR-000254,CT-006,IPC 454
FIR-000255,CT-008,IPC 325
FIR-000256,CT-027,IPC 307
FIR-000257,CT-025,IPC 379
FIR-000258,CT-020,IPC 379
FIR-000259,CT-012,IPC 66C
FIR-000260,CT-014,IPC 498A
FIR-000261,CT-002,IPC 379
FIR-000262,CT-036,IPC 3
FIR-000263,CT-001,IPC 379
FIR-000264,CT-042,IPC 457
FIR-000265,CT-023,IPC 379
FIR-000266,CT-024,IPC 379
FIR-000267,CT-012,IPC 66C
FIR-000268,CT-035,IPC 498A
FIR-000269,CT-012,IPC 66C
FIR-000270,CT-001,IPC 379
FIR-000271,CT-001,IPC 379
FIR-000272,CT-024,IPC 379
FIR-000273,CT-032,IPC 392
FIR-000274,CT-020,IPC 379
FIR-000275,CT-043,IPC 458
FIR-000276,CT-041,IPC 354D
FIR-000277,CT-014,IPC 498A
FIR-000278,CT-001,IPC 379
FIR-000279,CT-026,IPC 353
FIR-000280,CT-036,IPC 3
FIR-000281,CT-020,IPC 379
FIR-000282,CT-001,IPC 379
FIR-000283,CT-001,IPC 379
FIR-000284,CT-027,IPC 307
FIR-000285,CT-020,IPC 379
FIR-000286,CT-006,IPC 454
FIR-000287,CT-014,IPC 498A
FIR-000288,CT-030,IPC 138 (NI Act)
FIR-000289,CT-009,IPC 394
FIR-000290,CT-015,IPC 304B
FIR-000291,CT-032,IPC 392
FIR-000292,CT-038,IPC 66C (IT Act)
FIR-000293,CT-021,IPC 379
FIR-000294,CT-003,IPC 379
FIR-000295,CT-007,IPC 323
FIR-000296,CT-004,IPC 392
FIR-000297,CT-023,IPC 379
FIR-000298,CT-025,IPC 379
FIR-000299,CT-030,IPC 138 (NI Act)
FIR-000300,CT-005,IPC 395
FIR-000301,CT-021,IPC 379
FIR-000302,CT-008,IPC 325
FIR-000303,CT-026,IPC 353
FIR-000304,CT-017,IPC 363
FIR-000305,CT-015,IPC 304B
FIR-000306,CT-041,IPC 354D
FIR-000307,CT-031,IPC 406
FIR-000308,CT-018,IPC 427
FIR-000309,CT-010,IPC 420
FIR-000310,CT-020,IPC 379
FIR-000311,CT-013,IPC 67A (IT Act)
FIR-000312,CT-033,IPC 384
FIR-000313,CT-009,IPC 394
FIR-000314,CT-028,IPC 506
FIR-000315,CT-003,IPC 379
FIR-000316,CT-037,IPC 498A
FIR-000317,CT-017,IPC 363
FIR-000318,CT-027,IPC 307
FIR-000319,CT-029,IPC 420
FIR-000320,CT-020,IPC 379
FIR-000321,CT-025,IPC 379
FIR-000322,CT-014,IPC 498A
FIR-000323,CT-013,IPC 67A (IT Act)
FIR-000324,CT-037,IPC 498A
FIR-000325,CT-024,BNS TBD - verify
FIR-000326,CT-031,BNS TBD - verify
FIR-000327,CT-031,BNS TBD - verify
FIR-000328,CT-011,BNS TBD - verify
FIR-000329,CT-040,BNS TBD - verify
FIR-000330,CT-040,BNS TBD - verify
FIR-000331,CT-033,BNS TBD - verify
FIR-000332,CT-030,BNS TBD - verify
FIR-000333,CT-012,BNS 66C
FIR-000334,CT-012,BNS 66C
FIR-000335,CT-016,BNS 103 (murder)
FIR-000336,CT-010,BNS 318
FIR-000337,CT-003,BNS 304
FIR-000338,CT-024,BNS TBD - verify
FIR-000339,CT-043,BNS TBD - verify
FIR-000340,CT-040,BNS TBD - verify
FIR-000341,CT-026,BNS TBD - verify
FIR-000342,CT-036,BNS TBD - verify
FIR-000343,CT-027,BNS TBD - verify
FIR-000344,CT-038,BNS TBD - verify
FIR-000345,CT-011,BNS TBD - verify
FIR-000346,CT-032,BNS TBD - verify
FIR-000347,CT-035,BNS TBD - verify
FIR-000348,CT-004,BNS TBD - verify
FIR-000349,CT-026,BNS TBD - verify
FIR-000350,CT-026,BNS TBD - verify
FIR-000351,CT-021,BNS TBD - verify
FIR-000352,CT-020,BNS TBD - verify
FIR-000353,CT-010,BNS 318
FIR-000354,CT-033,BNS TBD - verify
FIR-000355,CT-022,BNS TBD - verify
FIR-000356,CT-020,BNS TBD - verify
FIR-000357,CT-014,BNS 85
FIR-000358,CT-025,BNS TBD - verify
FIR-000359,CT-033,BNS TBD - verify
FIR-000360,CT-010,BNS 318
FIR-000361,CT-016,IPC 302
FIR-000362,CT-023,IPC 379
FIR-000363,CT-025,IPC 379
FIR-000364,CT-021,IPC 379
FIR-000365,CT-029,IPC 420
FIR-000366,CT-031,IPC 406
FIR-000367,CT-009,IPC 394
FIR-000368,CT-025,IPC 379
FIR-000369,CT-044,IPC 268
FIR-000370,CT-004,IPC 392
FIR-000371,CT-020,IPC 379
FIR-000372,CT-024,IPC 379
FIR-000373,CT-003,IPC 379
FIR-000374,CT-025,IPC 379
FIR-000375,CT-028,IPC 506
FIR-000376,CT-037,IPC 498A
FIR-000377,CT-021,IPC 379
FIR-000378,CT-008,IPC 325
FIR-000379,CT-019,IPC 379
FIR-000380,CT-012,IPC 66C
FIR-000381,CT-025,IPC 379
FIR-000382,CT-008,IPC 325
FIR-000383,CT-002,IPC 379
FIR-000384,CT-029,IPC 420
FIR-000385,CT-001,IPC 379
FIR-000386,CT-029,IPC 420
FIR-000387,CT-023,IPC 379
FIR-000388,CT-024,IPC 379
FIR-000389,CT-009,IPC 394
FIR-000390,CT-028,IPC 506
FIR-000391,CT-030,IPC 138 (NI Act)
FIR-000392,CT-009,IPC 394
FIR-000393,CT-025,IPC 379
FIR-000394,CT-027,IPC 307
FIR-000395,CT-040,IPC 66D (IT Act)
FIR-000396,CT-025,IPC 379
FIR-000397,CT-031,IPC 406
FIR-000398,CT-002,IPC 379
FIR-000399,CT-043,IPC 458
FIR-000400,CT-024,IPC 379
FIR-000401,CT-013,IPC 67A (IT Act)
FIR-000402,CT-031,IPC 406
FIR-000403,CT-021,IPC 379
FIR-000404,CT-042,IPC 457
FIR-000405,CT-006,IPC 454
FIR-000406,CT-041,IPC 354D
FIR-000407,CT-022,IPC 379
FIR-000408,CT-003,IPC 379
FIR-000409,CT-043,IPC 458
FIR-000410,CT-030,IPC 138 (NI Act)
FIR-000411,CT-019,IPC 379
FIR-000412,CT-023,IPC 379
FIR-000413,CT-041,IPC 354D
FIR-000414,CT-025,IPC 379
FIR-000415,CT-004,IPC 392
FIR-000416,CT-019,IPC 379
FIR-000417,CT-005,IPC 395
FIR-000418,CT-026,IPC 353
FIR-000419,CT-005,IPC 395
FIR-000420,CT-032,IPC 392
FIR-000421,CT-002,IPC 379
FIR-000422,CT-031,IPC 406
FIR-000423,CT-027,IPC 307
FIR-000424,CT-021,IPC 379
FIR-000425,CT-041,IPC 354D
FIR-000426,CT-008,IPC 325
FIR-000427,CT-005,IPC 395
FIR-000428,CT-003,IPC 379
FIR-000429,CT-025,IPC 379
FIR-000430,CT-039,IPC 66D (IT Act)
FIR-000431,CT-007,IPC 323
FIR-000432,CT-038,IPC 66C (IT Act)
FIR-000433,CT-013,IPC 67A (IT Act)
FIR-000434,CT-031,IPC 406
FIR-000435,CT-021,IPC 379
FIR-000436,CT-039,IPC 66D (IT Act)
FIR-000437,CT-019,IPC 379
FIR-000438,CT-024,IPC 379
FIR-000439,CT-027,IPC 307
FIR-000440,CT-014,IPC 498A
FIR-000441,CT-011,IPC 468
FIR-000442,CT-034,IPC 393
FIR-000443,CT-011,IPC 468
FIR-000444,CT-043,IPC 458
FIR-000445,CT-024,BNS TBD - verify
FIR-000446,CT-023,BNS TBD - verify
FIR-000447,CT-010,BNS 318
FIR-000448,CT-023,BNS TBD - verify
FIR-000449,CT-029,BNS TBD - verify
FIR-000450,CT-021,BNS TBD - verify
FIR-000451,CT-029,BNS TBD - verify
FIR-000452,CT-005,BNS TBD - verify
FIR-000453,CT-030,BNS TBD - verify
FIR-000454,CT-006,BNS 331 (verify)
FIR-000455,CT-033,BNS TBD - verify
FIR-000456,CT-038,BNS TBD - verify
FIR-000457,CT-010,BNS 318
FIR-000458,CT-002,BNS 303
FIR-000459,CT-015,BNS 80
FIR-000460,CT-009,BNS 296
FIR-000461,CT-043,BNS TBD - verify
FIR-000462,CT-020,BNS TBD - verify
FIR-000463,CT-026,BNS TBD - verify
FIR-000464,CT-042,BNS TBD - verify
FIR-000465,CT-023,BNS TBD - verify
FIR-000466,CT-003,BNS 304
FIR-000467,CT-020,BNS TBD - verify
FIR-000468,CT-037,BNS TBD - verify
FIR-000469,CT-034,BNS TBD - verify
FIR-000470,CT-021,BNS TBD - verify
FIR-000471,CT-029,BNS TBD - verify
FIR-000472,CT-038,BNS TBD - verify
FIR-000473,CT-020,BNS TBD - verify
FIR-000474,CT-014,BNS 85
FIR-000475,CT-029,BNS TBD - verify
FIR-000476,CT-002,BNS 303
FIR-000477,CT-031,BNS TBD - verify
FIR-000478,CT-002,BNS 303
FIR-000479,CT-025,BNS TBD - verify
FIR-000480,CT-027,BNS TBD - verify
FIR-000481,CT-035,IPC 498A
FIR-000482,CT-020,IPC 379
FIR-000483,CT-009,IPC 394
FIR-000484,CT-010,IPC 420
FIR-000485,CT-001,IPC 379
FIR-000486,CT-021,IPC 379
FIR-000487,CT-002,IPC 379
FIR-000488,CT-032,IPC 392
FIR-000489,CT-019,IPC 379
FIR-000490,CT-038,IPC 66C (IT Act)
FIR-000491,CT-024,IPC 379
FIR-000492,CT-019,IPC 379
FIR-000493,CT-015,IPC 304B
FIR-000494,CT-015,IPC 304B
FIR-000495,CT-008,IPC 325
FIR-000496,CT-020,IPC 379
FIR-000497,CT-004,IPC 392
FIR-000498,CT-010,IPC 420
FIR-000499,CT-019,IPC 379
FIR-000500,CT-014,IPC 498A
FIR-000501,CT-008,IPC 325
FIR-000502,CT-027,IPC 307
FIR-000503,CT-011,IPC 468
FIR-000504,CT-029,IPC 420
FIR-000505,CT-041,IPC 354D
FIR-000506,CT-033,IPC 384
FIR-000507,CT-002,IPC 379
FIR-000508,CT-003,IPC 379
FIR-000509,CT-023,IPC 379
FIR-000510,CT-029,IPC 420
FIR-000511,CT-002,IPC 379
FIR-000512,CT-019,IPC 379
FIR-000513,CT-024,IPC 379
FIR-000514,CT-004,IPC 392
FIR-000515,CT-025,IPC 379
FIR-000516,CT-004,IPC 392
FIR-000517,CT-009,IPC 394
FIR-000518,CT-010,IPC 420
FIR-000519,CT-011,IPC 468
FIR-000520,CT-032,IPC 392
FIR-000521,CT-034,IPC 393
FIR-000522,CT-022,IPC 379
FIR-000523,CT-002,IPC 379
FIR-000524,CT-010,IPC 420
FIR-000525,CT-021,IPC 379
FIR-000526,CT-037,IPC 498A
FIR-000527,CT-001,IPC 379
FIR-000528,CT-027,IPC 307
FIR-000529,CT-003,IPC 379
FIR-000530,CT-035,IPC 498A
FIR-000531,CT-040,IPC 66D (IT Act)
FIR-000532,CT-024,IPC 379
FIR-000533,CT-026,IPC 353
FIR-000534,CT-036,IPC 3
FIR-000535,CT-022,IPC 379
FIR-000536,CT-008,IPC 325
FIR-000537,CT-006,IPC 454
FIR-000538,CT-029,IPC 420
FIR-000539,CT-022,IPC 379
FIR-000540,CT-021,IPC 379
FIR-000541,CT-029,IPC 420
FIR-000542,CT-025,IPC 379
FIR-000543,CT-019,IPC 379
FIR-000544,CT-004,IPC 392
FIR-000545,CT-001,IPC 379
FIR-000546,CT-009,IPC 394
FIR-000547,CT-025,IPC 379
FIR-000548,CT-003,IPC 379
FIR-000549,CT-019,IPC 379
FIR-000550,CT-041,IPC 354D
FIR-000551,CT-037,IPC 498A
FIR-000552,CT-037,IPC 498A
FIR-000553,CT-043,IPC 458
FIR-000554,CT-004,IPC 392
FIR-000555,CT-022,IPC 379
FIR-000556,CT-021,IPC 379
FIR-000557,CT-030,IPC 138 (NI Act)
FIR-000558,CT-008,IPC 325
FIR-000559,CT-028,IPC 506
FIR-000560,CT-022,IPC 379
FIR-000561,CT-028,IPC 506
FIR-000562,CT-019,IPC 379
FIR-000563,CT-016,IPC 302
FIR-000564,CT-008,IPC 325
FIR-000565,CT-025,IPC 379
FIR-000566,CT-033,IPC 384
FIR-000567,CT-038,IPC 66C (IT Act)
FIR-000568,CT-011,IPC 468
FIR-000569,CT-032,IPC 392
FIR-000570,CT-008,IPC 325
FIR-000571,CT-009,IPC 394
FIR-000572,CT-024,IPC 379
FIR-000573,CT-009,IPC 394
FIR-000574,CT-002,IPC 379
FIR-000575,CT-020,IPC 379
FIR-000576,CT-012,IPC 66C
FIR-000577,CT-020,IPC 379
FIR-000578,CT-008,IPC 325
FIR-000579,CT-031,IPC 406
FIR-000580,CT-043,IPC 458
FIR-000581,CT-004,IPC 392
FIR-000582,CT-003,IPC 379
FIR-000583,CT-011,IPC 468
FIR-000584,CT-025,IPC 379
FIR-000585,CT-008,IPC 325
FIR-000586,CT-022,IPC 379
FIR-000587,CT-028,IPC 506
FIR-000588,CT-039,IPC 66D (IT Act)
FIR-000589,CT-007,IPC 323
FIR-000590,CT-002,IPC 379
FIR-000591,CT-020,IPC 379
FIR-000592,CT-019,IPC 379
FIR-000593,CT-012,IPC 66C
FIR-000594,CT-030,IPC 138 (NI Act)
FIR-000595,CT-039,IPC 66D (IT Act)
FIR-000596,CT-026,IPC 353
FIR-000597,CT-005,IPC 395
FIR-000598,CT-008,IPC 325
FIR-000599,CT-043,IPC 458
FIR-000600,CT-006,IPC 454
FIR-000601,CT-023,IPC 379
FIR-000602,CT-020,IPC 379
FIR-000603,CT-019,IPC 379
FIR-000604,CT-017,IPC 363
FIR-000605,CT-008,IPC 325
FIR-000606,CT-012,IPC 66C
FIR-000607,CT-039,IPC 66D (IT Act)
FIR-000608,CT-027,IPC 307
FIR-000609,CT-030,IPC 138 (NI Act)
FIR-000610,CT-044,IPC 268
FIR-000611,CT-007,IPC 323
FIR-000612,CT-005,IPC 395
FIR-000613,CT-022,IPC 379
FIR-000614,CT-015,IPC 304B
FIR-000615,CT-011,IPC 468
FIR-000616,CT-026,IPC 353
FIR-000617,CT-007,IPC 323
FIR-000618,CT-033,IPC 384
FIR-000619,CT-019,IPC 379
FIR-000620,CT-003,IPC 379
FIR-000621,CT-035,IPC 498A
FIR-000622,CT-036,IPC 3
FIR-000623,CT-027,IPC 307
FIR-000624,CT-025,IPC 379
FIR-000625,CT-034,IPC 393
FIR-000626,CT-008,IPC 325
FIR-000627,CT-007,IPC 323
FIR-000628,CT-033,IPC 384
FIR-000629,CT-004,IPC 392
FIR-000630,CT-002,IPC 379
FIR-000631,CT-039,IPC 66D (IT Act)
FIR-000632,CT-043,IPC 458
FIR-000633,CT-024,IPC 379
FIR-000634,CT-010,IPC 420
FIR-000635,CT-040,IPC 66D (IT Act)
FIR-000636,CT-042,IPC 457
FIR-000637,CT-036,IPC 3
FIR-000638,CT-008,IPC 325
FIR-000639,CT-025,IPC 379
FIR-000640,CT-029,IPC 420
FIR-000641,CT-011,IPC 468
FIR-000642,CT-022,IPC 379
FIR-000643,CT-007,IPC 323
FIR-000644,CT-022,IPC 379
FIR-000645,CT-011,IPC 468
FIR-000646,CT-042,IPC 457
FIR-000647,CT-011,IPC 468
FIR-000648,CT-024,IPC 379
FIR-000649,CT-037,IPC 498A
FIR-000650,CT-015,IPC 304B
FIR-000651,CT-043,IPC 458
FIR-000652,CT-041,IPC 354D
FIR-000653,CT-028,IPC 506
FIR-000654,CT-043,IPC 458
FIR-000655,CT-033,IPC 384
FIR-000656,CT-008,IPC 325
FIR-000657,CT-003,IPC 379
FIR-000658,CT-013,IPC 67A (IT Act)
FIR-000659,CT-002,IPC 379
FIR-000660,CT-036,IPC 3
FIR-000661,CT-007,BNS TBD - verify
FIR-000662,CT-010,BNS 318
FIR-000663,CT-020,BNS TBD - verify
FIR-000664,CT-020,BNS TBD - verify
FIR-000665,CT-034,BNS TBD - verify
FIR-000666,CT-033,BNS TBD - verify
FIR-000667,CT-001,BNS 303
FIR-000668,CT-032,BNS TBD - verify
FIR-000669,CT-026,BNS TBD - verify
FIR-000670,CT-033,BNS TBD - verify
FIR-000671,CT-020,BNS TBD - verify
FIR-000672,CT-011,BNS TBD - verify
FIR-000673,CT-017,BNS 137 (verify split across subsections)
FIR-000674,CT-033,BNS TBD - verify
FIR-000675,CT-026,BNS TBD - verify
FIR-000676,CT-037,BNS TBD - verify
FIR-000677,CT-010,BNS 318
FIR-000678,CT-020,BNS TBD - verify
FIR-000679,CT-001,BNS 303
FIR-000680,CT-027,BNS TBD - verify
FIR-000681,CT-004,BNS TBD - verify
FIR-000682,CT-002,BNS 303
FIR-000683,CT-030,BNS TBD - verify
FIR-000684,CT-020,BNS TBD - verify
FIR-000685,CT-025,BNS TBD - verify
FIR-000686,CT-021,BNS TBD - verify
FIR-000687,CT-032,BNS TBD - verify
FIR-000688,CT-004,BNS TBD - verify
FIR-000689,CT-010,BNS 318
FIR-000690,CT-038,BNS TBD - verify
FIR-000691,CT-002,BNS 303
FIR-000692,CT-001,BNS 303
FIR-000693,CT-039,BNS TBD - verify
FIR-000694,CT-019,BNS TBD - verify
FIR-000695,CT-011,BNS TBD - verify
FIR-000696,CT-038,BNS TBD - verify
FIR-000697,CT-021,BNS TBD - verify
FIR-000698,CT-021,BNS TBD - verify
FIR-000699,CT-014,BNS 85
FIR-000700,CT-033,BNS TBD - verify
FIR-000701,CT-035,BNS TBD - verify
FIR-000702,CT-010,BNS 318
FIR-000703,CT-032,BNS TBD - verify
FIR-000704,CT-008,BNS TBD - verify
FIR-000705,CT-020,BNS TBD - verify
FIR-000706,CT-024,BNS TBD - verify
FIR-000707,CT-037,BNS TBD - verify
FIR-000708,CT-018,BNS 324 range (verify)
FIR-000709,CT-032,BNS TBD - verify
FIR-000710,CT-021,BNS TBD - verify
FIR-000711,CT-007,BNS TBD - verify
FIR-000712,CT-021,BNS TBD - verify
FIR-000713,CT-024,BNS TBD - verify
FIR-000714,CT-008,BNS TBD - verify
FIR-000715,CT-030,BNS TBD - verify
FIR-000716,CT-012,BNS 66C
FIR-000717,CT-011,BNS TBD - verify
FIR-000718,CT-019,BNS TBD - verify
FIR-000719,CT-015,BNS 80
FIR-000720,CT-025,BNS TBD - verify
