accused_id,vehicle_id,ownership_type,link_fir_id
ACC-02365,VEH-00298,registered,FIR-002199
ACC-02542,VEH-00895,registered,FIR-001992
ACC-01102,VEH-00817,registered,FIR-001003
ACC-01629,VEH-00243,registered,FIR-001325
ACC-02897,VEH-01203,registered,FIR-003114
ACC-03272,VEH-00679,registered,FIR-003432
ACC-03584,VEH-00024,registered,FIR-003334
ACC-03242,VEH-00808,registered,FIR-000728
ACC-03411,VEH-00212,registered,FIR-002225
ACC-00127,VEH-01001,used,FIR-002750
ACC-03548,VEH-00158,registered,FIR-000456
ACC-01706,VEH-00462,registered,FIR-003276
ACC-02863,VEH-01197,registered,FIR-003581
ACC-00329,VEH-00921,registered,FIR-000177
ACC-00246,VEH-00653,registered,FIR-000715
ACC-01905,VEH-00099,registered,FIR-002246
ACC-02371,VEH-01032,registered,FIR-001232
ACC-00925,VEH-00062,registered,FIR-000864
ACC-00516,VEH-00465,registered,FIR-003679
ACC-02878,VEH-00871,registered,FIR-000970
ACC-04335,VEH-00641,registered,FIR-003511
ACC-00478,VEH-00443,registered,FIR-001426
ACC-04324,VEH-00864,used,FIR-001064
ACC-03349,VEH-00571,registered,FIR-001607
ACC-03081,VEH-00179,registered,FIR-002937
ACC-00580,VEH-01158,registered,FIR-001437
ACC-00046,VEH-00796,registered,FIR-001654
ACC-00693,VEH-00675,registered,FIR-002019
ACC-02372,VEH-00378,registered,FIR-000977
ACC-01106,VEH-00633,registered,FIR-000212
ACC-01375,VEH-00209,registered,FIR-001671
ACC-01876,VEH-00205,registered,FIR-001974
ACC-04243,VEH-00395,registered,FIR-003163
ACC-04055,VEH-00446,registered,FIR-000297
ACC-02826,VEH-00706,used,FIR-000650
ACC-03155,VEH-00441,registered,FIR-003549
ACC-02482,VEH-00742,registered,FIR-000726
ACC-00705,VEH-00112,registered,FIR-001232
ACC-00415,VEH-00074,registered,FIR-003688
ACC-00087,VEH-01100,used,FIR-001368
ACC-02048,VEH-00698,registered,FIR-002613
ACC-02254,VEH-00301,used,FIR-002429
ACC-02271,VEH-01174,registered,FIR-002481
ACC-00150,VEH-00125,registered,FIR-002992
ACC-00305,VEH-00625,registered,FIR-003360
ACC-00108,VEH-00990,registered,FIR-002229
ACC-03415,VEH-00587,used,FIR-000819
ACC-03169,VEH-00131,registered,FIR-001701
ACC-01363,VEH-01045,registered,FIR-002976
ACC-01918,VEH-00960,used,FIR-001046
ACC-03710,VEH-00872,used,FIR-000298
ACC-01207,VEH-00258,registered,FIR-003557
ACC-01034,VEH-00252,registered,FIR-003507
ACC-02786,VEH-00670,registered,FIR-000290
ACC-02734,VEH-00711,registered,FIR-003227
ACC-01726,VEH-00940,registered,FIR-001998
ACC-03151,VEH-01146,registered,FIR-002513
ACC-04431,VEH-01077,used,FIR-001024
ACC-00535,VEH-00890,registered,FIR-000076
ACC-00572,VEH-01078,registered,FIR-000633
ACC-00783,VEH-01035,registered,FIR-000054
ACC-00043,VEH-00342,registered,FIR-000858
ACC-02382,VEH-00437,registered,FIR-002438
ACC-03473,VEH-00479,used,FIR-002620
ACC-03031,VEH-00222,registered,FIR-002498
ACC-00055,VEH-00266,registered,FIR-001798
ACC-01174,VEH-00365,registered,FIR-000331
ACC-03530,VEH-01214,used,FIR-000404
ACC-01873,VEH-00538,registered,FIR-001007
ACC-01782,VEH-00630,registered,FIR-000440
ACC-01639,VEH-00958,registered,FIR-003642
ACC-02710,VEH-01065,registered,FIR-003604
ACC-01618,VEH-01111,registered,FIR-002959
ACC-03901,VEH-00500,used,FIR-002021
ACC-02869,VEH-00925,registered,FIR-002745
ACC-01270,VEH-00654,registered,FIR-003632
ACC-01841,VEH-00251,registered,FIR-001533
ACC-01215,VEH-00368,registered,FIR-001258
ACC-01978,VEH-00166,registered,FIR-002109
ACC-02241,VEH-00628,registered,FIR-001866
ACC-00966,VEH-00037,registered,FIR-001350
ACC-00136,VEH-00969,registered,FIR-001259
ACC-00558,VEH-00213,used,FIR-003168
ACC-04326,VEH-00466,registered,FIR-003680
ACC-01890,VEH-00156,registered,FIR-002029
ACC-03099,VEH-00811,used,FIR-000720
ACC-02834,VEH-00072,registered,FIR-000766
ACC-02394,VEH-00188,registered,FIR-000869
ACC-01175,VEH-00776,registered,FIR-000219
ACC-03620,VEH-00615,registered,FIR-002006
ACC-04083,VEH-00056,used,FIR-000681
ACC-02974,VEH-01125,registered,FIR-002920
ACC-03797,VEH-00172,registered,FIR-002587
ACC-00006,VEH-01038,used,FIR-000033
ACC-00169,VEH-00639,registered,FIR-000823
ACC-04298,VEH-00602,registered,FIR-002311
ACC-00541,VEH-00264,registered,FIR-002787
ACC-01619,VEH-00974,used,FIR-000773
ACC-03338,VEH-01185,registered,FIR-003415
ACC-02078,VEH-00751,registered,FIR-001234
ACC-02401,VEH-01120,registered,FIR-001942
ACC-00337,VEH-00556,registered,FIR-000013
ACC-00065,VEH-00877,registered,FIR-001404
ACC-00388,VEH-01142,used,FIR-001267
ACC-03851,VEH-00543,registered,FIR-003402
ACC-00952,VEH-01154,used,FIR-000160
ACC-00268,VEH-00396,registered,FIR-002213
ACC-02432,VEH-01029,registered,FIR-001613
ACC-04425,VEH-00996,registered,FIR-000587
ACC-01649,VEH-00231,used,FIR-003431
ACC-02390,VEH-00059,registered,FIR-002679
ACC-02250,VEH-00310,registered,FIR-001079
ACC-03147,VEH-00999,used,FIR-002668
ACC-02182,VEH-00096,registered,FIR-000281
ACC-04331,VEH-00080,registered,FIR-000551
ACC-03878,VEH-00651,registered,FIR-001606
ACC-00592,VEH-00704,registered,FIR-000139
ACC-00616,VEH-00255,registered,FIR-001910
ACC-00453,VEH-00592,registered,FIR-001676
ACC-01287,VEH-00230,registered,FIR-002547
ACC-01980,VEH-00415,registered,FIR-001043
ACC-03418,VEH-01062,registered,FIR-001434
ACC-02558,VEH-00617,registered,FIR-002590
ACC-03636,VEH-01024,registered,FIR-002584
ACC-01491,VEH-01009,registered,FIR-002970
ACC-00808,VEH-00905,registered,FIR-002826
ACC-01698,VEH-00038,used,FIR-003384
ACC-01238,VEH-00596,registered,FIR-000401
ACC-02624,VEH-00718,registered,FIR-000586
ACC-00143,VEH-00955,registered,FIR-000317
ACC-01373,VEH-00648,used,FIR-002964
ACC-01424,VEH-00600,registered,FIR-002052
ACC-03179,VEH-01051,registered,FIR-001770
ACC-03972,VEH-00192,used,FIR-001569
ACC-00271,VEH-00820,registered,FIR-001673
ACC-00841,VEH-00233,registered,FIR-000779
ACC-00933,VEH-00178,registered,FIR-001282
ACC-02083,VEH-01276,registered,FIR-002521
ACC-00556,VEH-00413,used,FIR-002699
ACC-00565,VEH-00729,used,FIR-003421
ACC-04156,VEH-01260,registered,FIR-002086
ACC-03404,VEH-00870,registered,FIR-000520
ACC-01777,VEH-00036,registered,FIR-002040
ACC-03721,VEH-00069,registered,FIR-002337
ACC-03309,VEH-00977,registered,FIR-003540
ACC-03152,VEH-01194,registered,FIR-003214
ACC-03989,VEH-00360,used,FIR-003071
ACC-02714,VEH-00923,registered,FIR-000625
ACC-00851,VEH-00207,registered,FIR-002248
ACC-02900,VEH-00965,registered,FIR-001416
ACC-01515,VEH-00830,registered,FIR-000150
ACC-02730,VEH-01037,registered,FIR-002973
ACC-03764,VEH-00906,registered,FIR-001953
ACC-01361,VEH-00914,used,FIR-002691
ACC-03508,VEH-01088,registered,FIR-002847
ACC-03873,VEH-01272,registered,FIR-003678
ACC-04459,VEH-00793,registered,FIR-002068
ACC-04163,VEH-01052,registered,FIR-000555
ACC-00417,VEH-01289,registered,FIR-000020
ACC-01013,VEH-01091,used,FIR-003672
ACC-01283,VEH-01130,registered,FIR-002975
ACC-01994,VEH-00229,registered,FIR-000038
ACC-03020,VEH-01118,registered,FIR-001266
ACC-02428,VEH-00773,registered,FIR-000390
ACC-02498,VEH-01184,registered,FIR-002915
ACC-00737,VEH-00325,registered,FIR-002830
ACC-01674,VEH-00329,registered,FIR-002399
ACC-03188,VEH-00774,registered,FIR-003051
ACC-01623,VEH-00708,registered,FIR-000553
ACC-03741,VEH-01246,registered,FIR-003619
ACC-01141,VEH-01070,registered,FIR-000956
ACC-00831,VEH-00417,registered,FIR-002376
ACC-01116,VEH-00806,registered,FIR-003656
ACC-00712,VEH-00936,used,FIR-002356
ACC-00018,VEH-01050,registered,FIR-001469
ACC-03344,VEH-01269,registered,FIR-002453
ACC-01646,VEH-01095,registered,FIR-000767
ACC-00420,VEH-00823,used,FIR-003676
ACC-03596,VEH-00250,used,FIR-002256
ACC-01504,VEH-00876,used,FIR-001715
ACC-02528,VEH-00215,used,FIR-001380
ACC-02265,VEH-01074,registered,FIR-000348
ACC-01969,VEH-00512,registered,FIR-000490
ACC-02489,VEH-00818,registered,FIR-001703
ACC-04027,VEH-00948,registered,FIR-002418
ACC-01269,VEH-00840,registered,FIR-002287
ACC-03230,VEH-00305,used,FIR-001742
ACC-01745,VEH-00763,registered,FIR-001859
ACC-03212,VEH-00033,registered,FIR-001011
ACC-03773,VEH-00744,registered,FIR-003060
ACC-04336,VEH-00128,registered,FIR-000240
ACC-03051,VEH-00690,registered,FIR-001663
ACC-00568,VEH-00366,registered,FIR-002949
ACC-02324,VEH-00770,registered,FIR-000608
ACC-01923,VEH-00825,registered,FIR-002514
ACC-01067,VEH-01022,registered,FIR-003539
ACC-04019,VEH-01248,registered,FIR-002307
ACC-04412,VEH-00164,used,FIR-002483
ACC-00038,VEH-00678,registered,FIR-003156
ACC-03399,VEH-01271,registered,FIR-001898
ACC-01125,VEH-00006,used,FIR-002820
ACC-03957,VEH-01286,registered,FIR-000712
ACC-01762,VEH-00995,registered,FIR-002854
ACC-00277,VEH-00644,registered,FIR-002499
ACC-04043,VEH-00025,registered,FIR-002822
ACC-01160,VEH-00120,registered,FIR-003258
ACC-03322,VEH-00797,registered,FIR-001880
ACC-00679,VEH-00561,registered,FIR-000564
ACC-02099,VEH-00578,registered,FIR-002833
ACC-03457,VEH-00778,registered,FIR-001794
ACC-01699,VEH-00496,registered,FIR-003238
ACC-03832,VEH-00111,registered,FIR-001830
ACC-04186,VEH-00498,registered,FIR-003070
ACC-00748,VEH-00226,registered,FIR-002149
ACC-00447,VEH-00481,registered,FIR-003302
ACC-04022,VEH-00896,registered,FIR-002271
ACC-00755,VEH-00745,registered,FIR-002112
ACC-04024,VEH-00352,used,FIR-001196
ACC-02413,VEH-00224,registered,FIR-000701
ACC-02274,VEH-00429,used,FIR-001885
ACC-02728,VEH-00506,registered,FIR-002051
ACC-03061,VEH-01250,registered,FIR-001101
ACC-01052,VEH-00637,registered,FIR-000894
ACC-02629,VEH-00688,registered,FIR-000312
ACC-01647,VEH-00150,registered,FIR-001860
ACC-00061,VEH-00009,registered,FIR-001292
ACC-00386,VEH-00160,registered,FIR-001168
ACC-03719,VEH-00611,registered,FIR-003481
ACC-02790,VEH-00340,used,FIR-000165
ACC-00159,VEH-00672,used,FIR-003592
ACC-03361,VEH-00090,registered,FIR-000097
ACC-03708,VEH-00567,used,FIR-001382
ACC-01446,VEH-00283,registered,FIR-002897
ACC-00733,VEH-00775,registered,FIR-001937
ACC-01469,VEH-00159,used,FIR-003276
ACC-03201,VEH-00276,registered,FIR-000614
ACC-03390,VEH-00337,registered,FIR-000735
ACC-03549,VEH-00320,used,FIR-002449
ACC-00363,VEH-00142,registered,FIR-001835
ACC-02198,VEH-00891,registered,FIR-002634
ACC-02486,VEH-00516,registered,FIR-000421
ACC-03862,VEH-00012,registered,FIR-002234
ACC-00227,VEH-00087,registered,FIR-003474
ACC-04046,VEH-00153,registered,FIR-000661
ACC-01119,VEH-01129,registered,FIR-003156
ACC-00786,VEH-00835,registered,FIR-000562
ACC-00387,VEH-00143,registered,FIR-001530
ACC-00376,VEH-00560,registered,FIR-001634
ACC-01747,VEH-00715,registered,FIR-002050
ACC-02656,VEH-00474,registered,FIR-001034
ACC-01853,VEH-00270,registered,FIR-000337
ACC-01329,VEH-00652,used,FIR-002969
ACC-02303,VEH-00296,registered,FIR-001892
ACC-01028,VEH-00532,registered,FIR-001302
ACC-00289,VEH-00294,registered,FIR-002116
ACC-02631,VEH-00116,registered,FIR-000928
ACC-03570,VEH-00052,registered,FIR-000423
ACC-02065,VEH-00814,used,FIR-001706
ACC-02886,VEH-00189,used,FIR-000763
ACC-00663,VEH-01225,registered,FIR-001725
ACC-02945,VEH-01241,registered,FIR-000700
ACC-04108,VEH-01124,registered,FIR-003213
ACC-04457,VEH-00767,registered,FIR-002476
ACC-01288,VEH-00873,used,FIR-002676
ACC-03219,VEH-00930,registered,FIR-002882
ACC-01232,VEH-00338,registered,FIR-000571
ACC-03308,VEH-00273,registered,FIR-000915
ACC-00896,VEH-00723,used,FIR-000574
ACC-00969,VEH-00370,registered,FIR-001336
ACC-00779,VEH-00382,registered,FIR-003245
ACC-02814,VEH-00854,registered,FIR-000197
ACC-03109,VEH-01215,registered,FIR-002914
ACC-02173,VEH-00765,registered,FIR-001230
ACC-00780,VEH-00042,registered,FIR-000334
ACC-01742,VEH-00661,registered,FIR-002434
ACC-00345,VEH-01109,registered,FIR-002471
ACC-02941,VEH-00593,registered,FIR-000617
ACC-03258,VEH-00787,registered,FIR-000284
ACC-02398,VEH-00467,registered,FIR-001996
ACC-03823,VEH-01108,used,FIR-001074
ACC-03735,VEH-00647,registered,FIR-000392
ACC-00004,VEH-00724,registered,FIR-002150
ACC-01633,VEH-01054,used,FIR-001483
ACC-03638,VEH-01159,registered,FIR-003579
ACC-04247,VEH-01047,registered,FIR-002816
ACC-04369,VEH-01165,registered,FIR-000043
ACC-04004,VEH-00725,used,FIR-002043
ACC-01697,VEH-00520,used,FIR-002382
ACC-03778,VEH-01073,registered,FIR-002949
ACC-02875,VEH-00020,registered,FIR-003135
ACC-03013,VEH-00186,registered,FIR-000131
ACC-03749,VEH-01236,used,FIR-003354
ACC-04433,VEH-00242,registered,FIR-001167
ACC-02584,VEH-00937,used,FIR-000950
ACC-02197,VEH-00386,registered,FIR-001603
ACC-01060,VEH-00509,registered,FIR-002277
ACC-04053,VEH-00408,registered,FIR-003472
ACC-03204,VEH-01196,registered,FIR-002036
ACC-03331,VEH-00919,registered,FIR-000658
ACC-00297,VEH-00168,used,FIR-001202
ACC-02092,VEH-01067,registered,FIR-000688
ACC-04403,VEH-00071,registered,FIR-002161
ACC-03866,VEH-00595,registered,FIR-002432
ACC-04056,VEH-00865,registered,FIR-001362
ACC-00142,VEH-01293,registered,FIR-003167
ACC-02678,VEH-00746,registered,FIR-001611
ACC-02565,VEH-00839,used,FIR-002577
ACC-02232,VEH-00046,used,FIR-003191
ACC-01735,VEH-01087,registered,FIR-001827
ACC-01574,VEH-00279,registered,FIR-000590
ACC-00939,VEH-01208,registered,FIR-000923
ACC-02862,VEH-00237,registered,FIR-001146
ACC-03448,VEH-00946,registered,FIR-001488
ACC-04025,VEH-01218,registered,FIR-003519
ACC-03289,VEH-01201,registered,FIR-003614
ACC-03569,VEH-00363,used,FIR-002581
ACC-01480,VEH-00140,registered,FIR-003058
ACC-01257,VEH-00438,registered,FIR-000740
ACC-02861,VEH-01008,registered,FIR-000077
ACC-01222,VEH-00849,registered,FIR-000531
ACC-03692,VEH-01186,registered,FIR-000053
ACC-01789,VEH-00606,registered,FIR-002664
ACC-00620,VEH-00604,registered,FIR-001180
ACC-00368,VEH-00093,used,FIR-001182
ACC-02693,VEH-01115,registered,FIR-000346
ACC-00600,VEH-00859,registered,FIR-003177
ACC-01296,VEH-00478,registered,FIR-002103
ACC-01140,VEH-00154,registered,FIR-000576
ACC-02204,VEH-01283,registered,FIR-003518
ACC-00328,VEH-00887,registered,FIR-002090
ACC-03802,VEH-00349,registered,FIR-002549
ACC-01661,VEH-00801,registered,FIR-000886
ACC-02665,VEH-00367,registered,FIR-003465
ACC-01291,VEH-00211,used,FIR-001250
ACC-03182,VEH-00307,registered,FIR-003497
ACC-03491,VEH-00788,registered,FIR-003392
ACC-03867,VEH-00636,used,FIR-002365
ACC-02297,VEH-00235,registered,FIR-001241
ACC-01816,VEH-00364,registered,FIR-003339
ACC-00102,VEH-00620,registered,FIR-003502
ACC-02513,VEH-01223,registered,FIR-002285
ACC-03145,VEH-00035,registered,FIR-003647
ACC-02378,VEH-00957,registered,FIR-000407
ACC-04456,VEH-00589,registered,FIR-000544
ACC-03885,VEH-00976,registered,FIR-002141
ACC-01863,VEH-00621,registered,FIR-001532
ACC-02657,VEH-00684,registered,FIR-000006
ACC-01800,VEH-01136,used,FIR-001207
ACC-00076,VEH-01122,registered,FIR-001801
ACC-03391,VEH-00680,registered,FIR-003630
ACC-00031,VEH-00768,registered,FIR-002273
ACC-03120,VEH-00082,registered,FIR-002308
ACC-04139,VEH-00964,registered,FIR-003717
ACC-00002,VEH-01005,registered,FIR-003187
ACC-04157,VEH-00137,used,FIR-003079
ACC-03387,VEH-01152,used,FIR-002914
ACC-00722,VEH-00726,registered,FIR-002909
ACC-04149,VEH-00274,registered,FIR-001565
ACC-04460,VEH-00550,used,FIR-000279
ACC-00643,VEH-00586,registered,FIR-001105
ACC-01796,VEH-00700,registered,FIR-002160
ACC-00526,VEH-00991,registered,FIR-000885
ACC-00991,VEH-00626,registered,FIR-001143
ACC-01887,VEH-00198,used,FIR-002811
ACC-04229,VEH-00401,registered,FIR-002940
ACC-01341,VEH-01181,registered,FIR-002244
ACC-01167,VEH-00568,registered,FIR-000080
ACC-03008,VEH-01144,used,FIR-000434
ACC-01971,VEH-00848,registered,FIR-002842
ACC-03666,VEH-00660,registered,FIR-003104
ACC-04252,VEH-00333,registered,FIR-000643
ACC-02075,VEH-01069,registered,FIR-002008
ACC-02667,VEH-00971,registered,FIR-001727
ACC-01593,VEH-00712,used,FIR-002083
ACC-01059,VEH-00461,registered,FIR-001179
ACC-01405,VEH-00361,registered,FIR-000122
ACC-02485,VEH-01232,registered,FIR-001210
ACC-02615,VEH-01279,registered,FIR-000171
ACC-00384,VEH-01027,registered,FIR-000593
ACC-02712,VEH-00444,registered,FIR-002233
ACC-03834,VEH-00676,registered,FIR-001393
ACC-02336,VEH-01040,registered,FIR-002643
ACC-03300,VEH-00312,used,FIR-002916
ACC-00890,VEH-00705,registered,FIR-003693
ACC-00104,VEH-00881,registered,FIR-001342
ACC-01166,VEH-00689,registered,FIR-002418
ACC-04121,VEH-00353,used,FIR-001481
ACC-04409,VEH-00431,registered,FIR-002020
ACC-02833,VEH-01219,registered,FIR-002465
ACC-01097,VEH-00254,registered,FIR-002082
ACC-03585,VEH-00583,registered,FIR-002981
ACC-02139,VEH-00673,used,FIR-001851
ACC-01159,VEH-00697,used,FIR-000025
ACC-04405,VEH-00980,registered,FIR-002696
ACC-03523,VEH-01058,registered,FIR-001918
ACC-01090,VEH-00566,registered,FIR-003544
ACC-01981,VEH-00558,registered,FIR-000104
ACC-02108,VEH-00225,registered,FIR-001473
ACC-00875,VEH-01006,registered,FIR-002329
ACC-02521,VEH-00067,registered,FIR-002856
ACC-02491,VEH-00004,registered,FIR-002925
ACC-02543,VEH-00127,used,FIR-002491
ACC-01781,VEH-00134,registered,FIR-001666
ACC-00821,VEH-00223,used,FIR-003493
ACC-02033,VEH-01300,used,FIR-003005
ACC-01490,VEH-00554,used,FIR-000489
ACC-03578,VEH-00911,registered,FIR-000937
ACC-02327,VEH-00165,registered,FIR-003359
ACC-01836,VEH-00149,registered,FIR-000805
ACC-03362,VEH-00287,registered,FIR-000185
ACC-01066,VEH-01281,registered,FIR-002596
ACC-03481,VEH-00259,registered,FIR-002773
ACC-01472,VEH-00011,used,FIR-002638
ACC-00394,VEH-00901,registered,FIR-001109
ACC-04206,VEH-00582,registered,FIR-001000
ACC-02479,VEH-00945,registered,FIR-000821
ACC-02400,VEH-00517,registered,FIR-001398
ACC-01390,VEH-00068,registered,FIR-003178
ACC-01874,VEH-01177,registered,FIR-000166
ACC-00589,VEH-00529,registered,FIR-003536
ACC-03038,VEH-01072,registered,FIR-002936
ACC-04187,VEH-00549,used,FIR-000518
ACC-00544,VEH-00882,registered,FIR-002500
ACC-00113,VEH-00740,used,FIR-002652
ACC-01389,VEH-00356,registered,FIR-001229
ACC-02876,VEH-01188,used,FIR-001494
ACC-03786,VEH-00244,registered,FIR-003485
ACC-03822,VEH-00029,registered,FIR-003186
ACC-03192,VEH-00358,used,FIR-001124
ACC-03374,VEH-00915,used,FIR-002639
ACC-03726,VEH-00432,registered,FIR-002030
ACC-02088,VEH-00472,used,FIR-000806
ACC-03059,VEH-00354,registered,FIR-001162
ACC-04299,VEH-00141,used,FIR-001268
ACC-02805,VEH-01153,registered,FIR-001964
ACC-00193,VEH-00371,registered,FIR-002987
ACC-03501,VEH-00187,used,FIR-001989
ACC-03767,VEH-00682,registered,FIR-001862
ACC-00814,VEH-00191,registered,FIR-000052
ACC-00278,VEH-00503,registered,FIR-001504
ACC-00310,VEH-00433,registered,FIR-002763
ACC-01465,VEH-01227,used,FIR-002039
ACC-02329,VEH-00894,registered,FIR-003138
ACC-02071,VEH-00197,registered,FIR-002998
ACC-04141,VEH-00777,used,FIR-001284
ACC-04002,VEH-00716,registered,FIR-000178
ACC-00249,VEH-00903,registered,FIR-002584
ACC-02539,VEH-00613,used,FIR-000613
ACC-02344,VEH-00713,used,FIR-000066
ACC-02064,VEH-00108,registered,FIR-000494
ACC-03553,VEH-00019,used,FIR-003690
ACC-00419,VEH-00507,registered,FIR-001197
ACC-02546,VEH-00040,registered,FIR-002035
ACC-04390,VEH-00699,registered,FIR-002607
ACC-03580,VEH-01099,registered,FIR-002357
ACC-00245,VEH-00947,registered,FIR-001895
ACC-00242,VEH-01280,registered,FIR-002326
ACC-00244,VEH-00470,registered,FIR-001405
ACC-03049,VEH-00344,used,FIR-001177
ACC-02495,VEH-00846,registered,FIR-003264
ACC-02582,VEH-00469,used,FIR-002406
ACC-01910,VEH-00998,registered,FIR-002281
ACC-03614,VEH-00659,registered,FIR-001838
ACC-04215,VEH-00850,registered,FIR-002422
ACC-02661,VEH-01151,registered,FIR-002700
ACC-01061,VEH-00988,used,FIR-001109
ACC-00629,VEH-00908,registered,FIR-003020
ACC-02923,VEH-00933,registered,FIR-000391
ACC-00340,VEH-00886,used,FIR-001485
ACC-03621,VEH-01288,registered,FIR-001218
ACC-02029,VEH-01182,registered,FIR-001802
ACC-01607,VEH-00326,registered,FIR-000788
ACC-01666,VEH-01055,registered,FIR-000494
ACC-04093,VEH-00966,registered,FIR-001619
ACC-02405,VEH-00815,registered,FIR-002669
ACC-03173,VEH-00468,registered,FIR-000437
ACC-02334,VEH-00375,registered,FIR-001682
ACC-00596,VEH-00041,registered,FIR-000902
ACC-00915,VEH-00493,registered,FIR-001954
ACC-00064,VEH-01117,used,FIR-001618
ACC-03498,VEH-00053,registered,FIR-000558
ACC-00048,VEH-01242,used,FIR-000239
ACC-03685,VEH-00526,registered,FIR-003613
ACC-01996,VEH-01059,registered,FIR-002803
ACC-01795,VEH-00798,registered,FIR-000309
ACC-03224,VEH-00590,registered,FIR-001029
ACC-04167,VEH-00867,used,FIR-002286
ACC-01904,VEH-00372,registered,FIR-001978
ACC-01124,VEH-01162,registered,FIR-001203
